D' R U' B R F
D2 R F2 U' F' B
D2 R F2 U' B F'
R' U' D' R2 F B
R' U' D' R2 B F
R U' D' F B R2
R U' D' B R2 F
R U' D' B F R2
R U' F D' B R2
R U2 B2 U F B'
R U2 B2 U B' F
R' D' U' R2 F B
R' D' U' R2 B F
R D' U' F B R2
R D' U' B R2 F
R D' U' B F R2
R D2 F2 U' F' B
R D2 F2 U' B F'
U2 L' B2 L U F B
U2 L' B2 L U B F
R' U D L2 F' B' U2
R' U D L2 B' F' U2
R' U D F' L2 U2 F2
R U D L2 B' U2 B2
R' U D' F' U2 R2 F2
R' U D' F' U2 F2 R2
R' U F' U B2 U F2
R' U F' U2 F2 D' R2
D R U L2 B' U2 B2
B2 R U D F L2 B
B2 R U D F B L2
B2 R U D B F L2
B2 R U F D L2 B
B2 R U F D B L2
D2 R U' D F B R2
D2 R U' D B R2 F
D2 R U' D B F R2
D' R U' D B R F
D' R U' D' B R F
D' R U' D2 B R F
D' R U' F D2 B R'
D2 R U' B D R2 F
D2 R U' B D F R2
D' R U' B R D F
D' R U' B R D' F
D' R U' B R D2 F
D' R U' B R F D
D' R U' B R F D'
D' R U' B R F D2
D' R U' B R' F R2
D' R U' B R2 F R'
F' R U' F2 D' B R2
D' R U' B D R F
D' R U' B D' R F
D' R U' B D2 R F
D' R U' B' R F B2
D' R U' B' R B2 F
D' R U' B2 R F B'
D' R U' B2 R B' F
D R U' D2 F B R2
D R U' D2 B R2 F
D R U' D2 B F R2
D R U' F D2 B R2
D R U' F B D2 R2
D R U' B D2 R2 F
D R U' B D2 F R2
D R U' B F D2 R2
F' R U2 B2 U F2 B'
F' R U2 B2 U B' F2
B2 R U2 B2 U' F B'
B2 R U2 B2 U' B' F
D2 R D U' F B R2
D2 R D U' B R2 F
D2 R D U' B F R2
D' R D U' B R F
B2 R D U F L2 B
B2 R D U F B L2
B2 R D U B F L2
D R D F2 U' F' B
D R D F2 U' B F'
F' R D' L2 U' B R2
D' R D' U' B R F
D' R D2 U' B R F
D R D2 U' F B R2
D R D2 U' B R2 F
D R D2 U' B F R2
B2 R D2 F2 U F' B
B2 R D2 F2 U B F'
F R D2 F2 U' F2 B
F R D2 F2 U' B F2
D2 R F2 L U' F' B
D2 R F2 L U' B F'
D2 R F2 L' U' F' B
D2 R F2 L' U' B F'
D2 R F2 L2 U' F' B
D2 R F2 L2 U' B F'
D2 R F2 U' D F' B
D2 R F2 U' D B F'
D2 R F2 U' D' F' B
D2 R F2 U' D' B F'
D2 R F2 U' D2 F' B
D2 R F2 U' D2 B F'
D2 R F2 U' F' D B
D2 R F2 U' F' D' B
D2 R F2 U' F' D2 B
D2 R F2 U' F' B D
D2 R F2 U' F' B D'
D2 R F2 U' F' B D2
D2 R F2 U' B D F'
D2 R F2 U' B D' F'
D2 R F2 U' B D2 F'
D2 R F2 U' B F' D
D2 R F2 U' B F' D'
D2 R F2 U' B F' D2
R2 U' R D' R2 F B
R2 U' R D' R2 B F
D2 R F2 D U' F' B
D2 R F2 D U' B F'
D2 R F2 D' U' F' B
D2 R F2 D' U' B F'
D2 R F2 D2 U' F' B
D2 R F2 D2 U' B F'
R2 U' R' D' F B R2
R2 U' R' D' B R2 F
R2 U' R' D' B F R2
R2 U' R' F D' B R2
B' R B D' R2 F L'
B' R B D' F L' R2
B' R B D' F R2 L'
R' U' R2 D' F B R2
R' U' R2 D' B R2 F
R' U' R2 D' B F R2
