F2 L U R U B
U' L' U L2 F U2
U' L' U' D2 R2 B'
U' L' U' D2 B' R2
U' L' U' B' D2 R2
U' L' D F2 U' B'
U' L' D2 U' R2 B'
U' L' D2 U' B' R2
L B' U' L2 R' U'
L B' U' R' L2 U'
L' R U L2 R' F' U2
L' R U R' L2 F' U2
L' R U R' F' L2 U2
F2 L U L R U B
F2 L U L' R U B
F2 L U L2 R U B
F2 L U R L U B
F2 L U R L' U B
F2 L U R L2 U B
F2 L U R U D B
F2 L U R U D' B
F2 L U R U D2 B
F2 L U R U B D
F2 L U R U B D'
F2 L U R U B D2
F2 L U R D U B
F2 L U R D' U B
F2 L U R D2 U B
F2 L U D R U B
F2 L U D' R U B
F2 L U D2 R U B
U' L U' L2 U' B' L2
F2 L D U R U B
F2 L D' U R U B
F2 L D2 U R U B
F' L F U' L' U' B'
U' L F U' L2 U' L2
F L F U R U B
F' L F' U R U B
F L F' U' L' U' B'
F2 L F2 U' L' U' B'
F2 L B U L R U
F2 L B U R L U
L' R' U L2 R U2 B
R' L' U L2 R U2 B
L' R' U R L2 U2 B
R' L' U R L2 U2 B
F L B U L U F
R L' U L2 R' F' U2
R L' U R' L2 F' U2
R L' U R' F' L2 U2
D2 L B' U' L2 R' U'
D2 L B' U' R' L2 U'
D' L B' U' L2 R' U'
D' L B' U' R' L2 U'
D L B' U' L2 R' U'
D L B' U' R' L2 U'
F L B' U' R' U' F'
U' L' R U L2 F U2
U' L' R U' D2 R2 B'
U' L' R U' D2 B' R2
U' L' R U' B' D2 R2
U' L' R D F2 U' B'
U' L' R D2 U' R2 B'
U' L' R D2 U' B' R2
U' L' R' U L2 F U2
U' L' R' U' D2 R2 B'
U' L' R' U' D2 B' R2
U' L' R' U' B' D2 R2
R' L' D F2 U' L' B'
L' R' D F2 U' L' B'
U' L' R' D F2 U' B'
U' L' R' D2 U' R2 B'
U' L' R' D2 U' B' R2
U' L' R2 U L2 F U2
U' L' R2 U' D2 R2 B'
U' L' R2 U' D2 B' R2
U' L' R2 U' B' D2 R2
U' L' R2 D F2 U' B'
U' L' R2 D2 U' R2 B'
U' L' R2 D2 U' B' R2
U' L' U L2 D F U2
U' L' U L2 D' F U2
U' L' U L2 D2 F U2
U' L' U L2 F U2 D
U' L' U L2 F U2 D'
U' L' U L2 F U2 D2
U' L' U L2 F D U2
U' L' U L2 F D' U2
U' L' U L2 F D2 U2
U' L' U F L2 F U2
U' L' U F' L2 F U2
U' L' U F2 L2 F U2
U' L' U' R D2 R2 B'
U' L' U' R D2 B' R2
U' L' U' R B' D2 R2
U' L' U' R' D2 R2 B'
U' L' U' R' D2 B' R2
U' L' U' R' B' D2 R2
U' L' U' R2 D2 R2 B'
U' L' U' R2 D2 B' R2
U' L' U' R2 B' D2 R2
U' L' U' D B' D R2
U' L' U' D2 R B' R
U' L' U' D2 R2 D B'
U' L' U' D2 R2 D' B'
U' L' U' D2 R2 D2 B'
U' L' U' D2 R2 B' D
U' L' U' D2 R2 B' D'
U' L' U' D2 R2 B' D2
U' L' U' D2 B R2 B2
U' L' U' D2 B' R2 D
U' L' U' D2 B' R2 D'
U' L' U' D2 B' R2 D2
U' L' U' B' R D2 R2
U' L' U' B' R' D2 R2
U' L' U' B' R2 D2 R2
U' L' U' B' U2 L2 U2
U' L' U' B' D2 R2 D
U' L' U' B' D2 R2 D'
U' L' U' B' D2 R2 D2
U' L' U' B2 D2 B R2
U' L' U2 D' B2 U B
U' L' D R F2 U' B'
U' L' D R' F2 U' B'
U' L' D R2 F2 U' B'
U' L' D U' B' D R2
U' L' D F2 R U' B'
U' L' D F2 R' U' B'
U' L' D F2 R2 U' B'
U' L' D F2 U' D B'
U' L' D F2 U' D' B'
U' L' D F2 U' D2 B'
U' L' D F2 U' B' D
U' L' D F2 U' B' D'
U' L' D F2 U' B' D2
U' L' D F2 D U' B'
U' L' D F2 D' U' B'
U' L' D F2 D2 U' B'
U' L' D' U2 B2 U B
U' L' D2 R U' R B'
U' L' D2 R U' B' R
U' L' D2 R' U' R' B'
U' L' D2 U' R B' R
U' L' D2 U' R2 D B'
U' L' D2 U' R2 D' B'
U' L' D2 U' R2 D2 B'
U' L' D2 U' R2 B' D
U' L' D2 U' R2 B' D'
U' L' D2 U' R2 B' D2
U' L' D2 U' B R2 B2
U' L' D2 U' B' R2 D
U' L' D2 U' B' R2 D'
U' L' D2 U' B' R2 D2
U' L' D2 F U' R2 B'
U' L' D2 F U' B' R2
U' L' D2 F' U' R2 B'
U' L' D2 F' U' B' R2
U' L' D2 F2 U' R2 B'
U' L' D2 F2 U' B' R2
U' L' F U L2 F U2
U' L' F U' D2 R2 B'
U' L' F U' D2 B' R2
U' L' F U' B' D2 R2
U' L' F D F2 U' B'
U' L' F D2 U' R2 B'
U' L' F D2 U' B' R2
U' L' F' U L2 F U2
U' L' F' U' D2 R2 B'
U' L' F' U' D2 B' R2
U' L' F' U' B' D2 R2
U' L' F' D F2 U' B'
U' L' F' D2 U' R2 B'
U' L' F' D2 U' B' R2
U' L' F2 U L2 F U2
U' L' F2 U' D2 R2 B'
U' L' F2 U' D2 B' R2
U' L' F2 U' B' D2 R2
U' L' F2 D F2 U' B'
U' L' F2 D2 U' R2 B'
U' L' F2 D2 U' B' R2
B' L2 U' L R' F U'
B' L2 U' L F R' U'
B' L2 U' R' L F U'
L U L' U2 L' U' B'
U' L2 F2 L U' R B'
U' L2 F2 L U' B' R
L U R U D F2 B
L U R U D B F2
L U R U B D F2
L U R U2 L2 U' B
L U R D U F2 B
L U R D U B F2
L U R' D2 R2 U B
L U D R U F2 B
L U D R U B F2
U' R L' U L2 F U2
U' R L' U' D2 R2 B'
U' R L' U' D2 B' R2
U' R L' U' B' D2 R2
U' R L' D F2 U' B'
U' R L' D2 U' R2 B'
U' R L' D2 U' B' R2
F2 R U' L R' F U2
F2 R U' L F R' U2
F2 R U' R' L F U2
L2 U' L U L2 U2 B'
L2 U' L U F L2 U2
L U' L2 U' L B' L'
L U' L2 U2 L U B'
L U' L2 D2 R' U' B
L U' D L' U' F2 B'
L U' D L' U' B' F2
U' R' L' U L2 F U2
U' R' L' U' D2 R2 B'
U' R' L' U' D2 B' R2
U' R' L' U' B' D2 R2
U' R' L' D F2 U' B'
U' R' L' D2 U' R2 B'
U' R' L' D2 U' B' R2
U' R2 L' U L2 F U2
U' R2 L' U' D2 R2 B'
U' R2 L' U' D2 B' R2
U' R2 L' U' B' D2 R2
U' R2 L' D F2 U' B'
U' R2 L' D2 U' R2 B'
U' R2 L' D2 U' B' R2
L U2 F U L2 R U'
L U2 F U R L2 U'
L' D R' F2 U' L' B'
L D U R U F2 B
L D U R U B F2
L D U' L' U' F2 B'
L D U' L' U' B' F2
U' D L' U L2 F U2
U' D L' U' D2 R2 B'
U' D L' U' D2 B' R2
U' D L' U' B' D2 R2
U' D L' D F2 U' B'
U' D L' D2 U' R2 B'
U' D L' D2 U' B' R2
F2 U R U B2 R' B'
F2 U R U' L U2 B
F2 U R B2 U R' B'
L' D B' R' F2 U' L'
L D B U L U F2
L D B' U' R' U' F2
F2 U B R U B R'
D' U' L' U L2 F U2
U' D' L' U L2 F U2
D2 U' L' U L2 F U2
U' D' L' U' D2 R2 B'
U' D' L' U' D2 B' R2
D' U' L' U' D2 R2 B'
D' U' L' U' D2 B' R2
U' D' L' U' B' D2 R2
D' U' L' U' B' D2 R2
D2 U' L' U' D2 R2 B'
D2 U' L' U' D2 B' R2
D2 U' L' U' B' D2 R2
U' D' L' D F2 U' B'
D' U' L' D F2 U' B'
D2 U' L' D F2 U' B'
U' D' L' D2 U' R2 B'
U' D' L' D2 U' B' R2
D' U' L' D2 U' R2 B'
D' U' L' D2 U' B' R2
D2 U' L' D2 U' R2 B'
D2 U' L' D2 U' B' R2
F2 U B2 R U B R2
D U' L' U L2 F U2
D U' L' U' D2 R2 B'
D U' L' U' D2 B' R2
D U' L' U' B' D2 R2
D U' L' D F2 U' B'
D U' L' D2 U' R2 B'
D U' L' D2 U' B' R2
B' U' L R' F L2 U'
B' U' L F L2 R' U'
B' U' L F R' L2 U'
B' U' L' R' U2 B' U
B2 U' L' U' D' R' B
B2 U' L' D' U' R' B
B' U' R' L F L2 U'
B' U' R' L' U2 B' U
