F' U R F L B
D2 L U R U' B R'
D L U R F' U' B
D' L U' B' L' U B'
U L F' D R F' B
U L F' D R B F'
D2 L B R' U' L U
D2 L B U' L U R'
D' L B U' L B2 U
D2 L B' R D B2 R'
D' L B' U R' U' R
D2 L B2 D' B' R' B
U' L' F' U R B' L2
U' L' F' U B' L2 R
U' L' F' U B' R L2
L U R U' D2 B R'
L U R D2 U' B R'
L U R F' U' B R
D2 L2 B L' R' D' B2
D2 L2 B L' D' R' B2
D2 L2 B R' L' D' B2
L U R' U F' U2 R
L U D R F' U' B
L U D2 R U' B R'
L U F' R' U' R2 B
L U F' R2 U' R' B
U R U' L D2 B R'
U R U' D2 L B R'
L U' L U' F L' U2
U R D2 U' L B R'
U R F' U' L B R
U R' U F' U2 L R
U R' U F' U2 R L
L U2 F L' U' R U'
L U2 F' U L' U R
L D U R F' U' B
F' U L D2 R F' B
F' U L D2 R B F'
D2 U R U' L B R'
F' U R D F L B
F' U R D' F L B
F' U R D2 F L B
F' U R F L D B
F' U R F L D' B
F' U R F L D2 B
F' U R F L B D
F' U R F L B D'
F' U R F L B D2
F' U R F L' B L2
F' U R F L2 B L'
F' U R F D L B
F' U R F D' L B
F' U R F D2 L B
F' U R F' L F2 B
F' U R F' L B F2
F' U R F2 L F' B
F' U R F2 L B F'
F' U R B D2 F L'
B' U R' U2 F' U R
D U R F' U' L B
U D R F' U' L B
F' U R2 F L R' B
F' U R2 F R' L B
F' U D R F L B
F' U D' R F L B
F' U D2 R F L B
F U F2 R F L B
F' U B' R F B L
F' U B' R B F L
F U' L F' D2 R2 B2
F U' L F' D2 B2 R2
F U' L' U2 F' B' L2
F U' L' U2 B' L2 F'
F U' L' U2 B' F' L2
F' U' R F L' B' L2
L D' B U' L B' U
L D' B2 D' R' B R'
L D' B2 D' B R' B
U D2 R U' L B R'
L D2 U R U' B R'
L2 D2 B L' R' D' B2
L2 D2 B L' D' R' B2
L2 D2 B R' L' D' B2
L D2 B R' U' L U
L D2 B U' L U R'
L D2 B' R D B2 R'
L D2 B2 D' B' R' B
U2 F L' U' R U' L2
F2 U2 F2 D' L B' R'
F' D U R F L B
U' F' L' U R B' L2
U' F' L' U B' L2 R
U' F' L' U B' R L2
U F' R' U' L R2 B
U F' R' U' R2 L B
R' F' U R F L B
L' F' U R F L2 B
L' F' U R F B L2
L' F' U R B F L2
U2 F' U L' U L2 R
U2 F' U L' U R L2
L2 F' U R F L' B
L2 F' U R F B L'
L2 F' U R B F L'
U F' R2 U' L R' B
U F' R2 U' R' L B
R2 F' U R F L B
L2 F' U' R F L' B'
R F' U R F L B
U2 F' U2 L R D' B2
U2 F' U2 L D' R B2
U2 F' U2 L D' B2 R
U2 F' U2 R L D' B2
F' D' U R F L B
L F' B' R D F B2
L F' B' R D B2 F
L F' B' R F D B2
U2 F2 U2 D' L B' R'
U2 F2 D' U2 L B' R'
F' D2 U R F L B
B2 D2 B D R' B L
D' B U' L B' U L
B2 D2 B2 D' L B' R'
L B U' D' L B' U
L B D' U' L B' U
L B D2 B D' R' B
L B' U R' F' U' R
L B' U F' R' U' R2
L B' F' R D F B2
L B' F' R D B2 F
L B' F' R F D B2
D' B2 D' B R' B L
D B2 D B2 L B' R'
L B2 D' R' D' B R'
L B2 D2 B D R' B
