B L U' R' U' L
B L R U' R2 U' L
B L R U2 L D B2
B L R U2 D L B2
B L R D U2 L B2
B L R D' F2 U2 L
B L R2 U' R U' L
B' L U L R' D2 F2
B' L U L D2 R' F2
B' L U L D2 F2 R'
B' L U R' L D2 F2
B' L U R' D2 L F2
B' L U R' D2 F2 L
B' L U D2 L R' F2
B' L U D2 L F2 R'
R' L D L B' R' F'
B' L U D2 R' L F2
B' L U D2 R' F2 L
B' L U D2 F2 L R'
B' L U D2 F2 R' L
R2 L D L F' B' R'
R2 L D L B' F' R'
R2 L D F' L B' R'
B L U' R' U' L D
B L U' R' U' L D'
B L U' R' U' L D2
B L U' R' U' D L
B L U' R' U' D' L
B L U' R' U' D2 L
B L U' R' D U' L
B L U' R' D' U' L
B L U' R' D2 U' L
B L U' D R' U' L
B L U' D' R' U' L
B L U' D2 R' U' L
B' L U' B2 L R' U2
B' L U' B2 R' L U2
B L U2 L U R' U'
B L D U' R' U' L
B' L D' R2 U L R
B' L D' R2 U R L
B L D' U' R' U' L
R2 L F' D L B' R'
B' L D2 U L R' F2
B' L D2 U L F2 R'
B' L D2 U R' L F2
B' L D2 U R' F2 L
B' L D2 U F2 L R'
B' L D2 U F2 R' L
B L D2 U' R' U' L
B L F U' R' U' L
B L F' U' R' U' L
B L F' U' R' U' L
B L F2 U' R' U' L
L R' D L B' R' F'
L2 R' D' B' R' F' B
L2 R' D' B' R' B F'
L R2 D L F' B' R'
L R2 D L B' F' R'
L R2 D F' L B' R'
R' L2 D' B' R' F' B
R' L2 D' B' R' B F'
L2 R2 D' F' B' R' B
R2 L2 D' F' B' R' B
L2 R2 D' B' F' R' B
R2 L2 D' B' F' R' B
L R2 F' D L B' R'
L2 R2 F' D' B' R' B
R2 L2 F' D' B' R' B
U' L2 D' R' B R' F'
B' L2 D2 F2 R' D B2
B R L U' R2 U' L
B R L U2 L D B2
B R L U2 D L B2
B R L D U2 L B2
B R L D' F2 U2 L
B R' U' L2 D F2 R
B R2 L U' R U' L
L2 U2 B U' R' F' U'
L D L R' B' R' F'
L D L R2 F' B' R'
L D L R2 B' F' R'
L D L B' R' D2 F2
L D L B' D2 R' F2
L D L B' D2 F2 R'
L D R' L B' R' F'
L D R2 L F' B' R'
L D R2 L B' F' R'
L D R2 F' L B' R'
B2 U L2 R F B R'
B2 U L2 R B R' F
B2 U L2 R B F R'
B2 U L2 F R B R'
B2 U R L2 F B R'
B2 U R L2 B R' F
B2 U R L2 B F R'
L' D B L U2 B' L2
L2 D B L U2 B' L'
L D B L U2 B' L
L2 D B' D2 R' F2 B
L2 D B' D2 R' B F2
L2 D B' D2 F2 R' B
L2 D' R' B' R' F' B2
L2 D' R' B' R' B2 F'
B U B2 L U L R'
B U B2 L U R' L
B U' R' U L U2 L
B U' R' D' B2 U' R'
L2 D' B' R' D2 F2 B
L2 D' B' R' D2 B F2
B U' R' B2 U' L2 R'
B U' R' B2 U' R' L2
B U' D' R' B2 U' R'
B2 U' B' L F U2 L
R2 F' L D L B' R'
R2 F' L2 D' B' R' B
B D' L U' R' B2 U'
B D' U' R' B2 U' R'
B D2 L R2 U' R U'
B D2 R2 L U' R U'
L' B L U' R' U' L2
L2 B L U' R' U' L'
D B L U F2 U B'
D B L U2 D' B' L2
D B L U2 D' B' L2
D B L U2 B' D' L2
D B L D R2 U2 B'
D B L D' U2 B' L2
D2 B R2 D' L U2 B'
F' B L U' R' U' L
U2 B U' R' F' U' L2
F2 B L U' R' U' L
B F L U' R' U' L
F B L U' R' U' L
R2 B' L U L F' R'
R2 B' L U F' L R'
R2 B' L U F' R' L
R2 B' L2 F' D R' B
B F' L U' R' U' L
B F2 L U' R' U' L
U B2 U L2 F R B
