L' F' R B U L
L' R D2 B R' U L
L' R F' B R U L
L' R F2 B U L F
L' R B F' R U L
L' R B F2 U L F
D2 L' R B R' U L
D' L' R B U F L
D L' R B U L F'
D L' R B U F' L
R L' D2 B R' U L
R L' F' B R U L
R L' F2 B U L F
R L' B F' R U L
R L' B F2 U L F
U2 L' F' R B' U L'
B L' F' R B U L2
U2 L' F' B' R U L'
D' L' B U F L R
D' L' B U F R L
U2 L' B' F' R U L'
D2 R L' B R' U L
D' R L' B U F L
D R L' B U L F'
D R L' B U F' L
F' R D' B U L B'
F' R F L' B U L
F' R F B L' U L2
D2 R B L' R' U L2
D' R B L' U F L2
D2 R B R' L' U L2
F' R B U D' L B'
D R B L' U L2 F'
D R B L' U F' L2
F' R B D' U L B'
F' R B F L' U L2
L' D R B U L F'
L' D R B U F' L
R D' L' B U F L
R D' B L' U F L2
R D2 L' B R' U L
L' D2 R B R' U L
R D2 B L' R' U L2
R D2 B R' L' U L2
U F L' U' R B L
L2 F' L R B U L
L' F' R D B U L
L' F' R D' B U L
L' F' R D2 B U L
L2 F' R L B U L
L' F' R F B U L
L' F' R F' B U L
L F' L2 R B U L
L' F' R F2 B U L
L' F' R B U L D
L' F' R B U L D'
L' F' R B U L D2
L' F' R B U D L
L' F' R B U D' L
L' F' R B U D2 L
L' F' R B D U L
L' F' R B D' U L
L' F' R B D2 U L
L' F' R B F U L
L' F' R B F' U L
L' F' R B F2 U L
L F' R L2 B U L
L F' R B L2 U L'
L' F' D R B U L
B D' L' U F L2 R
B D' L' U F R L2
L' F' D' R B U L
L' F' D2 R B U L
F' D' R B U L B'
L' F2 R B U L F
L' F2 B U L F R
D' B L' U F L2 R
D' B L' U F R L2
R B L' F' R U L2
R B D' L' U F L2
L' B F2 U L F R
