U' R' U D B R'
R2 U' B L R U
R2 U' B L R U
R2 U' B R L U
U' R' D U B R'
U' R2 B R U B
F' U' R' U B R
U F' U2 R' U B
R' L U L' D B R'
R' L U D L' B R'
R' L U D B L' R'
R' L U D B R' L'
U' L R' U D B R'
U' L R' D U B R'
U' L R2 B R U B
R' L D U L' B R'
R' L D U B L' R'
R' L D U B R' L'
F' L U2 R' U L' B
F' L U2 R' U B L'
R2 L B R U L' B
R2 L B R U B L'
U L F' U2 R' U B
L' R' U L D B R'
R' L' U L D B R'
L R' U L' D B R'
L2 R' U L2 D B R'
L' R' U D L B R'
R' L' U D L B R'
L R' U D L' B R'
L R' U D B L' R'
L R' U D B R' L'
R' L' D U L B R'
L' R' D U L B R'
U' L' R' U D B R'
L R' D U L' B R'
L R' D U B L' R'
L R' D U B R' L'
U' L' R' D U B R'
L2 R' D F2 U B R'
U' L' R2 B R U B
F' L' U2 R' U L B
R' L2 U L2 D B R'
U L' F' U2 R' U B
R' L2 D F2 U B R'
U' L2 R' U D B R'
F' L2 R' U' B L2 F
U' L2 R' D U B R'
F2 L2 R' B' U L2 B2
F2 L2 R' B' U B2 L2
U' L2 R2 B R U B
L2 R2 B R U L2 B
L2 R2 B R U B L2
R2 L2 B R U L2 B
R2 L2 B R U B L2
L R2 B R U L' B
L R2 B R U B L'
F' L2 U2 R' U L2 B
F' L2 U2 R' U B L2
U L2 F' U2 R' U B
F' R U' R2 U B R2
F R D R2 D2 F2 B
F R D R2 D2 B F2
F R D B R2 F' B
F R D B R2 B F'
R2 U' L B L R U
R2 U' L B R L U
R2 U' L' B L R U
R2 U' L' B R L U
R2 U' L2 B L R U
R2 U' L2 B R L U
R U' R2 B' U R' B2
R2 U' D B L R U
R2 U' D B R L U
U' R' L U D B R'
U' R' L D U B R'
R2 U' D' B L R U
R2 U' D' B R L U
U' R' L' U D B R'
U' R' L' D U B R'
R2 U' D2 B L R U
R2 U' D2 B R L U
U' R' L2 U D B R'
F' R' L2 U' B L2 F
U' R' L2 D U B R'
F2 R' L2 B' U L2 B2
F2 R' L2 B' U B2 L2
U' R' U D B R' D
U' R' U D B R' D'
U' R' U D B R' D2
U' R' U D B D R'
U' R' U D B D' R'
U' R' U D B D2 R'
F2 R' U F U' F' B
F2 R' U F U' B F'
F R' U F2 U' F2 B
F R' U F2 U' B F2
R2 U' B L R U D
R2 U' B L R U D'
R2 U' B L R U D2
R2 U' B L R D U
R2 U' B L R D' U
R2 U' B L R D2 U
R2 U' B L D R U
R2 U' B L D' R U
R2 U' B L D2 R U
R2 U' B R L U D
R2 U' B R L U D'
R2 U' B R L U D2
R2 U' B R L D U
R2 U' B R L D' U
R2 U' B R L D2 U
R2 U' B R D L U
R2 U' B R D' L U
R2 U' B R D2 L U
R2 U' B D L R U
R2 U' B D R L U
R2 U' B D' L R U
R2 U' B D' R L U
R2 U' B D2 L R U
R2 U' B D2 R L U
U' R' D L U B R'
U' R' D L' U B R'
U' R' D L2 U B R'
U' R' D U B R' D
U' R' D U B R' D'
U' R' D U B R' D2
U' R' D U B D R'
U' R' D U B D' R'
U' R' D U B D2 R'
R U' B' R2 U B R
U' R' D B' U B2 R'
R2 U' B2 R B' L U
F R' D B R2 D' F2
B' R' D' F' B R F'
R U' B2 R2 U B R'
B' R' D' B R F' R
B' R' D' B F' R F'
U' R' D2 L B' U B2
B' R' B U' R' B U
F2 R' B U F U' F'
B2 R' B D' R F' R
B2 R' B D' F' R F'
F R' B U F2 U' F2
F R' B D R2 D' F2
U' R2 L B R U B
U' R2 L' B R U B
U' R2 L2 B R U B
B' R2 U' B L R' U
B' R2 U' B R' L U
B R2 U' B L U F
U' R2 D B R U B
R' D L U L' B R'
R' D L U B L' R'
R' D L U B R' L'
U' R2 D' B R U B
R' D L' U L B R'
U' R2 D2 B R U B
R' D L2 U L2 B R'
R' D L2 U B L2 R'
R' D L2 U B R' L2
U' R2 B L R U B
U' R2 B L' R U B
U' R2 B L2 R U B
U' R2 B R L U B
U' R2 B R L' U B
U' R2 B R L2 U B
U' R2 B R U D B
U' R2 B R U D' B
U' R2 B R U D2 B
U' R2 B R U B D
U' R2 B R U B D'
U' R2 B R U B D2
U' R2 B R D U B
U' R2 B R D' U B
U' R2 B R D2 U B
U' R2 B D R U B
U' R2 B D' R U B
U' R2 B D2 R U B
U' R2 B' R B2 U B'
U' R2 B2 R B' U B2
R2 D U' B L R U
R2 D U' B R L U
B2 U L D' F' R U'
B2 U L F' R' U' B
R' D B R' U' R U
R' D B R2 D' R F2
D' U F' R U' D' F2
B2 U D' L F' R U'
D' U F' R U2 R2 U
D' U F' R D' U' F2
D' U F' R D2 L2 U'
B' U D' F' R U' F'
B2 U D' F' L R U'
B2 U D' F' R L U'
B2 U D2 L F' U' B'
B2 U D2 F' L U' B'
F2 U F U2 R' U B
B2 U F' L R' U' B
B2 U F' R' L U' B
B2 U F' D2 L U' B'
B U F' R' U' F' B
B U F' R' U' B F'
F U F2 U2 R' U B
R D' R2 F2 D B R'
F' U' L R' U B R
R2 D' U' B L R U
R2 D' U' B R L U
F' U' L' R' U B R
F' U' L2 R' U B R
F2 U' L2 R' B' U B2
L2 D' F' B2 L R U'
L2 D' F' B2 R L U'
F' U' R' L U B R
F' U' R' L' U B R
F' U' R' L2 U B R
F' U' R' U D B R
F' U' R' U D' B R
F' U' R' U D2 B R
F' U' R' U B R D
F' U' R' U B R D'
F' U' R' U B R D2
F' U' R' U B D R
F' U' R' U B D' R
F' U' R' U B D2 R
F' U' R' U B' R B2
F' U' R' U B2 R B'
F' U' R' D U B R
F2 U' R' L2 B' U B2
F' U' R' D' U B R
F' U' R' D2 U B R
F2 U' R' U2 F U' B
F' U' R' B' U R B2
F' U' R' B' U B2 R
F' U' R' B2 U R B'
F' U' R' B2 U B' R
F U' R' U D B R2
F U' R' U B D R2
F U' R' U2 F2 U' B
F U' R' D U B R2
F U' R' D2 B2 U B'
U D' F' R U' D' F2
U D' F' R U2 R2 U
U D' F' R D' U' F2
U D' F' R D2 L2 U'
L2 D' B2 L F' R U'
L2 D' B2 F' L R U'
L2 D' B2 F' R L U'
R' D2 L B' U L' B2
R' D2 L B' U B2 L'
R D2 R2 D F2 B R'
R D2 R2 D B R' F2
R D2 R2 D B F2 R'
R2 D2 U' B L R U
R2 D2 U' B R L U
F' U2 R' F2 U L' B
F' U2 R' F2 U B L'
U F' L U2 R' U B
U F' L' U2 R' U B
D' F' R D2 L2 U' L2
U F' L2 U2 R' U B
L2 F' R' U' B L2 F
U F' R U2 R2 U B
F' D B2 L U' L' B'
U' F' U2 R' F U B
U' F' U2 F R' U B
L' F' U2 R' U L B
L2 F' U2 R' U L2 B
L2 F' U2 R' U B L2
U F' U2 L R' U B
U F' U2 L' R' U B
U F' U2 L2 R' U B
U F' U2 R' L U B
U F' U2 R' L' U B
U F' U2 R' L2 U B
U F' U2 R' U D B
U F' U2 R' U D' B
U F' U2 R' U D2 B
U F' U2 R' U B D
U F' U2 R' U B D'
U F' U2 R' U B D2
U F' U2 R' D U B
U F' U2 R' D' U B
U F' U2 R' D2 U B
D2 F' B2 L U' B' L'
D' F' B2 L R U' L'
D' F' B2 R L U' L'
B' D' U F' R U' F'
B2 D' U L F' R U'
B2 D' U F' L R U'
B2 D' U F' R L U'
D F' B2 L U' L' B'
B2 D' F' L R U' L'
B2 D' F' R L U' L'
B2 D2 U L F' U' B'
B2 D2 U F' L U' B'
R2 B L R U L' B
R2 B L R U B L'
R2 B L' R U L B
B2 D2 F' L U' B' L'
R2 B L2 R U L2 B
R2 B L2 R U B L2
R' B R' U' B R U
R2 B R L U L' B
R2 B R L U B L'
R2 B R L' U L B
R2 B R L2 U L2 B
R2 B R L2 U B L2
F' D2 B2 L U' B' L'
D B U F' R' U' F'
B2 F' L R' U' L' B
B2 F' L R' U' B L'
R2 B' R' D' R2 F2 B
R2 B' R' D' R2 B F2
B2 F' R' L U' L' B
B2 F' R' L U' B L'
B2 F' D2 L U' B' L'
F' B2 L R' U' L' B
F' B2 L R' U' B L'
D2 B2 U L F' U' B'
D' B2 U L F' R U'
D2 B2 U F' L U' B'
D' B2 U F' L R U'
D' B2 U F' R L U'
F' B2 R' L U' L' B
F' B2 R' L U' B L'
D2 B2 F' L U' B' L'
D' B2 F' L R U' L'
D' B2 F' R L U' L'
F' B2 D2 L U' B' L'
D B2 F' L U' L' B'
