B R U' R' F' U' L
B U' B U' B' L R'
B U' B U' B' R' L
B U2 L U' L' B' U
F' B L' U2 L2 D' B2
B' F U R' B2 U2 R2
B' F U B2 U2 L R
B' F U B2 U2 R L
B' F U' R D2 L2 F2
B' F U' R D2 F2 L2
B2 F U B' U2 L R
B2 F U B' U2 R L
B F' L' U2 L2 D' B2
B' F' U L' R' B2 U2
B' F' U L' B2 U2 L
B' F' U R' L' B2 U2
B' F' U R' B2 L' U2
F' B' U L' R' B2 U2
F' B' U L' B2 U2 L
F' B' U R' L' B2 U2
F' B' U R' B2 L' U2
B' F' U B2 L' U2 L2
F' B' U B2 L' U2 L2
B2 F' U B' L' U2 L2
F B' U R' B2 U2 R2
F B' U B2 U2 L R
F B' U B2 U2 R L
F B' U' R D2 L2 F2
F B' U' R D2 F2 L2
F' B2 U B' L' U2 L2
F B2 U B' U2 L R
F B2 U B' U2 R L
