L' R' B U L2 F'
L' R' B U F' L2
R' L' B U L2 F'
R' L' B U F' L2
L D' R' F' R B2
L D' R' F' B2 R
L D' R' B2 F' R
L D' B2 R' F' R
R' L U' L2 B U F'
D' L R' F' R D' B2
D' L R' F' D' R B2
D' L R' F' D' B2 R
R' L U' B L2 U F'
F2 L U R F' L' U'
D2 L U' B' L2 R' U
D2 L U' B' R' L2 U
F' L D R' F' B R'
F' L D R' B F' R'
F' L D B R' F' B
F' L D B R' B F'
U2 L D' F' R F2 B2
U2 L D' F' R B2 F2
U2 L D' F' B2 R F2
R' L F' U' L2 B U
R' L F' U' B L2 U
U2 L D' B2 F' R F2
R' L F' B' D' R2 B2
R' L F' B' D' B2 R2
R' L B L2 U L2 F'
R' L B L2 U F' L2
R' L B' D' F' R2 B2
R' L B' D' F' B2 R2
R' L B' D' B2 F' R2
R' L B' F' D' R2 B2
R' L B' F' D' B2 R2
U2 L F2 D' F' R B2
U2 L F2 D' F' B2 R
U2 L F2 D' B2 F' R
D L B R' D' F' B2
D L B R' D' B2 F'
D L B R' F' D' B2
R2 L' U L2 F R F'
D L B D' R' F' B2
D L B D' R' B2 F'
R2 L' U F L2 R F'
R2 L' U F R L2 F'
R2 L' U F R F' L2
L R' U' L2 B U F'
D L B' D' B2 R' F'
L R' U' B L2 U F'
D' L' R' U L2 F' R
D' L' R' U F' L2 R
D' L' R' U F' R L2
R' L' D F2 B U F
L' R' D F2 B U F
R' L' D B F2 U F
L' R' D B F2 U F
B' L' R' B U L F'
B' L' R' B U F' L
U2 L' R2 U L2 F R
R' L' F B U L2 F2
R' L' F B U F2 L2
L' R' F B U L2 F2
L' R' F B U F2 L2
L R' F' U' L2 B U
L R' F' U' B L2 U
L R' F' B' D' R2 B2
L R' F' B' D' B2 R2
R' L' F2 B U F L2
L' R' F2 B U F L2
R' L' B U L F' L
R' L' B U L2 D F'
R' L' B U L2 D' F'
R' L' B U L2 D2 F'
R' L' B U L2 F' D
R' L' B U L2 F' D'
R' L' B U L2 F' D2
R' L' B U F L2 F2
R' L' B U F' L2 D
R' L' B U F' L2 D'
R' L' B U F' L2 D2
L' R' B U L F' L
L' R' B U L2 D F'
L' R' B U L2 D' F'
L' R' B U L2 D2 F'
L' R' B U L2 F' D
L' R' B U L2 F' D'
L' R' B U L2 F' D2
L R' B L2 U L2 F'
L R' B L2 U F' L2
L' R' B U F L2 F2
L' R' B U F' L2 D
L' R' B U F' L2 D'
L' R' B U F' L2 D2
R' L' B D F2 U F
L' R' B D F2 U F
R' L' B F U L2 F2
R' L' B F U F2 L2
L' R' B F U L2 F2
L' R' B F U F2 L2
R' L' B F2 U F L2
L' R' B F2 U F L2
L R' B' D' F' R2 B2
L R' B' D' F' B2 R2
L R' B' D' B2 F' R2
L R' B' F' D' R2 B2
L R' B' F' D' B2 R2
L' R2 U L2 F R F'
L' R2 U F L2 R F'
L' R2 U F R L2 F'
L' R2 U F R F' L2
U' L' B' R' B U L2
R' U L' B U L2 F'
R' U L' B U F' L2
R' U' L' B U L2 F'
R' U' L' B U F' L2
L U' L2 B' R' B U
D' R' L F' R D' B2
D' R' L F' D' R B2
D' R' L F' D' B2 R
D' R' L' U L2 F' R
D' R' L' U F' L2 R
D' R' L' U F' R L2
B' R' L' B U L F'
B' R' L' B U F' L
B2 R' U L' B U F'
B2 R' U B L' U F'
L U' B' L2 R' B U
L U' B' R' L2 B U
L U' B' R' B L2 U
R' U2 L' B U L2 F'
R' U2 L' B U F' L2
D' R' F' R D' L B'
D' R' F' D' L R B'
D' R' F' D' L B' R
D' R' F' D' R L B'
B' R' B L' U L2 F'
B' R' B L' U F' L2
U2 R2 L' U L2 F R
R' D L' B U L2 F'
R' D L' B U F' L2
L D R' D2 F' R B2
L D R' D2 F' B2 R
L D R' D2 B2 F' R
L D R' F' R2 B R'
F2 U R F' L' U' L2
L D B R' D2 F' B2
L D B R' D2 B2 F'
L D B D2 R' F' B2
L D B D2 R' B2 F'
L D B' D2 B2 R' F'
R' D' L' B U L2 F'
R' D' L' B U F' L2
L D' R' F' R B2 D
