B' L D F' R B U
U2 L' F' B' L U F
U2 L' B' L F' U F2
U2 L' B' F' L U F
F' R B U2 R' U' F2
F' R B' L B2 U F2
B R' D' F' U' F2 L'
U2 R2 B R' U' F R
B R2 B R F' U' F2
B2 U F R D' L2 B
B2 U F R D' B L2
B2 U F R B D' L2
B2 U F D' L2 R B
B2 U F D' R L2 B
B2 U F D' R B L2
F U' F2 B' L U R'
F U' B' L F2 U R'
F U' B' F2 L U R'
B2 U2 F' L' B' U F2
U F R2 D' L2 R' B
U F R2 D' R' L2 B
U F R2 D' R' B L2
R' F D L R2 B' L
R' F D L B' L R2
R' F D L B' R2 L
R' F D R2 L B' L
R' F D R2 B' L B'
R' F D B' L R2 B'
R' F D B' L B' R2
R' F D B' R2 L B'
U' F D' L2 B' R' B
U' F D' B' L2 R' B
U' F D' B' R' L2 B
U' F D' B' R' B L2
U F D' L2 R' B R2
U F D' R' L2 B R2
U F D' R' B L2 R2
U F D' R' B R2 L2
U2 F' L' B' L U F2
R' F' R' B R' U' F2
R' F' B R' B U' F2
U' F' B' L U R' F2
U' F' B' L U F2 R'
L' F' B' L U F R
U F' B2 U F2 R B
R2 B R F' R2 U' F2
R2 B R' U2 B U F
R' B F' R' B U' F2
B' F' L R B U F2
B' F' L U F R F
F' B' L R B U F2
F' B' L U F R F
B' F' R L B U F2
F' B' R L B U F2
B2 F' R B L U F2
B2 F' U F R F B
B2 F' U F R B F
U' B' F' L U R' F2
U' B' F' L U F2 R'
L' B' F' L U F R
F' B2 R B L U F2
F' B2 U F R F B
F' B2 U F R B F
U B2 F' U F2 R B
