D R2 U' R F' L'
U2 L R' F D' L2 B'
D2 L R' F' B2 D' L2
F2 L R' F' D' L2 B'
D2 L R' B2 F' D' L2
F2 L U F R U R2
R' L D' F' D' L2 B2
R' L D' F' D' B2 L2
R' L D2 F' B2 D' L2
R' L D2 B2 F' D' L2
L R' D' F' D' L2 B2
L R' D' F' D' B2 L2
D L' R2 B' U' R F'
L R' D2 F' B2 D' L2
L R' D2 B2 F' D' L2
F L2 R' D' F' B' L
F L2 R' D' B' L F'
F L2 R' D' B' F' L
F L2 R' F' D' B' L
F L2 D' R' F' B' L
F L2 D' R' B' L F'
F L2 D' R' B' F' L
R U F' R2 F' B L
R U F' R2 B L F'
R U F' R2 B F' L
D2 R U' R2 F' L' B2
D2 R U' R2 F' B2 L'
D2 R U' R2 B2 F' L'
R U F2 U2 R2 F' L'
R U F2 B U2 L R2
R U F2 B U2 R2 L
R U B F2 U2 L R2
R U B F2 U2 R2 L
R2 U' R D2 F' L' B2
R2 U' R D2 F' B2 L'
R2 U' R D2 B2 F' L'
R U' R2 D2 F' L' B2
R U' R2 D2 F' B2 L'
R U' R2 D2 B2 F' L'
D2 R' L F' B2 D' L2
D2 R' L B2 F' D' L2
U2 R' L F D' L2 B'
F2 R' L F' D' L2 B'
F R' L2 D' F' B' L
F R' L2 D' B' L F'
F R' L2 D' B' F' L
R U' F' L' R2 F' B
R U' F' L' R2 B F'
F R' L2 F' D' B' L
R U' F' R2 L' F' B
R U' F' R2 L' B F'
R U' F' R2 B L' F'
F2 R' F' L2 D' B' L
D2 R' B2 L F' D' L2
D R2 L' B' U' R F'
F' R2 U B L R F'
F' R2 U B R L F'
F' R2 U B R F' L
D2 R2 U' R F' L' B2
D2 R2 U' R F' B2 L'
D2 R2 U' R B2 F' L'
D R2 U' L R F' L'
D R2 U' L' R F' L'
D R2 U' L2 R F' L'
F' R2 U' B R F' L'
D2 R2 U' B2 R F' L'
D R2 U' R L F' L'
D R2 U' R L' F' L'
D R2 U' R L2 F' L'
D R2 U' R D F' L'
D R2 U' R D' F' L'
D R2 U' R D2 F' L'
D R2 U' R F' L' D
D R2 U' R F' L' D'
D R2 U' R F' L' D2
D R2 U' R F' D L'
D R2 U' R F' D' L'
D R2 U' R F' D2 L'
R' D R2 U' R2 F' L'
D R2 B U' R F' L'
L' D R2 B' U' R F'
D R2 B' U' R F' L'
D R2 B2 U' R F' L'
L D' R' F' D' L2 B2
L D' R' F' D' B2 L2
R' D2 L F' B2 D' L2
R' D2 L B2 F' D' L2
L D2 R' F' B2 D' L2
L D2 R' B2 F' D' L2
F2 U2 L R' F D' L2
F2 U2 R' L F D' L2
R' D2 B2 L F' D' L2
R' F L2 F2 D' B' L
D F R2 U' R F' L'
D F' R2 U' R F' L'
R F' U R2 F' B L
R F' U R2 B L F'
R F' U R2 B F' L
R F' U' R2 F' L' B
R F' U' R2 F' B L'
R F' U' R2 B F' L'
D F2 R2 U' R F' L'
B2 F2 L U F R U
F2 B2 L U F R U
