F' L U R' F2 U2
F' L U F2 R' U2
F' L U' D2 B2 L
F' L D2 U' B2 L
F R' U' L F2 U'
F R' U' F2 L U'
L F' U' B2 L B'
L F' B2 U' L B'
F' D2 L U' B2 L
L B2 F' U' L B'
F' L R U R2 F2 U2
F' L R U F2 R2 U2
F' L R U' D2 L2 B2
F' L R U' D2 B2 L2
F' L R D R2 B2 U'
F' L R D B2 R2 U'
F' L R D2 U' L2 B2
F' L R D2 U' B2 L2
F L R' U' F2 U' F2
F' L R2 U R F2 U2
F' L R2 U F2 U2 L'
F' L U R F2 R2 U2
F' L U R' U2 D2 B2
F' L U R' D2 U2 B2
F' L U R' F2 U2 D
F' L U R' F2 U2 D'
F' L U R' F2 U2 D2
F' L U R' F2 D U2
F' L U R' F2 D' U2
F' L U R' F2 D2 U2
F' L U R2 F2 U2 L'
F' L U D2 R' U2 B2
F' L U F R' F U2
F' L U F2 R' U2 D
F' L U F2 R' U2 D'
F' L U F2 R' U2 D2
F' L U F2 R' D U2
F' L U F2 R' D' U2
F' L U F2 R' D2 U2
F' L U F2 D R' U2
F' L U F2 D' R' U2
F' L U F2 D2 R' U2
F' L U' L D2 B2 L
F' L U' L' D2 B2 L
F' L U' L2 D2 B2 L
F' L U' D2 L B2 L
F' L U' D2 L' B2 L
F' L U' D2 L2 B2 L
F' L U' D2 B2 L D
F' L U' D2 B2 L D'
F' L U' D2 B2 L D2
F' L U' D2 B2 D L
F' L U' D2 B2 D' L
F' L U' D2 B2 D2 L
F' L U' B2 L D2 B2
F' L U' B2 D2 L B2
F' L D R2 U R U2
F' L D B2 R2 U' L
F' L D2 U R' U2 B2
F' L D2 U' L B2 L
F' L D2 U' L' B2 L
F' L D2 U' L2 B2 L
F' L D2 U' B2 L D
F' L D2 U' B2 L D'
F' L D2 U' B2 L D2
F' L D2 U' B2 D L
F' L D2 U' B2 D' L
F' L D2 U' B2 D2 L
F' L D2 B' U' B' L
D2 L F' U' B2 L B'
D' L F' U' B2 L B'
U2 L F' U' B2 L B'
D L F' U' B2 L B'
U' L F' U' B2 L B'
U L F' U' B2 L B'
D2 L F' B2 U' L B'
D' L F' B2 U' L B'
U2 L F' B2 U' L B'
U' L F' B2 U' L B'
D L F' B2 U' L B'
U L F' B2 U' L B'
