F2 L' U' L' B'
F2 L' R U' L' B'
F2 L' R' U' L' B'
F2 L' R2 U' L' B'
F2 L' U' L' D B'
F2 L' U' L' D' B'
F2 L' U' L' D2 B'
F2 L' U' L' B' D
F2 L' U' L' B' D'
F2 L' U' L' B' D2
F2 L' U' D L' B'
F2 L' U' D' L' B'
F2 L' U' D2 L' B'
F2 L' U' B L' B'
F2 L' U' B' L' B'
F2 L' U' B2 L' B'
F2 L' D U' L' B'
F2 L' D' U' L' B'
F2 L' D2 U' L' B'
F2 L' B' R' U' L'
F2 R L' U' L' B'
F2 R' L' U' L' B'
F2 R' L' U' L' B'
F2 R2 L' U' L' B'
U' F2 L' U' B' L'
F2 B' L' R' U' L'
F2 B' R' L' U' L'
B' F2 L' R' U' L'
B' F2 R' L' U' L'
B L R U L D R2
B L R U D L R2
B L R U D R2 L
B L R U2 F2 U' L
B L R D U L R2
B L R D U R2 L
B L U2 F2 L' U' L2
B L D R U L R
B L D R U R L
B' L F2 L' R' U' L2
B' L F2 R' L' U' L2
F2 L' R U' L' D B'
F2 L' R U' L' D' B'
F2 L' R U' L' D2 B'
F2 L' R U' L' B' D
F2 L' R U' L' B' D'
F2 L' R U' L' B' D2
F2 L' R U' D L' B'
F2 L' R U' D' L' B'
F2 L' R U' D2 L' B'
F2 L' R U' B L' B'
F2 L' R U' B' L' B'
F2 L' R U' B2 L' B'
F2 L' R D U' L' B'
F2 L' R D' U' L' B'
F2 L' R D2 U' L' B'
F2 L' R B' R' U' L'
F2 L' R' U' L' D B'
F2 L' R' U' L' D' B'
F2 L' R' U' L' D2 B'
F2 L' R' U' L' B' D
F2 L' R' U' L' B' D'
F2 L' R' U' L' B' D2
F2 L' R' U' D L' B'
F2 L' R' U' D' L' B'
F2 L' R' U' D2 L' B'
F2 L' R' U' B L' B'
F2 L' R' U' B' L' B'
F2 L' R' U' B2 L' B'
F2 L' R' D U' L' B'
F2 L' R' D' U' L' B'
F2 L' R' D2 U' L' B'
F2 L' R' B' R' U' L'
F2 L' R' B' R' U' L'
F2 L' R2 U' L' D B'
F2 L' R2 U' L' D' B'
F2 L' R2 U' L' D2 B'
F2 L' R2 U' L' B' D
F2 L' R2 U' L' B' D'
F2 L' R2 U' L' B' D2
F2 L' R2 U' D L' B'
F2 L' R2 U' D' L' B'
F2 L' R2 U' D2 L' B'
F2 L' R2 U' B L' B'
F2 L' R2 U' B' L' B'
F2 L' R2 U' B2 L' B'
F2 L' R2 D U' L' B'
F2 L' R2 D' U' L' B'
F2 L' R2 D2 U' L' B'
F2 L' R2 B' R' U' L'
F2 L' U R U2 L' B
F2 L' U R U2 B L'
F2 L' U F2 R U2 B
F2 L' U' L B L2 B'
F2 L' U' L B' L2 B'
F2 L' U' L B2 L2 B'
F2 L' U' L' R' B' R
F2 L' U' L' R2 B' R2
F2 L' U' L' D B' D
F2 L' U' L' D B' D'
F2 L' U' L' D B' D2
F2 L' U' L' D' B' D
F2 L' U' L' D' B' D'
F2 L' U' L' D' B' D2
F2 L' U' L' D2 B' D
F2 L' U' L' D2 B' D'
F2 L' U' L' D2 B' D2
F2 L' U' L' B2 D B
F2 L' U' L' B2 D' B
F2 L' U' L' B2 D2 B
F2 L' U' R' L' B' R
F2 L' U' R2 L' B' R2
F2 L' U' D L' D B'
F2 L' U' D L' D' B'
F2 L' U' D L' D2 B'
F2 L' U' D L' B' D
F2 L' U' D L' B' D'
F2 L' U' D L' B' D2
F2 L' U' D B L' B'
F2 L' U' D B' L' B'
F2 L' U' D B2 L' B'
F2 L' U' D' L' D B'
F2 L' U' D' L' D' B'
F2 L' U' D' L' D2 B'
F2 L' U' D' L' B' D
F2 L' U' D' L' B' D'
F2 L' U' D' L' B' D2
F2 L' U' D' B L' B'
F2 L' U' D' B' L' B'
F2 L' U' D' B2 L' B'
F2 L' U' D2 L' D B'
F2 L' U' D2 L' D' B'
F2 L' U' D2 L' D2 B'
F2 L' U' D2 L' B' D
F2 L' U' D2 L' B' D'
F2 L' U' D2 L' B' D2
F2 L' U' D2 B L' B'
F2 L' U' D2 B' L' B'
F2 L' U' D2 B2 L' B'
F2 L' U' B L' D B'
F2 L' U' B L' D' B'
F2 L' U' B L' D2 B'
F2 L' U' B L' B' D
F2 L' U' B L' B' D'
F2 L' U' B L' B' D2
F2 L' U' B D L' B'
F2 L' U' B D' L' B'
F2 L' U' B D2 L' B'
F2 L' U' B' L' D B'
F2 L' U' B' L' D' B'
F2 L' U' B' L' D2 B'
F2 L' U' B' L' B' D
F2 L' U' B' L' B' D'
F2 L' U' B' L' B' D2
F2 L' U' B' D L' B'
F2 L' U' B' D' L' B'
F2 L' U' B' D2 L' B'
F2 L' U' B2 L' D B'
F2 L' U' B2 L' D' B'
F2 L' U' B2 L' D2 B'
F2 L' U' B2 L' B' D
F2 L' U' B2 L' B' D'
F2 L' U' B2 L' B' D2
F2 L' U' B2 D L' B'
F2 L' U' B2 D' L' B'
F2 L' U' B2 D2 L' B'
F2 L' D R U' L' B'
F2 L' D R' U' L' B'
F2 L' D R2 U' L' B'
F2 L' D U' L' D B'
F2 L' D U' L' D' B'
F2 L' D U' L' D2 B'
F2 L' D U' L' B' D
F2 L' D U' L' B' D'
F2 L' D U' L' B' D2
F2 L' D U' B L' B'
F2 L' D U' B' L' B'
F2 L' D U' B2 L' B'
F2 L' D B' R' U' L'
F2 L' D' R U' L' B'
F2 L' D' R' U' L' B'
F2 L' D' R2 U' L' B'
F2 L' D' U' L' D B'
F2 L' D' U' L' D' B'
F2 L' D' U' L' D2 B'
F2 L' D' U' L' B' D
F2 L' D' U' L' B' D'
F2 L' D' U' L' B' D2
F2 L' D' U' B L' B'
F2 L' D' U' B' L' B'
F2 L' D' U' B2 L' B'
F2 L' D' B' R' U' L'
F2 L' D2 R U' L' B'
F2 L' D2 R' U' L' B'
F2 L' D2 R2 U' L' B'
F2 L' D2 U' L' D B'
F2 L' D2 U' L' D' B'
F2 L' D2 U' L' D2 B'
F2 L' D2 U' L' B' D
F2 L' D2 U' L' B' D'
F2 L' D2 U' L' B' D2
F2 L' D2 U' B L' B'
F2 L' D2 U' B' L' B'
F2 L' D2 U' B2 L' B'
F2 L' D2 B' R' U' L'
F2 L' B U' L' D' B2
F2 L' B U2 L U L2
