B' L D F' R F2 L'
B2 L D' F L2 B R'
B2 L D' F B L2 R'
B2 L D' F B R' L2
B2 L D' B R' F L2
B2 L D' B F L2 R'
B2 L D' B F R' L2
F' R' D R2 B' L F
F' R' D B' L R2 F
F' R' D B' L F R2
F' R' D B' R2 L F
F2 R2 B L U F B2
F2 R2 B L U B2 F
L D F' R F2 L' B'
B' U F U2 F R U
F U' F R U R' B'
F U2 R' F U F2 B'
F U2 R' F U B' F2
F2 U2 F' R' U' F' B'
F2 U2 F' R' U' B' F'
F U2 F R' U F' B'
F U2 F R' U B' F'
U' F U2 R F U B'
U F U2 F R U B'
D2 F B2 L U' F B
D2 F B2 L U' B F
B' F U' F R U R'
F B' U' F R U R'
D2 B2 F L U' F B
D2 B2 F L U' B F
