U2 F R F' B
U2 F R B F'
U' L F R U' F'
D2 L F B' U2 R'
D2 L B' F U2 R'
D2 L' U2 F R B'
D2 L' U2 F B' R
D2 L' U2 B' F R
U2 R F B R F2
U R B L U F'
U2 R B F R F2
L' U2 F R F' B'
L' U2 F R B' F'
L' U2 F B' R F'
L' U2 B' F R F'
B2 U2 R F' B R'
B' U2 R F' B R2
B2 U2 R B F' R'
B' U2 R B F' R2
F' U2 F R F' B
F' U2 F R B F'
F2 U2 F R F' B
F2 U2 F R B F'
F U2 F R F' B
F U2 F R B F'
U2 F R D F' B
U2 F R D B F'
U2 F R D' F' B
U2 F R D' B F'
U2 F R D2 F' B
U2 F R D2 B F'
U2 F R F' D B
U2 F R F' D' B
U2 F R F' D2 B
U2 F R F' B D
U2 F R F' B D'
U2 F R F' B D2
U2 F R B D F'
U2 F R B D' F'
U2 F R B D2 F'
U2 F R B F' D
U2 F R B F' D'
U2 F R B F' D2
L F U2 F R F'
U2 F B R F' B
U2 F B R B F'
U2 F B' R F' B
U2 F B' R B F'
U2 F B2 R F' B
U2 F B2 R B F'
U2 F2 R F' B R
U2 F2 R B F' R
B D2 L F B' U2
B D2 L B' F U2
R' B L R F U2
D2 B L F B' U2
D2 B L B' F U2
R' B R L F U2
U2 B F R F' B
U2 B F R B F'
U2 B' F R F' B
U2 B' F R B F'
U2 B2 F R F' B
U2 B2 F R B F'
U' L R F R U' F2
B L R F R' U2 F2
U L R B L U F'
B L R' B R F U2
U L U F R F' B
U L U F R B F'
R2 L D2 L2 B' R' F'
D2 L D F B' U2 R'
D2 L D B' F U2 R'
D2 L D' F B' U2 R'
U' L D' F L' R U'
U' L D' F R L' U'
B L D' F U' L' U'
D2 L D' B' F U2 R'
U2 L D2 L' F R B
L' R F' B2 L B R'
D2 L D2 F B' U2 R'
B2 L D2 F L' U2 F
D2 L D2 B' F U2 R'
U' L F L R U' F'
D2 L F L2 U2 F R
U' L F L' R U' F'
U' L F L2 R U' F'
U' L F R L U' F'
U' L F R L' U' F'
U' L F R L2 U' F'
U' L F R U' D F'
U' L F R U' D' F'
U' L F R U' D2 F'
U' L F R U' F' D
U' L F R U' F' D'
U' L F R U' F' D2
U2 L F R F' L' B
U2 L F R F' B L'
U' L F R D U' F'
U2 L F R B F' L'
U' L F R D' U' F'
U' L F R D2 U' F'
B L F R' B R U2
F' L F U2 F R F'
B' L F U2 R F' R2
R' L B R F L U2
D2 L F D B' U2 R'
B L F U R U F'
F2 L F U2 F R F'
D2 L F D' B' U2 R'
F L F U2 F R F'
D2 L F D2 B' U2 R'
B L F U2 R F' R'
D2 L F B L B2 U2
D2 L F B' L U2 R'
D2 L F B' L' U2 R'
D2 L F B' L2 U2 R'
D2 L F B' U2 R' D
D2 L F B' U2 R' D'
D2 L F B' U2 R' D2
D2 L F B' U2 D R'
D2 L F B' U2 D' R'
D2 L F B' U2 D2 R'
D2 L F B' D U2 R'
D2 L F B' D' U2 R'
D2 L F B' D2 U2 R'
L' R B2 L F' B R'
L' R B2 L B F' R'
L' R B2 F' L B R'
D2 L B F L B2 U2
D2 L B' L2 U2 R' B'
D2 L B' D F U2 R'
D2 L B' D' F U2 R'
D2 L B' D2 F U2 R'
D2 L B' F L U2 R'
D2 L B' F L' U2 R'
D2 L B' F L2 U2 R'
D2 L B' F U2 R' D
D2 L B' F U2 R' D'
D2 L B' F U2 R' D2
D2 L B' F U2 D R'
D2 L B' F U2 D' R'
D2 L B' F U2 D2 R'
D2 L B' F D U2 R'
D2 L B' F D' U2 R'
D2 L B' F D2 U2 R'
U L' R B L U F'
B' L' R' B' D2 F2 L'
R2 L' D2 B' L2 R' F'
R2 L' D2 B' R' L2 F'
R2 L' D2 B' R' F' L2
U L' U F R F' B
U L' U F R B F'
D2 L' U2 R F R B'
D2 L' U2 R F B' R
D2 L' U2 R B' F R
D2 L' U2 R' F R B'
D2 L' U2 R' F B' R
D2 L' U2 R' B' F R
D2 L' U2 R2 F R B'
D2 L' U2 R2 F B' R
B' L' U2 R F' R2 B'
B' L' U2 R F' B' R2
D2 L' U2 R2 B' F R
B' L' U2 R B' F' R2
D2 L' U2 D F R B'
D2 L' U2 D F B' R
D2 L' U2 D B' F R
B' L' U2 R' B' D2 F2
D2 L' U2 D' F R B'
D2 L' U2 D' F B' R
D2 L' U2 D' B' F R
D2 L' U2 D2 F R B'
D2 L' U2 D2 F B' R
D2 L' U2 D2 B' F R
D2 L' U2 F R D B'
D2 L' U2 F R D' B'
D2 L' U2 F R D2 B'
D2 L' U2 F R B' D
D2 L' U2 F R B' D'
D2 L' U2 F R B' D2
D2 L' U2 F R' B' R2
D2 L' U2 F D R B'
D2 L' U2 F D B' R
D2 L' U2 F D' R B'
D2 L' U2 F D' B' R
D2 L' U2 F D2 R B'
D2 L' U2 F D2 B' R
D2 L' U2 F B R B2
D2 L' U2 F B' R D
D2 L' U2 F B' R D'
D2 L' U2 F B' R D2
D2 L' U2 F B' D R
D2 L' U2 F B' D' R
D2 L' U2 F B' D2 R
F' L' U2 F R F' B'
F' L' U2 F R B' F'
F' L' U2 F B' R F'
F2 L' U2 F R F' B'
F2 L' U2 F R B' F'
F2 L' U2 F B' R F'
D2 L' U2 B F R B2
D2 L' U2 B' R F R
D2 L' U2 B' R' F R
D2 L' U2 B' R2 F R
D2 L' U2 B' D F R
D2 L' U2 B' D' F R
D2 L' U2 B' D2 F R
D2 L' U2 B' F R D
D2 L' U2 B' F R D'
D2 L' U2 B' F R D2
D2 L' U2 B' F D R
D2 L' U2 B' F D' R
D2 L' U2 B' F D2 R
F L' U2 F R F' B'
F L' U2 F R B' F'
F' L' U2 B' F R F'
F L' U2 F B' R F'
F2 L' U2 B' F R F'
R L' F' B2 L B R'
F L' U2 B' F R F'
D2 L' D U2 F R B'
D2 L' D U2 F B' R
D2 L' D U2 B' F R
R' L' B L R U2 B2
L' R' B L R U2 B2
R' L' B R L U2 B2
R' L' B R U2 B2 R'
L' R' B R L U2 B2
L' R' B R U2 B2 R'
L2 R' B L R U2 B'
L2 R' B R L U2 B'
L R' B R F L U2
D2 L' D' U2 F R B'
D2 L' D' U2 F B' R
D2 L' D' U2 B' F R
