F' R' D R2 U2 F' R
F' R' D' B U2 L2 R'
F' R' D' B U2 R' L2
R D F' R D' L2 B
R D F' R D' B L2
R D F' R B D' L2
R D F' D' L2 R B
R D F' D' R L2 B
R D F' D' R B L2
R2 D' B R' F' D' L2
R F' R D' L2 B R'
R F' R D' B L2 R'
R F' R D' B R' L2
D F' U2 D' L2 R F'
D F' U2 D' R L2 F'
D F' U2 D' R F' L2
R2 F' D' L2 B R' F'
D F' D' R F' L2 B'
D F' D' U2 L2 R F'
D F' D' U2 R L2 F'
D F' D' U2 R F' L2
R2 F' D' B L2 R' F'
R2 F' D' B R' L2 F'
R2 F' D' B R' F' L2
R F' D' L2 R B R'
R F' D' R L2 B R'
R F' D' R B L2 R'
R F' D' R B R' L2
