R U' D2 L' F B
R U' D2 L' B F
R U' D2 B L' F
R U' B D2 L' F
R D2 U' L' F B
R D2 U' L' B F
R D2 U' B L' F
U2 L R2 U L2 F' B'
U2 L R2 U L2 B' F'
U2 L U L2 B' D2 F2
U2 L U B2 L2 F B'
U2 L U B2 L2 B' F
U2 L U' F B U2 L2
U2 L U' B U2 L2 B'
U2 L U' B F U2 L2
L2 R2 U' D2 L F' B'
L2 R2 U' D2 L B' F'
R2 L2 U' D2 L F' B'
R2 L2 U' D2 L B' F'
L2 R2 U' D2 F' L B'
R2 L2 U' D2 F' L B'
L2 R2 U' F' D2 L B'
R2 L2 U' F' D2 L B'
B2 L2 R U' F L B
L2 R2 D2 U' L F' B'
L2 R2 D2 U' L B' F'
L2 R2 D2 U' F' L B'
R2 L2 D2 U' L F' B'
R2 L2 D2 U' L B' F'
R2 L2 D2 U' F' L B'
U2 L2 R2 U L F' B'
U2 L2 R2 U L B' F'
U2 L2 R2 U F' L B'
U2 L2 U L B' D2 F2
R2 U L' F' B2 R' B
R2 U L' B2 F' R' B
R U R' B U2 L' B'
R2 U R2 B U2 L' B'
B2 R L2 U' F L B
B' R U B2 U2 B' L'
B2 R U B' U2 L' B2
B2 R U B' U2 B2 L'
B' R U' L' D2 F2 B
B' R U' L' D2 B F2
R2 U F2 R F' U2 F2
B2 R U' L2 F L B
D2 R U' D2 L' F B
D2 R U' D2 L' B F
D2 R U' D2 B L' F
D' R U' D2 L' F B
D' R U' D2 L' B F
D' R U' D2 B L' F
B' R U' D2 L' F2 B
B' R U' D2 L' B F2
B' R U' D2 B L' F2
D2 R U' B D2 L' F
D' R U' B D2 L' F
D R U' D2 L' F B
D R U' D2 L' B F
D R U' D2 B L' F
B2 R U' B L' D2 F2
B2 R U' B D2 L' F2
D R U' B D2 L' F
B' R D L2 U' L B
D2 R D2 U' L' F B
D2 R D2 U' L' B F
D2 R D2 U' B L' F
D' R D2 U' L' F B
D' R D2 U' L' B F
D' R D2 U' B L' F
B' R D2 U' L' F2 B
B' R D2 U' L' B F2
B' R D2 U' B L' F2
D R D2 U' L' F B
D R D2 U' L' B F
D R D2 U' B L' F
R2 U' L' R' B R F'
R U' L' R F' R' B
R2 U' L' F' R' B R
R U' L' B R F' R'
R2 U' L2 D2 L F' B'
R2 U' L2 D2 L B' F'
R2 U' L2 D2 F' L B'
R2 U' L2 F' D2 L B'
R U' R L' F' R' B
R2 U' R' L' B R F'
R2 U' R' B L' R F'
R2 U' R' B R L' F'
R2 U' D2 L F' B' L2
R2 U' D2 L B' L2 F'
R2 U' D2 L B' F' L2
R2 U' D2 L' F' D2 B2
R U' D' B D' L' F
R U' D2 L' D F B
R U' D2 L' D B F
R U' D2 L' D' F B
R U' D2 L' D' B F
R U' D2 L' D2 F B
R U' D2 L' D2 B F
R U' D2 L' F D B
R U' D2 L' F D' B
R U' D2 L' F D2 B
R U' D2 L' F B D
R U' D2 L' F B D'
R U' D2 L' F B D2
R U' D2 L' B D F
R U' D2 L' B D' F
R U' D2 L' B D2 F
R U' D2 L' B F D
R U' D2 L' B F D'
R U' D2 L' B F D2
R U' D2 B L' D F
R U' D2 B L' D' F
R U' D2 B L' D2 F
R U' D2 B L' F D
R U' D2 B L' F D'
R U' D2 B L' F D2
R U' D2 B' L' F B2
R U' D2 B' L' B2 F
R2 U' F' D2 L B' L
R2 U' F' D2 B' L B'
R U' B L' R F' R'
R U' B R L' F' R'
R U' B D2 L' D F
R U' B D2 L' D' F
R U' B D2 L' D2 F
R U' B D2 L' F D
R U' B D2 L' F D'
R U' B D2 L' F D2
R U' B2 D2 B' L' F
B R' F' U' F U' L'
U2 R2 L U L2 F' B'
U2 R2 L U L2 B' F'
U2 R2 L2 U L F' B'
