L2 U L2 B' R' U2
L2 U' F' L' F2 R
L2 U' F' L' F2 R
L2 D F2 U' F' L'
R2 D' F2 B' U2 L
R2 D' B' F2 U2 L
B L D2 B' U' F2 R
U' L B' L U' F B
U' L B' L U' B F
B' L B' U L' B U2
B' L B' U B L' U2
B2 L B' U L' B2 U2
B2 L B' U B2 L' U2
B2 L B' U' D2 F2 R
B L B' U B' L' U2
B2 L B' D2 U' F2 R
D' L' U L B' U2 L
D' L2 U L2 B' U2 L
F' L2 U L2 B' R' U2
F2 L2 U L2 B' R' U2
B2 L2 U L2 B U2 L
F L2 U L2 B' R' U2
B2 L2 U B L2 U2 L'
D' L2 U' D2 R2 F L'
D' L2 U' D2 F L' R2
D' L2 U' D2 F R2 L'
F' L2 U' F' L' F2 R
B2 L2 U' D2 R2 F' L'
F2 L2 U' F' L' F2 R
D L2 U' F D2 L' R2
D L2 U' F D2 R2 L'
F L2 U' F' L' F2 R
F' L2 D F2 U' F' L'
F2 L2 D F2 U' F' L'
F L2 D F2 U' F' L'
L' U L D' B' U2 L
D' L2 D2 U' R2 F L'
D' L2 D2 U' F L' R2
D' L2 D2 U' F R2 L'
B2 L2 D2 U' R2 F' L'
L2 U L2 R B' R' U2
L2 U L2 R' B' R' U2
L2 U L2 R2 B' R' U2
L2 U L2 D B' R' U2
L2 U L2 D' B' R' U2
L2 U L2 D2 B' R' U2
L2 U L2 B' R' U2 D
L2 U L2 B' R' U2 D'
L2 U L2 B' R' U2 D2
L2 U L2 B' R' D U2
L2 U L2 B' R' D' U2
L2 U L2 B' R' D2 U2
L2 U L2 B' D R' U2
L2 U L2 B' D' R' U2
L2 U L2 B' D2 R' U2
L2 U R L2 B' R' U2
L2 U R' L2 B' R' U2
L2 U R2 L2 B' R' U2
L2 U D2 F R2 B L
L2 U F D2 R2 B L
B' R U' D2 R' B U'
L2 U B L2 B' U2 L'
L2 U B' L2 R' B' U2
L2 U B' R' L2 B' U2
L2 U B2 L2 B' U2 L
B' R D2 U' R' B U'
L2 U' L2 B' U2 B L
L2 U' R F' L' F2 R
L2 U' R' F' L' F2 R
L2 U' R2 F' L' F2 R
D' R B' U2 D L B'
D' R B' D U2 L B'
L2 U' D2 R2 F' L' F2
L2 U' D2 F' L' R2 F2
L2 U' D2 F' L' F2 R2
L2 U' D2 F' R2 L' F2
L2 U' F R' D2 L2 R2
L2 U' F R' D2 R2 L2
L2 U' F U2 L2 R U2
L2 U' F U2 R L2 U2
L2 U' F' L' R F2 R
L2 U' F' L' R' F2 R
L2 U' F' L' R2 F2 R
L2 U' F' L' F2 R D
L2 U' F' L' F2 R D'
L2 U' F' L' F2 R D2
L2 U' F' L' F2 D R
L2 U' F' L' F2 D' R
L2 U' F' L' F2 D2 R
L2 U' F' R L' F2 R
L2 U' F' R' L' F2 R
L2 U' F' R2 L' F2 R
B' R' U F2 L' F U
B' R' F2 U L' F U
D2 R' B' U' R B2 U'
D2 R' B' U' B2 R U'
D' R' B' U' R U' L
R2 U2 D L2 F L' B2
R2 U2 D L2 F B2 L'
R2 U2 D L2 B2 F L'
L' U2 F U' L B' U2
B' R2 D F U2 L' B2
B' R2 D F U2 B2 L'
B' R2 D F' R U2 B2
F' R2 D' F2 B' U2 L
F' R2 D' B' F2 U2 L
F2 R2 D' F2 B' U2 L
F2 R2 D' B' F2 U2 L
F R2 D' F2 B' U2 L
F R2 D' B' F2 U2 L
D' R2 B' U' R2 U' L
D' R2 B' U2 L D B2
D' R2 B' U2 D L B2
D' R2 B' D U2 L B2
D' R2 B' D' F2 U2 L
B' U L U2 B' U' B
R2 D U2 L2 F L' B2
R2 D U2 L2 F B2 L'
R2 D U2 L2 B2 F L'
B' U L' F U' F' U2
R2 D F B' U2 B' L'
R2 D F' R B' U2 B'
U2 D L2 F D' L' B2
U2 D L2 F D' B2 L'
R2 D F' B' R U2 B'
L2 D F2 L' B' U' F'
L2 D F2 U' L F' L'
L2 D F2 U' L' F' L'
L2 D F2 U' L2 F' L'
L2 D F2 U' D F' L'
L2 D F2 U' D' F' L'
L2 D F2 U' D2 F' L'
L2 D F2 U' F' L' D
L2 D F2 U' F' L' D'
L2 D F2 U' F' L' D2
L2 D F2 U' F' D L'
L2 D F2 U' F' D' L'
L2 D F2 U' F' D2 L'
L2 D F2 D U' F' L'
L2 D F2 D' U' F' L'
L2 D F2 D2 U' F' L'
L2 D F2 B U' F' L'
L2 D F2 B' U' F' L'
L2 D F2 B2 U' F' L'
L2 D B F2 U' F' L'
R2 D B' U2 D2 B' L
R2 D B' D2 U2 B' L
L2 D B' F2 U' F' L'
R2 D B' F U2 B' L'
R2 D B' F' R U2 B'
L2 D B2 F2 U' F' L'
R2 D' R F2 B' U2 L
R2 D' R B' F2 U2 L
R2 D' R' F2 B' U2 L
R2 D' R' B' F2 U2 L
R2 D' R2 F2 B' U2 L
R2 D' R2 B' F2 U2 L
B' U' L B' L' U' B
R2 D' F2 R B' U2 L
R2 D' F2 R' B' U2 L
R2 D' F2 R2 B' U2 L
R2 D' F2 B R' B2 U2
R2 D' F2 B' R U2 L
R2 D' F2 B' R' U2 L
R2 D' F2 B' R2 U2 L
R2 D' F2 B' U2 L D
R2 D' F2 B' U2 L D'
R2 D' F2 B' U2 L D2
R2 D' F2 B' U2 D L
R2 D' F2 B' U2 D' L
R2 D' F2 B' U2 D2 L
R2 D' F2 B' D U2 L
R2 D' F2 B' D' U2 L
R2 D' F2 B' D2 U2 L
R2 D' B R' F2 B2 U2
R2 D' B R' B2 F2 U2
R' D' B' U' R U' L
R2 D' B F2 R' B2 U2
R2 D' B' R F2 U2 L
R2 D' B' R' F2 U2 L
R2 D' B' R2 F2 U2 L
R2 D' B' U2 L D2 B2
R2 D' B' U2 D2 L B2
R2 D' B' D2 U2 L B2
R2 D' B' F2 R U2 L
R2 D' B' F2 R' U2 L
R2 D' B' F2 R2 U2 L
R2 D' B' F2 U2 L D
R2 D' B' F2 U2 L D'
R2 D' B' F2 U2 L D2
R2 D' B' F2 U2 D L
R2 D' B' F2 U2 D' L
R2 D' B' F2 U2 D2 L
R2 D' B' F2 D U2 L
R2 D' B' F2 D' U2 L
R2 D' B' F2 D2 U2 L
R D' B' U2 D L B'
R D' B' D U2 L B'
B' U' D' B' U' L B
B' U' D2 R' B U' B'
D2 U2 L2 D' F L' B2
D2 U2 L2 D' F B2 L'
D2 U2 L2 D' B2 F L'
B' U' B U' D' B' L
B' U' B D' U' B' L
U2 D2 L2 D' F L' B2
U2 D2 L2 D' F B2 L'
U2 D2 L2 D' B2 F L'
D U2 L2 F D' L' B2
D U2 L2 F D' B2 L'
L2 D2 U F R2 B L
L2 D2 U' R2 F' L' F2
L2 D2 U' F' L' R2 F2
L2 D2 U' F' L' F2 R2
L2 D2 U' F' R2 L' F2
B' U2 L' U' F L U
L2 D2 F2 U' F' L' R2
L2 D2 F2 U' F' R2 L'
L' F U L B' U2 L'
L' F U' L B' U2 B
R' F D' B' U2 L B'
R2 F D' F2 B' U2 L
R2 F D' B' F2 U2 L
L2 F' L' B' U' F2 R
B' D F' R U' R' U'
R2 F' D' F2 B' U2 L
R2 F' D' B' F2 U2 L
D F' B' R U' R' U'
B' D' U' B' U' L B
B2 D' B R' U' R U'
L2 F2 U L2 U2 F' L'
L2 F2 U' D2 F' L' R2
L2 F2 U' D2 F' R2 L'
L2 F2 U' F' D2 L' R2
L2 F2 U' F' D2 R2 L'
U' F2 D L2 R2 F L'
U' F2 D L2 F L' R2
U' F2 D L2 F R2 L'
U' F2 D R2 L2 F L'
B' D2 R' U' B R U'
R2 F2 D' F2 B' U2 L
R2 F2 D' B' F2 U2 L
L2 F2 D2 U' F' L' R2
L2 F2 D2 U' F' R2 L'
R' F2 B' U L' F U
B' D2 U' R' B U' B'
L F2 B' L U' R F
D' B R' B2 U' R U'
L2 B U L2 B' R' U2
L2 B U' F' L' F2 R
L2 B D F2 U' F' L'
L B' L U L2 B' U2
L B' L U' D2 R2 F
L B' L U' D2 F R2
L B' L U' F D2 R2
L B' L D F2 U' F'
L B' L D2 U' R2 F
L B' L D2 U' F R2
D' B' R U' R' U' L
U B' L' U F B U
U B' L' U B F U
D2 B' R' U' B R U'
D' B' R' U' R U' L
L B' L2 U L B' U2
U B' L2 U B U L
D' B' R2 U' R2 U' L
D' B' R2 U2 L D B2
D' B' R2 U2 D L B2
D' B' R2 D U2 L B2
D' B' R2 D' F2 U2 L
R' B' U F2 L' F U
L2 B' U L2 B' R' U2
D2 B' U' R' B U' B'
D' B' U' B U' B' L
D' B' U' B2 U' B2 L
D' B' U2 L U' L' U
D' B' U2 L2 D' L' B2
D' B' U2 L2 D' B2 L'
L2 B' U' F' L' F2 R
L B' U' F2 D R F'
L2 B' D F2 U' F' L'
R2 B' D F U2 L' B2
R2 B' D F U2 B2 L'
R2 B' D F' R U2 B2
R' B' F2 U L' F U
D B' F' R U' R' U'
L B' F2 L U' R F
L2 B2 U L2 B' R' U2
L2 B2 U' F' L' F2 R
L2 B2 D F2 U' F' L'
R2 B2 D' F2 B R' U2
R2 B2 D' B R' F2 U2
R2 B2 D' B F2 R' U2
U B2 D' B R' U2 R'
