D L B' D F2 U2 L2
D L B' D' R2 U2 B2
R2 L' D2 F' R U R
L' R2 D2 F' R U R
B2 L2 F L U R' F'
L U' B U2 L2 R' U
L U' B U2 R' L2 U
L U' B' L B2 R' U'
L' U2 B' L B2 U' R'
L' D2 R2 F' R U R'
B U2 L' R' B U R'
B U2 L' D' R' B U
B U2 L' B U R' F'
B U2 R' L' B U R'
B U2 R' B L' U R'
B U2 D' L' R' B U
B U2 D' R' L' B U
B U2 D' R' B L' U
B U2 B L' U R' F'
B D' U2 L' R' B U
B D' U2 R' L' B U
B D' U2 R' B L' U
L' B R' U' L2 U2 L2
L B U2 L2 R' U R
L B U2 R' L2 U R
L' B' U2 L B2 U' R'
L B' U' L B2 R' U'
R' B2 L' U R' F' L'
R2 B2 L' F' U R' F'
