D' R2 B L U L
B L R2 F2 B U F
B L R2 B F2 U F
D' L' R2 B L U L2
D' L2 R2 B L U L'
B R2 L F2 B U F
B R2 L B F2 U F
D' R2 L' B L U L2
D' R2 L2 B L U L'
D' R2 D F2 B L U
D' R2 D B L F2 U
D' R2 D B F2 L U
D' R2 F B L U L
D' R2 F' B L U L
D' R2 F2 B L U L
D' R2 B L U L D
D' R2 B L U L D'
D' R2 B L U L D2
D' R2 B L U D L
D' R2 B L U D' L
D' R2 B L U D2 L
D' R2 B L D U L
D' R2 B L D' U L
D' R2 B L D2 U L
D' R2 B L F U L
D' R2 B L F' U L
D' R2 B L F2 U L
D' R2 B D L F2 U
D' R2 B D F2 L U
D' R2 B F L U L
D' R2 B F' L U L
D' R2 B F2 L U L
B2 U F2 L2 B' L U
L' D' R2 B L U L
L2 D' R2 B L U L
F' U B2 U F' L' U
L D' R2 B L U L
R2 D' B L R2 U L
R2 D' B R2 L U L
B2 U' D2 F' R B2 U'
B2 U' D2 F' B2 R U'
B2 U' D2 B2 F' R U'
B2 U' F' R2 B R' U'
F2 U' B2 U' F R U'
F2 U2 D F L2 R U'
F2 U2 D F R L2 U'
F' U2 D' F' L' R2 U
F' U2 D' F' R2 L' U
F' U2 D2 F' L' U F'
F2 U2 D2 F R U' F
F2 U2 F R U B2 U2
F2 U2 F R U' D2 F2
F2 U2 F R D L2 U'
F2 U2 F R D2 U' F2
F2 U2 F D L2 R U'
F2 U2 F D R L2 U'
F2 U2 F D2 R U' F2
F' U2 F' L' U D2 F2
F' U2 F' L' U' B2 U2
F' U2 F' L' D' R2 U
F' U2 F' L' D2 U F2
F' U2 F' D' L' R2 U
F' U2 F' D' R2 L' U
F' U2 F' D2 L' U F2
F' D L2 U2 F' L' U
F D L2 B' R' U' R'
F2 D U2 F L2 R U'
F2 D U2 F R L2 U'
F2 D' R2 U2 F R U'
F' D' U2 F' L' R2 U
F' D' U2 F' R2 L' U
B' D' F' R' U' L2 F
R2 F2 D' B L R2 U
R2 F2 D' B R2 L U
R2 F2 D2 B L U F2
R2 F2 B L R2 U F'
R2 F2 B L U' B U2
R2 F2 B R2 L U F'
B2 D2 U' F' R B2 U'
B2 D2 U' F' B2 R U'
B2 D2 U' B2 F' R U'
F' D2 U2 F' L' U F'
R2 B L R2 F2 U F
F2 D2 U2 F R U' F
R2 B L F2 R2 U F'
R2 B L F2 U' B U2
R2 B R2 L F2 U F
R2 B F2 L R2 U F'
R2 B F2 L U' B U2
R2 B F2 R2 L U F'
R2 B2 U F2 B' L U
R2 B2 U B' L F2 U
R2 B2 U B' F2 L U
