D2 B' L U' R' B
B' L F2 U' R' F' B'
B' L F2 U' R' B' F'
B' L2 F L' U' R' B'
D2 R' B' L U' R' B2
L' D' L2 B' L R' F
L' D' L2 B' L F R'
L' D' L2 B' R' L F
R' D2 B' L U' R' B
R2 D2 B' L U' R' B
R D2 B' L U' R' B
D2 F B' L U' R' B
B' D F' R U' F' R2
D F' R B' U' F' R'
D2 F' B' L U' R' B
D F' B' R U' F' R2
D2 F2 B' L U' R' B
F2 D2 B' U' R' F' B
F2 D2 B' U' R' B F'
F D2 B' L' U' R' B
B' F L' U F U2 R'
D2 B' L R U' R2 B
D2 B' L U' R' D B
D2 B' L U' R' D' B
D2 B' L U' R' D2 B
D2 B' L U' R' B D
D2 B' L U' R' B D'
D2 B' L U' R' B D2
D2 B' L F U' R' B
D2 B' L F' U' R' B
D2 B' L F2 U' R' B
D2 B' R L U' R2 B
B' F D2 L' U' R' B
F2 B' L U' R' F' B'
F2 B' L U' R' B' F'
F B' L' U F U2 R'
D2 B' D2 L U' R' B'
D2 B' F L U' R' B
D2 B' F' L U' R' B
F2 B' U' D2 R' F' B
F2 B' U' D2 R' B F'
D2 B' F2 L U' R' B
D B' F' R U' F' R2
B' F2 L U' R' F' B'
B' F2 L U' R' B' F'
F2 B' D2 U' R' F' B
F2 B' D2 U' R' B F'
F B' D2 L' U' R' B
B' F2 U' D2 R' F' B
B' F2 U' D2 R' B F'
B' F2 D2 U' R' F' B
B' F2 D2 U' R' B F'
