D B2 L U' R' B
F L R2 U L2 R U
F L R2 U R L2 U
D' L U R' F2 U B'
D' L U F2 R' U B'
L R D R F' B2 U2
L R D R B2 F' U2
R L D R F' B2 U2
R L D R B2 F' U2
L R D B2 R F' U2
R L D B2 R F' U2
F L' R' U' L2 R' U2
F L' R' U' R' L2 U2
F L' R' D' B2 U L
R' L' D' B2 U L B'
L' R' D' B2 U L B'
F L' D' R' F2 B2 U
F L' D' R' B2 F2 U
F L' D' F2 R' B2 U
F L' D2 R' U L2 R'
F L' D2 R' U R' L2
R' U D B2 L R' B
R' U D B2 R' L B
R' U D' B2 L R' B'
R' U D' B2 R' L B'
R' U B2 L D R' B
R' U B2 R' D' L B'
R' U B2 D L R' B
R' U B2 D R' L B
R' U B2 D' L R' B'
R' U B2 D' R' L B'
R' U' L D R' U2 B
R' U' R' D' L U2 B'
R' U' D L R' U2 B
R' U' D R' L U2 B
R' U' D' L R' U2 B'
R' U' D' R' L U2 B'
F R' L' U' L2 R' U2
F R' L' U' R' L2 U2
F R' L' D' B2 U L
F' R' U D B2 L R'
F' R' U D B2 R' L
F2 R' U' L R' F' U2
F2 R' U' R' L F' U2
F2 R' U' R' F' L U2
D R' U2 B2 U' R' B'
F' R' D U B2 L R'
F' R' D U B2 R' L
D' R' F2 U' L U2 B'
F R' B2 L' U L2 R'
F R' B2 L' U R' L2
F R2 L U L2 R U
F R2 L U R L2 U
R D L R F' B2 U2
R D L R B2 F' U2
R D L B2 R F' U2
R D R L F' B2 U2
R D R L B2 F' U2
R D R F' L B2 U2
R D R F' B2 U2 R'
R D R B2 F' U2 R'
R' D U B2 L R' B
R' D U B2 R' L B
R' D U' L R' U2 B
R' D U' R' L U2 B
R' D B2 U L R' B
R' D B2 U R' L B
R D B2 R U2 R2 B
R D B2 R F' U2 R2
R2 D' L U R U B'
R D' L R U2 F2 B'
R D' L R U2 B' F2
R D' L U2 F2 B' L'
R D' L U2 B' F2 L'
U' D B2 L U' R' B
R D' L2 F2 L' R B'
R D' L2 F2 L' B' R
R D' L2 F2 R L' B'
U2 D B2 L U' R' B
R D' R L U2 F2 B'
R D' R L U2 B' F2
D U B2 L U' R' B
U D B2 L U' R' B
R' D' U B2 L R' B'
R' D' U B2 R' L B'
R' D' U' L R' U2 B'
R' D' U' R' L U2 B'
R' D' B2 U L R' B'
R' D' B2 U R' L B'
D U' B2 L U' R' B
D U2 B2 L U' R' B
R' F L' U' L2 R' U2
R' F L' U' R' L2 U2
R' F L' D' B2 U L
L F R2 U L' R U
L F R2 U R L' U
R' F B2 L' U L2 R'
R' F B2 L' U R' L2
D F B2 L U' R' B
F' D B2 L R U' R2
F' D B2 R L U' R2
D F' B2 L U' R' B
D' F2 R' U' L U2 B'
R' F2 U' L R' F' U2
R' F2 U' R' L F' U2
R' F2 U' R' F' L U2
D F2 B2 L U' R' B
D B2 L R U' R2 B
D B2 L U' R' D B
D B2 L U' R' D' B
D B2 L U' R' D2 B
D B2 L U' R' B D
D B2 L U' R' B D'
D B2 L U' R' B D2
D B2 L F U' R' B
D B2 L F' U' R' B
D B2 L F2 U' R' B
D B2 R L U' R2 B
R' B2 U L D R' B
R' B2 U R' D' L B'
R' B2 U D L R' B
R' B2 U D R' L B
R' B2 U D' L R' B'
R' B2 U D' R' L B'
R' B2 D U L R' B
R' B2 D U R' L B
R' B2 D' U L R' B'
R' B2 D' U R' L B'
R' B2 F L' U L2 R'
R' B2 F L' U R' L2
D B2 D2 L U' R' B'
D B2 F L U' R' B
D B2 F' L U' R' B
D B2 F2 L U' R' B
