R' B2 L U F'
R' L B2 L U F'
L' R' B2 L U F'
R' L' B2 L U F'
L2 R' B2 L U F'
L R' B2 L U F'
R' L2 B2 L U F'
B2 U2 L R2 U' F
B2 U2 R2 L U' F
B2 D R' U F' B2
B2 D R' U B2 F'
B2 D2 L2 R' U F'
B2 D2 R' L2 U F'
R' B2 L U D F'
R' B2 L U D' F'
R' B2 L U D2 F'
R' B2 L U F' D
R' B2 L U F' D'
R' B2 L U F' D2
R' B2 L D U F'
R' B2 L D' U F'
R' B2 L D2 U F'
R' B2 D L U F'
R' B2 D' L U F'
R' B2 D2 L U F'
D L R' U F' B2 R'
D L R' U B2 F' R'
U2 L R2 U' D' R2 F
U2 L R2 U' D' F R2
U2 L R2 U' F D' R2
U2 L R2 U2 B2 U F
U2 L R2 D' U' R2 F
U2 L R2 D' U' F R2
U2 L R2 D2 F2 U' F'
B2 L U2 L R2 U' F
B2 L U2 R2 L U' F
B2 L D R' U F' B2
B2 L D R' U B2 F'
B2 L D2 L2 R' U F'
B2 L D2 R' L2 U F'
R' L B2 L U D F'
R' L B2 L U D' F'
R' L B2 L U D2 F'
R' L B2 L U F' D
R' L B2 L U F' D'
R' L B2 L U F' D2
R' L B2 L D U F'
R' L B2 L D' U F'
R' L B2 L D2 U F'
R' L B2 D L U F'
R' L B2 D' L U F'
R' L B2 D2 L U F'
B2 L' U2 L R2 U' F
B2 L' U2 R2 L U' F
B2 L' D R' U F' B2
B2 L' D R' U B2 F'
B2 L' D2 L2 R' U F'
B2 L' D2 R' L2 U F'
R' L' B2 L U D F'
R' L' B2 L U D' F'
R' L' B2 L U D2 F'
R' L' B2 L U F' D
R' L' B2 L U F' D'
R' L' B2 L U F' D2
R' L' B2 L D U F'
R' L' B2 L D' U F'
L' R' B2 L U D F'
L' R' B2 L U D' F'
L' R' B2 L U D2 F'
L' R' B2 L U F' D
L' R' B2 L U F' D'
L' R' B2 L U F' D2
R' L' B2 L D2 U F'
L' R' B2 L D U F'
L' R' B2 L D' U F'
L' R' B2 L D2 U F'
L2 R' B2 L U D F'
L2 R' B2 L U D' F'
L2 R' B2 L U D2 F'
L2 R' B2 L U F' D
L2 R' B2 L U F' D'
L2 R' B2 L U F' D2
L R' B2 L U D F'
L R' B2 L U D' F'
L R' B2 L U D2 F'
L R' B2 L U F' D
L R' B2 L U F' D'
L R' B2 L U F' D2
L2 R' B2 L D U F'
L R' B2 L D U F'
L2 R' B2 L D' U F'
L R' B2 L D' U F'
L2 R' B2 L D2 U F'
L R' B2 L D2 U F'
R' L' B2 D L U F'
L' R' B2 D L U F'
R' L' B2 D' L U F'
L' R' B2 D' L U F'
R' L' B2 D2 L U F'
L' R' B2 D2 L U F'
L2 R' B2 D L U F'
L R' B2 D L U F'
L2 R' B2 D' L U F'
L R' B2 D' L U F'
L2 R' B2 D2 L U F'
L R' B2 D2 L U F'
D2 L2 R U D R2 F'
D2 L2 R D U R2 F'
D2 L2 R' U D F' R2
D2 L2 R' U2 F2 U' F
D2 L2 R' D U F' R2
D2 L2 R' D2 B2 U F'
D2 L2 U2 L F2 U' F'
B2 L2 U2 L R2 U' F
B2 L2 U2 R2 L U' F
D2 L2 U2 F2 L U' F
D2 L2 D R' U F' R'
R' L2 B2 L U D F'
R' L2 B2 L U D' F'
R' L2 B2 L U D2 F'
R' L2 B2 L U F' D
R' L2 B2 L U F' D'
R' L2 B2 L U F' D2
R' L2 B2 L D U F'
R' L2 B2 L D' U F'
R' L2 B2 L D2 U F'
B2 L2 D R' U F' B2
B2 L2 D R' U B2 F'
R' L2 B2 D L U F'
R' L2 B2 D' L U F'
R' L2 B2 D2 L U F'
D2 L2 D2 R' B2 U F'
B2 L2 D2 L2 R' U F'
B2 L2 D2 R' L2 U F'
D2 L2 D2 B2 R' U F'
D2 R L2 U D R2 F'
D2 R L2 D U R2 F'
R' U F' U' B2 L U
D R U' L2 B U2 B
D' R U' F2 L' B U2
D' R U' F2 B L' U2
D' R U' B F2 L' U2
B2 R U' B U' R U'
D R U' B L2 U2 B
R' U B2 L U L' F'
D R' L U F' B2 R'
D R' L U B2 F' R'
D2 R' L2 U D F' R2
D2 R' L2 U2 F2 U' F
D2 R' L2 D U F' R2
D2 R' L2 D2 B2 U F'
D2 R' U D F' R2 B
D' R' U D2 F' R' B2
D' R' U F' R2 B R
B2 R' U F' U R' U'
D R' U D2 F' R2 B
D R' U F' B2 D2 R2
D R' U B2 D2 F' R2
D R' U B2 F' D2 R2
D' R' U' F2 U2 R' F
D' R' U' F2 U2 F R'
D R' U' L2 U2 F' B2
D R' U' L2 U2 B2 F'
D2 R' D U F' R2 B
D' R' D' L2 U F' R'
D' R' D2 U F' R' B2
D R' D2 U F' R2 B
F' R' F B2 L U F2
B' R' B2 L B U F'
B2 R' B2 L B2 U F'
F2 R' B2 L F2 U F
F' R' B2 F L U F2
R' U2 D2 F2 R' U' F
U2 R2 L U' D' R2 F
U2 R2 L U' D' F R2
U2 R2 L U' F D' R2
U2 R2 L U2 B2 U F
R U2 D' R U' R F'
U2 R2 L D' U' R2 F
U2 R2 L D' U' F R2
U2 R2 L D2 F2 U' F'
U2 R2 U2 R' B2 U F'
U2 R2 U2 B2 R' U F'
U2 R2 D' L U' R2 F
U2 R2 D' L U' F R2
U2 R2 D2 L F2 U' F'
U2 R2 D2 F2 L U' F
U2 D L U' F B2 R'
U2 D L U' B2 R' F
U2 D L U' B2 F R'
B U R2 F' L' U' L
B2 U F' U L' R2 U'
B2 U F' U R2 L' U'
R D' U2 R U' R F'
R' D' B2 L U F' R2
D U2 L U' F B2 R'
D U2 L U' B2 R' F
D U2 L U' B2 F R'
B2 U' B U' L R2 U'
B2 U' B U' R2 L U'
B' U2 L R2 U' F R
B2 U2 L R2 U' D F
B2 U2 L R2 U' D' F
B2 U2 L R2 U' D2 F
B2 U2 L R2 U' F D
B2 U2 L R2 U' F D'
B2 U2 L R2 U' F D2
B2 U2 L R2 D U' F
B2 U2 L R2 D' U' F
B2 U2 L R2 D2 U' F
B2 U2 L U' D F B2
B2 U2 L U' D B2 F
B2 U2 L U' F D B2
R' D2 U2 F2 R' U' F
B2 U2 L D U' F B2
B2 U2 L D U' B2 F
B U2 L R2 F' U' F2
B2 U2 L' R2 U B' U2
B' U2 R2 L U' F R
B2 U2 R2 L U' D F
B2 U2 R2 L U' D' F
B2 U2 R2 L U' D2 F
B2 U2 R2 L U' F D
B2 U2 R2 L U' F D'
B2 U2 R2 L U' F D2
B2 U2 R2 L D U' F
B2 U2 R2 L D' U' F
B2 U2 R2 L D2 U' F
B2 U2 R2 L' U B' U2
B2 U2 R2 U2 R' U F'
B2 U2 R2 D L U' F
B2 U2 R2 D' L U' F
B2 U2 R2 D2 L U' F
B U2 R2 L F' U' F2
B2 U2 D L U' F B2
B2 U2 D L U' B2 F
B U2 R2 F' L U' F
B2 D L R' U F' B2
B2 D L R' U B2 F'
B2 D L' R' U F' B2
B2 D L' R' U B2 F'
B2 D L2 R' U F' B2
B2 D L2 R' U B2 F'
B2 D R U' B U2 B
B2 D R' L U F' B2
B2 D R' L U B2 F'
B2 D R' L' U F' B2
B2 D R' L' U B2 F'
B2 D R' L2 U F' B2
B2 D R' L2 U B2 F'
B2 D R' U F' B2 D
B2 D R' U F' B2 D'
B2 D R' U F' B2 D2
B2 D R' U B2 D F'
B2 D R' U B2 D' F'
B2 D R' U B2 D2 F'
B2 D R' U B2 F' D
B2 D R' U B2 F' D'
B2 D R' U B2 F' D2
B2 D R' D L2 U F'
B' D R' B' U F' B'
B' D R' B' U B' F'
R' F B2 L F' U F'
B2 D U2 L U' F B2
B2 D U2 L U' B2 F
B' D B' R' U F' B'
B' D B' R' U B' F'
R' F' U' F B2 L U
R' F' U' B2 F L U
B2 D' R U' F2 B U2
B2 D' R U' B F2 U2
B2 D' R' U D2 F' B2
B2 D' R' U D2 B2 F'
B2 D' R' U' F2 U2 F
B2 D' R' D' L2 U F'
B2 D' R' D2 U F' B2
B2 D' R' D2 U B2 F'
B2 D2 L2 R U' B U2
B2 D2 L2 R' U D F'
B2 D2 L2 R' U D' F'
B2 D2 L2 R' U D2 F'
B2 D2 L2 R' U F' D
B2 D2 L2 R' U F' D'
B2 D2 L2 R' U F' D2
B2 D2 L2 R' D U F'
B2 D2 L2 R' D' U F'
B2 D2 L2 R' D2 U F'
B2 D2 L2 U2 L U' F
B2 D2 L2 D R' U F'
B2 D2 L2 D' R' U F'
B2 D2 L2 D2 R' U F'
B2 D2 R L2 U' B U2
B D2 L2 B R' U F'
B2 D2 R' L2 U D F'
B2 D2 R' L2 U D' F'
B2 D2 R' L2 U D2 F'
B2 D2 R' L2 U F' D
B2 D2 R' L2 U F' D'
B2 D2 R' L2 U F' D2
B2 D2 R' L2 D U F'
B2 D2 R' L2 D' U F'
B2 D2 R' L2 D2 U F'
B2 D2 R' U D' F' B2
B2 D2 R' U D' B2 F'
B2 D2 R' U F' D' B2
B' D2 R' B' L2 U F'
B2 D2 R' D' U F' B2
B2 D2 R' D' U B2 F'
R' B L B L U F'
R' B L' B L U F'
R' B L2 B L U F'
B' D2 B' L2 R' U F'
B' D2 B' R' L2 U F'
B D2 B L2 R' U F'
B D2 B R' L2 U F'
U' B U' L R2 F' U'
U' B U' R2 L F' U'
U' B U' R2 F' L U'
U B R2 F' L' U' L
R' B D B L U F'
R' B D' B L U F'
R' B D2 B L U F'
R' B2 L R2 U' B U2
R' B2 L U L' F' L
R' B2 L U L2 F' L2
R' B2 L U D F' D
R' B2 L U D F' D'
R' B2 L U D F' D2
R' B2 L U D' F' D
R' B2 L U D' F' D'
R' B2 L U D' F' D2
R' B2 L U D2 F' D
R' B2 L U D2 F' D'
R' B2 L U D2 F' D2
R' B2 L U F2 D F
R' B2 L U F2 D' F
R' B2 L U F2 D2 F
R' B2 L U' B U2 F'
R' B2 L U' B' U2 F'
R' B2 L U' B2 U2 F'
R' B2 L U2 L U' F'
R' B2 L U2 L' U' F'
R' B2 L U2 L2 U' F'
R' B2 L D U F' D
R' B2 L D U F' D'
R' B2 L D U F' D2
R' B2 L D' U F' D
R' B2 L D' U F' D'
R' B2 L D' U F' D2
R' B2 L D2 U F' D
R' B2 L D2 U F' D'
R' B2 L D2 U F' D2
R' B2 L' U D' F' B2
R' B2 L' U D' B2 F'
R' B2 L' U F' D' B2
R' B2 L' D' U F' B2
R' B2 L' D' U B2 F'
R' B2 L2 D L' U F'
R' B2 L2 D' L' U F'
R' B2 L2 D2 L' U F'
R' B2 R2 L U' B U2
R B2 L2 U2 R U' F
R B2 R U' B' U2 B
R' B2 U F' U' L U
R B2 R' D2 L2 U F
L' B2 U2 L R2 U' F
L' B2 U2 R2 L U' F
L2 B2 U2 L R2 U' F
R' B2 D L U D F'
R' B2 D L U D' F'
R' B2 D L U D2 F'
R' B2 D L U F' D
R' B2 D L U F' D'
R' B2 D L U F' D2
R' B2 D L D U F'
R' B2 D L D' U F'
R' B2 D L D2 U F'
L2 B2 U2 R2 L U' F
L' B2 D R' U F' B2
L' B2 D R' U B2 F'
R' B2 D' L U D F'
R' B2 D' L U D' F'
R' B2 D' L U D2 F'
R' B2 D' L U F' D
R' B2 D' L U F' D'
R' B2 D' L U F' D2
R' B2 D' L D U F'
R' B2 D' L D' U F'
R' B2 D' L D2 U F'
L2 B2 D R' U F' B2
L2 B2 D R' U B2 F'
L B2 U2 L R2 U' F
L B2 U2 R2 L U' F
R B2 U' B' U' R U'
R' B2 D2 L U D F'
R' B2 D2 L U D' F'
R' B2 D2 L U D2 F'
R' B2 D2 L U F' D
R' B2 D2 L U F' D'
R' B2 D2 L U F' D2
R' B2 D2 L D U F'
R' B2 D2 L D' U F'
R' B2 D2 L D2 U F'
R B2 U2 L2 R U' F
R B2 U2 R L2 U' F
R B2 U2 R U B' U2
L' B2 D2 L2 R' U F'
L' B2 D2 R' L2 U F'
L B2 D R' U F' B2
L B2 D R' U B2 F'
R' B2 F L F' U F'
L2 B2 D2 L2 R' U F'
L2 B2 D2 R' L2 U F'
L B2 D2 L2 R' U F'
L B2 D2 R' L2 U F'
