U' F R U' F
U' R F R U' F
U' R' F R U' F
U' R2 F R U' F
U' R2 F R U' F
U' D' F L2 R U'
U' D' F R L2 U'
D' U' F L2 R U'
D' U' F R L2 U'
B2 U' F R U' F
B' U' F R U' F
B U' F R U' F
U' F R U' D F
U' F R U' D' F
U' F R U' D2 F
U' F R U' F D
U' F R U' F D'
U' F R U' F D2
U' F R D U' F
U' F R D' U' F
U' F R D2 U' F
U' F D R U' F
U' F D' R U' F
U' F D2 R U' F
D2 B2 U' F R U'
F' L D F U2 R2 F2
F' L D F U2 F2 R2
D L D F L' B2 U2
D L D F B2 L' U2
D L D B2 F L' U2
F' L D' L2 U2 F' B'
F' L D' L2 U2 B' F'
F' L D' F L2 U2 F2
F' L F U' F U' F
F2 L F U' F2 U' F
F2 L F U2 D F' R2
F2 L F D U2 F' R2
F2 L F D' L2 U2 F'
U L B L B' U F2
L' R' U F2 B' L' R'
L' R' U F2 B' R' L'
R' L' U F2 B' L' R'
R' L' U F2 B' R' L'
L' R' U B' F2 L' R'
L' R' U B' F2 R' L'
R' L' U B' F2 L' R'
R' L' U B' F2 R' L'
D2 L B2 D F L' U2
U' L' U' F R F B
U' L' U' F R B F
F' L' U' F2 U' F B'
F' L' U' F2 U' B' F
F' L' U2 D F' R2 B'
F' L' U2 D F' B' R2
F' L' U2 D B' F' R2
F' L' U2 B' D F' R2
F' L' D U2 F' R2 B'
F' L' D U2 F' B' R2
F' L' D U2 B' F' R2
F' L' D' L2 F U2 F2
U' L' F R U' F R
U' L2 D' L2 F R U'
L2 U L U F2 B' R'
L2 U L U B' R' F2
L2 U L U B' F2 R'
L U L2 U F2 B' R'
L U L2 U B' R' F2
L U L2 U B' F2 R'
U L2 B L B2 U F2
U L2 B' U2 R' U' F2
R' U F U' F L' B'
U2 R U F U' F B
U2 R U F U' B F
L' U F2 D' B' L2 R'
L' U F2 D' B' R' L2
L' U F2 B' R' D' L2
L' U F2 B' D' L2 R'
L' U F2 B' D' R' L2
L' U B U F2 B2 R'
L' U B U B2 R' F2
L' U B U B2 F2 R'
L' U B' R' F2 D' L2
L2 U B' L U F2 B'
L2 U B' L U B' F2
U R U2 F R U' F
L' U B' F2 R' D' L2
L' U B' F2 D' L2 R'
L' U B' F2 D' R' L2
L' U B2 U F2 B R'
L' U B2 U B R' F2
L' U B2 U B F2 R'
U' R D' F L2 R U'
U' R D' F R L2 U'
U' R F R U' D F
U' R F R U' D' F
U' R F R U' D2 F
U' R F R U' F D
U' R F R U' F D'
U' R F R U' F D2
U' R F R D U' F
U' R F R D' U' F
U' R F R D2 U' F
U' R F D R U' F
U' R F D' R U' F
U' R F D2 R U' F
U2 R F' D F' B R2
U2 R F' D B F' R2
U2 R F' B D F' R2
U2 R F2 U F' U' B
U2 R F2 B U F' U'
U2 R B U F U' F
U2 R B F' D F' R2
U2 R B F2 U F' U'
R' U' F R U' F L'
L' U' F U' R F B'
L' U' F U' R B' F
L' U' F U' B' R F
U R' U2 F R U' F
U' R' D' F L2 R U'
U' R' D' F R L2 U'
U' R' F R U' D F
U' R' F R U' D' F
U' R' F R U' D2 F
U' R' F R U' F D
U' R' F R U' F D'
U' R' F R U' F D2
U' R' F R D U' F
U' R' F R D' U' F
U' R' F R D2 U' F
U' R' F D R U' F
U' R' F D' R U' F
U' R' F D2 R U' F
L' U2 R F2 B' D' R2
L' U2 R B' F2 D' R2
L' U2 F2 R B' D' R2
L U2 F2 R2 D' B R'
L U2 F2 D' R2 B R'
U R2 U2 F R U' F
U' R2 D' F L2 R U'
U' R2 D' F R L2 U'
U' R2 F R U' D F
U' R2 F R U' D' F
U' R2 F R U' D2 F
U' R2 F R U' F D
U' R2 F R U' F D'
U' R2 F R U' F D2
U' R2 F R D U' F
U' R2 F R D' U' F
U' R2 F R D2 U' F
U' R2 F D R U' F
U' R2 F D' R U' F
U' R2 F D2 R U' F
U2 R2 F2 R' D B R'
L D F L' U R2 U
L D F L' U2 D' F2
L D F L' D B2 U2
L D F L' D' U2 F2
L D F U2 D' F2 R
L D F D L' B2 U2
L D F D B2 L' U2
L D F D' L' U2 F2
L D F D' U2 F2 R
U' D F R U2 R U
D U R2 U2 F R U'
U D R2 U2 F R U'
U' D F D' R U' F2
U' D F D2 L2 R U'
U' D F D2 R L2 U'
D' U' R F L2 R U'
D' U' R F R L2 U'
U' D' R F L2 R U'
U' D' R F R L2 U'
U' D' R' F L2 R U'
U' D' R' F R L2 U'
D' U' R' F L2 R U'
D' U' R' F R L2 U'
U' D' R2 F L2 R U'
D' U' R2 F L2 R U'
U' D' R2 F R L2 U'
D' U' R2 F R L2 U'
D' U' F L2 R U' D
D' U' F L2 R U' D'
D' U' F L2 R U' D2
D' U' F L2 R D U'
D' U' F L2 R D' U'
D' U' F L2 R D2 U'
U' D' F L2 R U' D
U' D' F L2 R U' D'
U' D' F L2 R U' D2
U' D' F L2 R D U'
U' D' F L2 R D' U'
U' D' F L2 R D2 U'
D' U' F L2 D R U'
D' U' F L2 D' R U'
U' D' F L2 D R U'
D' U' F L2 D2 R U'
U' D' F L2 D' R U'
U' D' F L2 D2 R U'
D' U' F R L2 U' D
D' U' F R L2 U' D'
D' U' F R L2 U' D2
D' U' F R L2 D U'
D' U' F R L2 D' U'
D' U' F R L2 D2 U'
U' D' F R L2 U' D
U' D' F R L2 U' D'
U' D' F R L2 U' D2
U' D' F R L2 D U'
U' D' F R L2 D' U'
U' D' F R L2 D2 U'
D' U' F R U' D F2
U' D' F R U' D F2
D' U' F R D U' F2
U' D' F R D U' F2
B' U' R F R U' F
D2 U' F R U B2 U2
D2 U' F R U' D2 F2
D2 U' F R D L2 U'
D2 U' F R D2 U' F2
B2 U' R F R U' F
D' U' F D R U' F2
U' D' F D R U' F2
D2 U' F D L2 R U'
D2 U' F D R L2 U'
D2 U' F D2 R U' F2
B' U' R' F R U' F
B U' R F R U' F
D U' F R U2 R U
B2 U' R' F R U' F
D U' F D' R U' F2
D U' F D2 L2 R U'
D U' F D2 R L2 U'
D' U' F2 L2 F' R U'
U' D' F2 L2 F' R U'
B' U' R2 F R U' F
B U' R' F R U' F
F U' R' U' R F B
F U' R' U' R B F
B2 U' R2 F R U' F
B U' R2 F R U' F
B' U' D' F L2 R U'
B' U' D' F R L2 U'
B2 U' D' F L2 R U'
B2 U' D' F R L2 U'
B U' D' F L2 R U'
B U' D' F R L2 U'
B' U' F R U' D F
B' U' F R U' D' F
B' U' F R U' D2 F
B' U' F R U' F D
B' U' F R U' F D'
B' U' F R U' F D2
B' U' F R D U' F
B' U' F R D' U' F
B' U' F R D2 U' F
F' U' F R F U' F
B2 U' F R U' D F
B2 U' F R U' D' F
B2 U' F R U' D2 F
B2 U' F R U' F D
B2 U' F R U' F D'
B2 U' F R U' F D2
B2 U' F R D U' F
B2 U' F R D' U' F
B2 U' F R D2 U' F
B' U' F D R U' F
B' U' F D' R U' F
B' U' F D2 R U' F
B2 U' F D R U' F
B2 U' F D' R U' F
B2 U' F D2 R U' F
B U' F R U' D F
B U' F R U' D' F
B U' F R U' D2 F
B U' F R U' F D
B U' F R U' F D'
B U' F R U' F D2
B U' F R D U' F
B U' F R D' U' F
B U' F R D2 U' F
B U' F D R U' F
B U' F D' R U' F
B U' F D2 R U' F
U' D2 F R U B2 U2
U' D2 F R U' D2 F2
U' D2 F R D L2 U'
U' D2 F R D2 U' F2
U' D2 F D L2 R U'
U' D2 F D R L2 U'
U' D2 F D2 R U' F2
F' U2 D F' R B R
U' F L D2 R U' F'
L D2 B2 D' F L' U2
U' F L2 R U B' U2
U' F R L2 U B' U2
U' F R U B U2 F
U' F R U B' U2 F
U' F R U B2 U2 F
U' F R U' R F R'
U' F R U' R2 F R2
U' F R U' D F D
U' F R U' D F D'
U' F R U' D F D2
U' F R U' D' F D
U' F R U' D' F D'
U' F R U' D' F D2
U' F R U' D2 F D
U' F R U' D2 F D'
U' F R U' D2 F D2
U' F R U' F2 D F'
U' F R U' F2 D' F'
U' F R U' F2 D2 F'
U' F R U2 R U F
U' F R U2 R' U F
U' F R U2 R2 U F
U' F R D U' F D
U' F R D U' F D'
U' F R D U' F D2
U' F R D' U' F D
U' F R D' U' F D'
U' F R D' U' F D2
U' F R D2 U' F D
U' F R D2 U' F D'
U' F R D2 U' F D2
U' F R' U' D F B2
U' F R' U' D B2 F
U' F R' U' F D B2
U' F R' D U' F B2
U' F R' D U' B2 F
U' F R2 D R' U' F
U' F R2 D' R' U' F
U' F R2 D2 R' U' F
F' D L F U2 R2 F2
F' D L F U2 F2 R2
U' F D R U' D F
U' F D R U' D' F
U' F D R U' D2 F
U' F D R U' F D
U' F D R U' F D'
U' F D R U' F D2
U' F D R D U' F
U' F D R D' U' F
U' F D R D2 U' F
F' D L' U2 F' R2 B'
F' D L' U2 F' B' R2
F' D L' U2 B' F' R2
U' F D' R U' D F
U' F D' R U' D' F
U' F D' R U' D2 F
U' F D' R U' F D
U' F D' R U' F D'
U' F D' R U' F D2
U' F D' R D U' F
U' F D' R D' U' F
U' F D' R D2 U' F
L F U2 D F' R F2
U F U2 F' L' U F2
L F U2 F2 D F' R
U' F D2 R U' D F
U' F D2 R U' D' F
U' F D2 R U' D2 F
U' F D2 R U' F D
U' F D2 R U' F D'
U' F D2 R U' F D2
U' F D2 R D U' F
U' F D2 R D' U' F
U' F D2 R D2 U' F
L F D U2 F' R F2
U' F B R B' U' F
L F D' L2 B' L U2
L F D' B U2 R' F
L F D' B U2 F R'
L F D' B2 U2 F R
U' F B2 R B2 U' F
F' D U2 F' R B R
U' F' R' F2 R U' F'
F' D' L F L U2 F2
R' F' D F' L' R2 B'
R' F' D F' L' B' R2
R' F' D F' R2 L' B'
U2 F' D F' R B R
B' D' U' F L2 R U'
B' D' U' F R L2 U'
U' F2 L F' R U' F
B2 D' U' F L2 R U'
B2 D' U' F R L2 U'
R' F2 L' R2 B' D' R2
R' F2 L' U F' U' B'
U' F2 L' F' R U' F
B D' U' F L2 R U'
B D' U' F R L2 U'
R' F2 L' B' U F' U'
U' F2 L2 F' R U' F
R' F2 R2 L' B' D' R2
U2 F2 R' D R2 B R'
U2 F2 U F R F2 U'
U2 F2 U F' U2 L' U
D F2 U R2 B L U
L F2 D F' U2 R F
U B L2 B' L' U F2
B' D2 B2 U' F R U'
U2 B U F R U' F
B2 D2 B2 U' F R U'
D' B U' F L2 R U'
D' B U' F R L2 U'
B D2 B2 U' F R U'
U' B F R B' U' F
U2 B' U F R U' F
D' B' U' F L2 R U'
D' B' U' F R L2 U'
U B' U2 R' F U' F
U B' U2 F R' U' F
D2 B2 L D F L' U2
U B2 L2 B' L U F2
D2 B2 U' R F R U'
D2 B2 U' R' F R U'
D2 B2 U' R2 F R U'
D2 B2 U' D F R U'
D2 B2 U' D' F R U'
D2 B2 U' D2 F R U'
