B2 L U L' D2 F2
B2 L U D2 L' F2
B2 L U' B2 U2 L'
B2 L D' R2 U L'
B2 L D2 U L' F2
U' L' B2 L R' U
U' L' B2 R' L U
D L2 U' R' U' L2
L2 U B2 L U L
L U B2 L U L2
U R' U2 R B2 U
U R' U2 B2 R U
U R' D2 F2 L' U'
R D L2 U2 L2 B2
R D L2 U2 B2 L2
D2 U R' F2 L' U'
R D B2 D2 R2 F2
R D B2 D2 F2 R2
U D2 R' F2 L' U'
B2 D' L R2 U L'
B2 D' R2 L U L'
B2 D2 L U L' F2
U' B2 L U2 L' U'
U B2 L U D L2
U B2 L U2 B2 U'
U B2 L D U L2
U B2 L D2 F2 U
U B2 U2 B2 R' U'
U B2 D L U L
U B2 D2 L F2 U
U B2 D2 F2 L U
B2 L R U L' D2 F2
B2 L R U D2 L' F2
B2 L R U' B2 U2 L'
B2 L R D' R2 U L'
B2 L R D2 U L' F2
B2 L R' U L' D2 F2
B2 L R' U D2 L' F2
B2 L R' U' B2 U2 L'
B2 L R' D' R2 U L'
U L R' U2 R B2 U
B2 L R' D2 U L' F2
U L R' U2 B2 R U
U L R' D2 F2 L' U'
B2 L R2 U L' D2 F2
B2 L R2 U D2 L' F2
B2 L R2 U' B2 U2 L'
B2 L R2 D' R2 U L'
B2 L R2 D2 U L' F2
L' R U2 D L B2 R'
B2 L U L' U2 B2 U2
B2 L U L' D2 F2 D
B2 L U L' D2 F2 D'
B2 L U L' D2 F2 D2
B2 L U L' F D2 F2
B2 L U L' F' D2 F2
B2 L U L' F2 D2 F2
B2 L U L2 D2 L F2
B2 L U L2 D2 F2 L
L' R D L2 U2 L' B2
L' R D L2 U2 B2 L'
B2 L U D' L' D' F2
B2 L U D2 L F2 L2
B2 L U D2 L' F2 D
B2 L U D2 L' F2 D'
B2 L U D2 L' F2 D2
B2 L U D2 L2 F2 L
L R D L2 U2 L B2
B2 L U F2 D2 F2 L'
L' R D U2 L B2 R'
F' L U B2 L U L2
R L D L2 U2 L B2
F2 L U B2 L U L2
F L U B2 L U L2
D' L U' R' U' L' R'
D' L U' R' U' R' L'
B2 L U' R B2 U2 L'
B2 L U' R' B2 U2 L'
B2 L U' R2 B2 U2 L'
B2 L U' B2 R U2 L'
B2 L U' B2 R' U2 L'
B2 L U' B2 R2 U2 L'
B2 L U' B2 U2 L' D
B2 L U' B2 U2 L' D'
B2 L U' B2 U2 L' D2
B2 L U' B2 U2 D L'
B2 L U' B2 U2 D' L'
B2 L U' B2 U2 D2 L'
B2 L U' B2 D U2 L'
B2 L U' B2 D' U2 L'
B2 L U' B2 D2 U2 L'
L' R D' F2 U2 L R2
L' R D' F2 U2 R2 L
L R D' F2 R U2 R
B2 L U2 D L2 U' L
R L D' F2 R U2 R
B2 L D U2 L2 U' L
B2 L D' R2 U L' D
B2 L D' R2 U L' D'
B2 L D' R2 U L' D2
B2 L D' R2 U D L'
B2 L D' R2 U D' L'
B2 L D' R2 U D2 L'
B2 L D' R2 D U L'
B2 L D' R2 D' U L'
B2 L D' R2 D2 U L'
B2 L D' U L' D' F2
B2 L D2 R U L' F2
B2 L D2 R' U L' F2
B2 L D2 R2 U L' F2
B2 L D2 U L F2 L2
B2 L D2 U L' F2 D
B2 L D2 U L' F2 D'
B2 L D2 U L' F2 D2
B2 L D2 U L2 F2 L
U L D2 R' F2 L' U'
B2 L F2 U D2 F2 L'
B2 L F2 U' R B2 U2
B2 L F2 U' B2 R U2
B2 L F2 D2 U F2 L'
B L B L U F L2
U' L B2 L U D F2
U' L B2 L U2 L2 U'
U' L B2 L D U F2
U' L B2 L D2 R2 U
U L B2 L U D L2
U L B2 L U2 B2 U'
U L B2 L D U L2
U L B2 L D2 F2 U
L2 R' U2 L2 D' R2 B2
L2 R' U2 L2 D' B2 R2
U L B2 U2 B2 R' U'
U L B2 D L U L
R L' U2 D L B2 R'
U L B2 D2 L F2 U
U L B2 D2 F2 L U
R L' D L2 U2 L' B2
R L' D L2 U2 B2 L'
R L' D U2 L B2 R'
U L' R' U2 R B2 U
U L' R' U2 B2 R U
U L' R' D2 F2 L' U'
R L' D' F2 U2 L R2
R L' D' F2 U2 R2 L
D' L' U' R' U' L R'
D' L' U' R' U' R' L
D2 L' U' R' F2 U' L
D2 L' U' F2 R' U' L
B2 L' D' R2 U L B2
U L' D2 R' F2 L' U'
R' L2 U2 L2 D' R2 B2
R' L2 U2 L2 D' B2 R2
U' L' B2 L R' U D
U' L' B2 L R' U D'
U' L' B2 L R' U D2
U' L' B2 L R' D U
U' L' B2 L R' D' U
U' L' B2 L R' D2 U
U' L' B2 L D R' U
U' L' B2 L D' R' U
U' L' B2 L D2 R' U
U' L' B2 R' L U D
U' L' B2 R' L U D'
U' L' B2 R' L U D2
U' L' B2 R' L D U
U' L' B2 R' L D' U
U' L' B2 R' L D2 U
U' L' B2 R' D L U
U' L' B2 R' D' L U
U' L' B2 R' D2 L U
U L' B2 L U D L2
U L' B2 L U2 B2 U'
U L' B2 L D U L2
U L' B2 L D2 F2 U
U' L' B2 D L R' U
U' L' B2 D R' L U
U' L' B2 D' L R' U
U' L' B2 D' R' L U
U' L' B2 D2 L R' U
U' L' B2 D2 R' L U
U L' B2 U2 B2 R' U'
U L' B2 D L U L
U L' B2 D2 L F2 U
U L' B2 D2 F2 L U
D L2 R U' R2 U' L2
D L2 R U2 L2 D B2
D L2 R' U2 L2 D' B2
U L2 R' U2 R B2 U
U L2 R' U2 B2 R U
U L2 R' D2 F2 L' U'
D L2 R2 U' R U' L2
F' L2 U B2 L U L
F2 L2 U B2 L U L
D' L2 U' R' U' L2 R'
D' L2 U' R' U' R' L2
D2 L2 U' R' F2 U' L2
F L2 U B2 L U L
D L2 U' R' U' L2 D
D L2 U' R' U' L2 D'
D L2 U' R' U' L2 D2
D L2 U' R' D' B2 U'
D L2 U' R' B U' L2
D L2 U' R' B' U' L2
D L2 U' R' B2 U' L2
D2 L2 U' F2 R' U' L2
D L2 U' D' R' B2 U'
D L2 U2 L2 U R' U'
B2 L2 D L' F2 R U
D L2 D' U' R' B2 U'
L' U L B2 L U L'
D L2 D2 R2 U' R U'
L U L B2 L U L
U L2 D2 R' F2 L' U'
L' U L' B2 L U L
L2 U L' B2 L U L2
D L2 F U' R' U' L2
L U L' B2 L U L'
