U2 L F U R F U'
D' L B2 D' R' F' B
D' L B2 D' R' B F'
F2 L' B' R' U' L2 F'
F2 L' B' R' U' F' L2
F2 L2 R' U' L' F' B'
F2 L2 R' U' L' B' F'
F2 L2 B' R' U' L' F'
F2 R' L2 U' L' F' B'
F2 R' L2 U' L' B' F'
F2 R' U' L F' D2 B2
F2 R' U' L' F' B' L2
F2 R' U' L' B' L2 F'
F2 R' U' L' B' F' L2
F2 R' U' F' L' B' L2
B' R' F2 B U' F L
B' R' B F2 U' F L
F2 U2 L2 U L' F B'
F2 U2 L2 U L' B' F
F2 U2 F' L' U L2 F
B2 D' L2 R' U2 F' B
B2 D' L2 R' U2 B F'
B2 D' R' L2 U2 F' B
B2 D' R' L2 U2 B F'
R' F2 U' F L' B' L2
L' F2 B' R' U' L2 F'
L' F2 B' R' U' F' L2
L' B' R' F2 U' F L2
L B' R D R2 F' B2
L B' R D R2 B2 F'
F2 B' R' B U' L F'
F2 B' R' B U' F' L
L' B' F2 R' U' L2 F'
L' B' F2 R' U' F' L2
B' F2 R' B U' L F'
B' F2 R' B U' F' L
