R' D B U L B'
R' B U2 R' U' L
R' B' L B2 U L
R' L D B U L B'
R' L B U2 R' U' L
R' L B' L B2 U L
B' L B R' B U L
R' L' D B U L B'
L' R' D B U L B'
L R' D B U L B'
L2 R' D B U L B'
R' L' B U2 R' U' L
L' R' B U2 R' U' L
L2 R' B U2 R' U' L
L R' B U2 R' U' L
R' L' B' L B2 U L
L' R' B' L B2 U L
L2 R' B' L B2 U L
L R' B' L B2 U L
R' L2 D B U L B'
R' L2 B U2 R' U' L
R' L2 B' L B2 U L
B R F' R2 U' L F
B' R' U L B R' U
F' R' D B U L B'
F2 R' D B U L B'
F R' D B U L B'
U R' F' B U2 R' U'
U R' F' B' L B2 U
F' R' B U2 R' U' L
F2 R' B U2 R' U' L
D R' B U L R' B'
D R' B U R' L B'
U' R' B' L F B2 U
F' R' B' L B2 U L
U' R' B' L B2 F U
F2 R' B' L B2 U L
F R' B U2 R' U' L
U R' B F' U2 R' U'
F R' B' L B2 U L
U R' B' L F' B2 U
U R' B' L B2 F' U
U R' B' F' L B2 U
R' D L B U L B2
R2 D R B U L B'
R' D F B U L B'
R' D F' B U L B'
R' D F2 B U L B'
R' D B L' U L2 B'
R' D B U L D B'
R' D B U L D' B'
R' D B U L D2 B'
R' D B U L B' D
R' D B U L B' D'
R' D B U L B' D2
D' U R' F' U B R
R' D B F U L B'
R' D B F' U L B'
R' D B F2 U L B'
U D' R' F' U B R
R' D' B U D2 L B'
R' D' B D2 U L B'
R' D2 F L' B U L
R' D2 F B L' U L2
R' D2 B U D' L B'
R' D2 B D' U L B'
R' D2 B F L' U L2
R' F D B U L B'
R' F B U2 R' U' L
R' F B' L B2 U L
R' F' D B U L B'
R' F' B U2 R' U' L
R' F' B' L B2 U L
R' F2 D B U L B'
R' F2 B U2 R' U' L
R' F2 B' L B2 U L
R' B L' U2 R' U' L2
R' B L2 U2 R' U' L'
R' B U L U R' U'
D B U L R' F' B'
D B U L R' B' F'
D B U R' L F' B'
D B U R' L B' F'
D B U R' F' L B'
R' B U2 R' U' L D
R' B U2 R' U' L D'
R' B U2 R' U' L D2
R' B U2 R' U' D L
R' B U2 R' U' D' L
R' B U2 R' U' D2 L
R' B U2 R' D U' L
R' B U2 R' D' U' L
R' B U2 R' D2 U' L
R' B U2 D R' U' L
R' B U2 D' R' U' L
R' B U2 D2 R' U' L
D B U' L R' F B'
D B U' L R' B' F
D B U' L F R' B'
D B U' R' L F B'
D B U' R' L B' F
R' B D U2 R' U' L
R' B D' U2 R' U' L
R' B D2 U2 R' U' L
R' B F U2 R' U' L
R' B F' U2 R' U' L
R' B F2 U2 R' U' L
R' B' L F B2 U L
R' B' L F' B2 U L
R' B' L F2 B2 U L
R' B' L B2 U L D
R' B' L B2 U L D'
R' B' L B2 U L D2
R' B' L B2 U D L
R' B' L B2 U D' L
R' B' L B2 U D2 L
R' B' L B2 D U L
R' B' L B2 D' U L
R' B' L B2 D2 U L
R' B' L B2 F U L
R' B' L B2 F' U L
R' B' L B2 F2 U L
R' B' L' B2 L2 U L'
R' B' L2 B2 L' U L2
R' B' F L B2 U L
R' B' F' L B2 U L
R' B' F2 L B2 U L
