R F' R U R B
L' R F' R U R B
L R F' R U R B
L2 R F' R U R B
R L F' R U R B
D' L' U' R' F L' B'
D' L' U' F L' R' B'
D' L' U' F R' L' B'
R L' F' R U R B
F L' B' R' B U' R'
R L2 F' R U R B
R2 U D R F' L' B
R2 U D R F' B L'
R2 U D R B F' L'
R U F' R U B R
U2 R F' L' R U R
F' R F' U R B R
U2 R F' R L' U R
F' R F' B L U R2
F' R B L F' U R2
F' R B F' L U R2
B' R' F L' B U' R'
B' R' F B L' U' R'
B' R' F2 B U' R' F'
B' R' B F L' U' R'
B' R' B F2 U' R' F'
R U2 F' L' R U R
R U2 F' R L' U R
R2 D U R F' L' B
R2 D U R F' B L'
R2 D U R B F' L'
F' U R F' U B R2
U' D' L' R' F B' L'
D' U' L' R' F B' L'
U' D' L' R' B' F L'
D' U' L' R' B' F L'
U' D' L' F R' B' L'
D' U' L' F R' B' L'
U' D' R' L' F B' L'
D' U' R' L' F B' L'
U' D' R' L' B' F L'
D' U' R' L' B' F L'
U' D' R' F L' F B'
U' D' R' F L' B' F
D' U' R' F L' F B'
D' U' R' F L' B' F
D' U' F L' R' F B'
U' D' F L' R' F B'
D' U' F L' R' B' F
U' D' F L' R' B' F
D' U' F L' F R' B'
U' D' F L' F R' B'
D' U' F R' L' F B'
U' D' F R' L' F B'
D' U' F R' L' B' F
U' D' F R' L' B' F
F' U2 R F' L' U R2
D' F U' L' R' F B'
D' F U' L' R' B' F
D' F U' L' F R' B'
D' F U' R' L' F B'
D' F U' R' L' B' F
U2 F' L' R F' U R2
R F' L R U R B
R F' L' R U R B
U2 F' R L' F' U R2
R F' L2 R U R B
R F' R L U R B
R F' R L' U R B
R F' R L2 U R B
R F' R U R D B
R F' R U R D' B
R F' R U R D2 B
R F' R U R B D
R F' R U R B D'
R F' R U R B D2
R F' R U D R B
R F' R U D' R B
R F' R U D2 R B
R F' R U B R B
R F' R U B' R B
R F' R U B2 R B
U F' R F' U B R2
R F' R D U R B
R F' R D' U R B
R F' R D2 U R B
R F' R B L U R
R F' B L R U R
R F' B R L U R
R B L F' R U R
B' F L' R' B U' R'
B' F R' L' B U' R'
B' F R' B L' U' R'
R B F' L R U R
R B F' R L U R
F B' L' R' B U' R'
F2 B' R' B U' R' F'
F B' R' L' B U' R'
F B' R' B L' U' R'
B' F2 R' B U' R' F'
