F2 U2 R2 F' U' R
F2 U2 F' R2 U' R'
D' F U L2 R B'
D' F U L2 B' R
D' F U R L2 B'
F2 D2 L2 B U R'
F2 D2 B L2 U R'
D2 B' L2 F U R
F2 L U2 R2 F' U' R
F2 L U2 F' R2 U' R'
F' L D2 L2 F' U R2
F2 L D2 L2 B U R'
F' L D2 F' L2 U R2
F2 L D2 B L2 U R'
F' L F' D2 L2 U R2
F' L' U2 R2 B U' R2
F2 L' U2 R2 F' U' R
F2 L' U2 F' R2 U' R'
F2 L' D2 L2 B U R'
F2 L' D2 B L2 U R'
F' L' F' U2 R2 U' R2
F2 L2 U2 R2 F' U' R
F2 L2 U2 F' R2 U' R'
F L2 U2 B' R2 U' R'
D2 L2 D F U L2 R
D2 L2 D F U R L2
F' L2 D F' U B2 R'
F2 L2 D2 L2 B U R'
F2 L2 D2 B L2 U R'
D2 L2 F U R D L2
D2 L2 F U D L2 R
D2 L2 F U D R L2
D2 L2 F U2 B2 U' R
D2 L2 F D U L2 R
D2 L2 F D U R L2
F' L2 F' U D B2 R'
F' L2 F' D U B2 R'
D2 L2 F' D2 F2 U R
D2 L2 B' U2 B' U' R'
U' R U F2 L' B U
U' R U F2 B L' U
U' R U B F2 L' U
R U F2 L' R' B' U
R U F2 R' L' B' U
U R F2 L' B' U F2
R2 U2 R2 F2 B' U R'
R2 U2 R2 B' F2 U R'
R2 U2 F2 R2 B' U R'
R2 U2 F2 B' R2 U R
F R2 U2 F R2 U R
R2 U2 B' F2 R2 U R
F' R2 D' B U' F2 R
U2 R2 D' B' U' L2 R'
U2 R2 D' B' U' R' L2
U2 R2 F U2 F U R
F' R2 B U' D' F2 R
F' R2 B D' U' F2 R
U2 R2 B D2 B2 U' R'
U2 R2 B' U' R' D' L2
U2 R2 B' U' D' L2 R'
U2 R2 B' U' D' R' L2
U2 R2 B' U2 F2 U R'
U2 R2 B' D' U' L2 R'
U2 R2 B' D' U' R' L2
F2 U D B D B R'
F2 U D2 B R' D' B2
F2 U D2 B D' R' B2
F2 U D2 B' D' B2 R'
F2 U F' D R F B2
F2 U F' D R B2 F
F2 U F' D B2 R F
F' U' L' U' R2 B U'
L' D' F U L2 R B'
L' D' F U L2 B' R
L' D' F U R L2 B'
L2 D' F U L2 R B'
L2 D' F U L2 B' R
L2 D' F U R L2 B'
R2 D' F U' R F L2
L D' F U L2 R B'
L D' F U L2 B' R
L D' F U R L2 B'
F2 U' F L' U' R2 U'
F2 U' F L' U2 D B2
F2 U' F L' D U2 B2
F2 U' F L' D' F2 U2
F2 U' F D L' U2 B2
F2 U' F D' L' F2 U2
F2 U' F D' F2 U2 R
F2 U' F' U' R2 U' R'
F2 U' F' U2 D R B2
F2 U' F' U2 D B2 R
R2 D2 L2 F B2 U' R
F2 U' F' D U2 R B2
F2 U' F' D U2 B2 R
F2 U' F' D' F2 L' U2
R2 D2 L2 B2 F U' R
R2 D2 F L2 B2 U' R
R2 D2 F B2 L2 U' R
R2 D2 F' L2 B2 U' R'
F2 U2 R D R F' U'
F2 U2 R F' U' R B
F2 U2 R' F' R' U' R2
L' D2 B' L2 F U R
F2 U2 R2 U' F' R F
L2 D2 B' L2 F U R
F' U2 R2 F2 B U' R
F' U2 R2 B U L' U2
F' U2 R2 B F2 U' R
F2 U2 R2 F U L' U2
F2 U2 R2 F' U' R D
F2 U2 R2 F' U' R D'
F2 U2 R2 F' U' R D2
F2 U2 R2 F' U' D R
F2 U2 R2 F' U' D' R
F2 U2 R2 F' U' D2 R
F2 U2 R2 F' D U' R
F2 U2 R2 F' D' U' R
F2 U2 R2 F' D2 U' R
F2 U2 D R F' U' B2
L D2 B' L2 F U R
F U2 R2 U2 F U R'
D' F L U L R B'
D' F L U L B' R
D' F L U R L B'
R2 D2 B2 L2 F U' R
R2 D2 B2 F L2 U' R
D2 F L2 U R D L2
D2 F L2 U D L2 R
D2 F L2 U D R L2
F2 U2 F R2 U L' U2
D2 F L2 U2 B2 U' R
F2 U2 F R2 F2 U' R
D2 F L2 D U L2 R
D2 F L2 D U R L2
F2 U2 F' R2 U' R' D
F2 U2 F' R2 U' R' D'
F2 U2 F' R2 U' R' D2
F2 U2 F' R2 U' D R'
F2 U2 F' R2 U' D' R'
F2 U2 F' R2 U' D2 R'
F2 U2 F' R2 D U' R'
F2 U2 F' R2 D' U' R'
F2 U2 F' R2 D2 U' R'
F2 U2 F' R2 F U' R'
F2 U2 F' R2 F' U' R'
F2 U2 F' R2 F2 U' R'
F2 U2 F' U' D R B2
F2 U2 F' U' D B2 R
F2 U2 F' D U' R B2
F2 U2 F' D U' B2 R
F2 U2 F2 R2 F U' R
U2 F R2 U2 F U R
D' F U L2 R D B'
D' F U L2 R D' B'
D' F U L2 R D2 B'
D' F U L2 R B' D
D' F U L2 R B' D'
D' F U L2 R B' D2
D' F U L2 R' B' R2
D' F U L2 D R B'
