R2 U R' U B2
R2 U L R' U B2
R2 U L' R' U B2
R2 U L2 R' U B2
R2 U R' L U B2
R2 U R' L' U B2
R2 U R' L2 U B2
R2 U R' U B2 D
R2 U R' U B2 D'
R2 U R' U B2 D2
R2 U R' D L2 U
R2 U D L2 R' U
R2 U D R' L2 U
U R U' R U2 B2
U R F2 U L' B2
U R F2 U B2 L'
B' R2 U R' U B'
F2 R2 U' L' U' B2
R' U2 B2 L D' F2
R' U2 B2 D' L F2
R' U2 B2 D' F2 L
R2 U2 B2 U L U'
B R2 F' U R' U
R2 D U L2 R' U
R2 D U R' L2 U
D' U R F2 L' U
U D' R F2 L' U
R2 D2 F2 U R' U
R2 F U R' U B2
R2 F' U R' U B2
R2 F2 U R' U B2
D2 F2 U' L' U' L'
R' B2 L D' F2 R
R' B2 D' L F2 R
L' R U R2 B2 L R'
L' R U R2 B2 R' L
U L R U' R U2 B2
D' L R F2 L' U R
L' R U B2 R' D2 L2
U L R F2 U L' B2
U L R F2 U B2 L'
L' R U' L R U2 B2
L' R U' R L U2 B2
L' R U' R U2 B2 R'
L R U' L' R U2 B2
L2 R U' L2 R U2 B2
L2 R U' R L2 U2 B2
L R U' R L' U2 B2
R L U' L' R U2 B2
R L U' R L' U2 B2
U L D' R F2 L' U
L' R F2 U B2 L' R'
L' R F2 U B2 R' L'
L R F2 U L' R B2
L R F2 U L' B2 R
L R F2 U R L' B2
L R F2 U R B2 L'
L R F2 U B2 L' R
L R F2 U B2 R L'
R L F2 U L' R B2
R L F2 U L' B2 R
R L F2 U R L' B2
R L F2 U R B2 L'
R L F2 U B2 L' R
R L F2 U B2 R L'
R' L B2 D' F2 L R
R' L B2 D' F2 R L
R2 L' U R' U B2 R'
R L' U R2 B2 L R'
R L' U R2 B2 R' L
R L' U B2 R' D2 L2
R L' U' L R U2 B2
R L' U' R L U2 B2
R L' U' R U2 B2 R'
U L' R U' R U2 B2
U L' R F2 U L' B2
U L' R F2 U B2 L'
F2 L' R' U' B2 L R'
F2 L' R' U' B2 R' L
F2 L' U L R2 U2 B2
F2 L' U R2 L U2 B2
F2 L' U R2 U2 B2 R'
F2 L' U' R' B2 L R'
F2 L' U' R' B2 R' L
F2 L' U' B2 D2 L2 R'
F2 L' U' B2 D2 R' L2
R L' F2 U B2 L' R'
R L' F2 U B2 R' L'
U L' D' R F2 L' U
R' L' B2 L D' R' F2
R' L' B2 L D' F2 R'
L' R' B2 L D' R' F2
L' R' B2 L D' F2 R'
R' L' B2 D' L R' F2
R' L' B2 D' L F2 R'
L' R' B2 D' L R' F2
L' R' B2 D' L F2 R'
R' L' B2 D' R' L F2
R' L' B2 D' R' F2 L
L' R' B2 D' R' L F2
L' R' B2 D' R' F2 L
R' L' B2 D' F2 L R'
R' L' B2 D' F2 R' L
L' R' B2 D' F2 L R'
L' R' B2 D' F2 R' L
L R' B2 D' F2 L R
L R' B2 D' F2 R L
L' R2 U R' U B2 R'
R L2 U' L2 R U2 B2
R L2 U' R L2 U2 B2
U L2 R U' R U2 B2
D L2 R D2 F2 U R2
U L2 R F2 U L' B2
U L2 R F2 U B2 L'
R2 U L R' U B2 D
R2 U L R' U B2 D'
R2 U L R' U B2 D2
R2 U L R' D L2 U
U L2 D' R F2 L' U
R2 U L D L2 R' U
R2 U L D R' L2 U
R2 U L' R' U B2 D
R2 U L' R' U B2 D'
R2 U L' R' U B2 D2
R2 U L' R' D L2 U
R2 U L' D L2 R' U
R2 U L' D R' L2 U
R2 U L2 R' U B2 D
R2 U L2 R' U B2 D'
R2 U L2 R' U B2 D2
R2 U L2 R' D L2 U
R2 U L2 D L2 R' U
R2 U L2 D R' L2 U
R2 U R U B2 D' F2
R2 U R' L U B2 D
R2 U R' L U B2 D'
R2 U R' L U B2 D2
R2 U R' L D L2 U
R2 U R' L' U B2 D
R2 U R' L' U B2 D'
R2 U R' L' U B2 D2
R2 U R' L' D L2 U
R2 U R' L2 U B2 D
R2 U R' L2 U B2 D'
R2 U R' L2 U B2 D2
R2 U R' L2 D L2 U
R2 U R' U L B2 L'
R2 U R' U L2 B2 L2
R2 U R' U R' B2 R
R2 U R' U R2 B2 R2
R2 U R' U B D B
R2 U R' U B D' B
R2 U R' U B D2 B
R2 U R' U B' D B'
R2 U R' U B' D' B'
R2 U R' U B' D2 B'
R2 U R' U' D2 F2 U2
R2 U R' U' F U2 B2
R2 U R' U' F' U2 B2
R2 U R' U' F2 U2 B2
R2 U R' U2 R U' B2
R2 U R' U2 R' U' B2
R2 U R' U2 R2 U' B2
R2 U R' U2 D' R2 U'
R2 U R' D L2 U D
R2 U R' D L2 U D'
R2 U R' D L2 U D2
R2 U R' D L2 D U
R2 U R' D L2 D' U
R2 U R' D L2 D2 U
R2 U R' D' U2 R2 U'
R2 U R' D2 U' F2 U2
R' U R2 U' R U2 B2
R' U R2 F2 U L' B2
R' U R2 F2 U B2 L'
R2 U R2 D L2 R U
R2 U R2 D R L2 U
R2 U D L2 R' U D
R2 U D L2 R' U D'
R2 U D L2 R' U D2
R2 U D L2 R' D U
R2 U D L2 R' D' U
R2 U D L2 R' D2 U
R2 U D L2 D R' U
R2 U D L2 D' R' U
R U R2 B2 L D' R2
R2 U D L2 D2 R' U
R U R2 B2 D' L R2
R U R2 B2 D' R2 L
R2 U D R' L2 U D
R2 U D R' L2 U D'
R2 U D R' L2 U D2
R2 U D R' L2 D U
R2 U D R' L2 D' U
