D L2 R2 F U' L2
B' L2 U F L2 B'
D L2 F R2 U' L2
D R2 L2 F U' L2
B R2 F' D' R2 B
F' R2 B D' R2 F'
D' R2 B' L2 U L2
U D L2 R2 F U'
D U L2 R2 F U'
U D L2 F R2 U'
D U L2 F R2 U'
U D R2 L2 F U'
D U R2 L2 F U'
U' D' R2 B' L2 U
D' U' R2 B' L2 U
U' D' B' L2 R2 U
U' D' B' R2 L2 U
D' U' B' L2 R2 U
D2 U' B' U F2 B'
D2 U' B' U B' F2
D' U' B' R2 L2 U
U' D2 B' U F2 B'
U' D2 B' U B' F2
B' D' L2 U F L2
B D' R2 D' F' B2
B D' R2 D' B2 F'
B D' R2 F' D' B2
B D' R2 F' D' B2
D2 F2 U' B' U B'
D2 F2 B D' B R2
U2 F2 B2 U B U
D2 F2 B2 U' B U
B' D2 B2 D' R2 F'
D' B D' R2 F2 B2
D' B D' R2 B2 F2
D' B D' F2 R2 B2
D' B D' F2 B2 R2
D' B D' B2 R2 F2
D' B D' B2 F2 R2
D2 B F2 D' B R2
D' B' L2 R2 U L2
F' B D' R2 F' B
F' B D' R2 B F'
D' B' R2 L2 U L2
U' B' U' F2 B' U2
U' B' U' B' F2 U2
U' B' D' L2 U F
B F' D' R2 F' B
B F' D' R2 B F'
D2 B2 U' B U F2
D2 B2 F2 U' B U
U2 B2 F2 U B U
B' L' U L' F L2 B'
B' L2 R U F L2 B'
B' L2 R' U F L2 B'
D L2 R' F R' U' L2
B' L2 R2 U F L2 B'
D' L2 R2 U2 F U' L2
D L2 R2 D' F B2 U'
D L2 R2 D' B2 F U'
D L2 R2 F U' L2 D
D L2 R2 F U' L2 D'
D L2 R2 F U' L2 D2
D L2 R2 F D' B2 U'
D L2 R2 F B U' L2
D L2 R2 F B' U' L2
D L2 R2 F B2 U' L2
D L2 R2 B F U' L2
D L2 R2 B' F U' L2
D L2 R2 B2 F U' L2
B' L2 U F L2 D B'
B' L2 U F L2 D' B'
B' L2 U F L2 D2 B'
B' L2 U F L2 B' D
B' L2 U F L2 B' D'
B' L2 U F L2 B' D2
B' L2 U F B L2 B'
B' L2 U F B' L2 B'
B' L2 U F B2 L2 B'
B' L2 U B F L2 B'
B' L2 U B' F L2 B'
B' L2 U B2 F L2 B'
B' L2 U' F2 U2 L2 F'
B' L2 U' F2 U2 F' L2
U L2 D R2 F L2 U'
U' L2 D' L2 R2 B' U
U' L2 D' L2 B' R2 U
U L2 D F L2 R2 U'
U L2 D F R2 L2 U'
U' L2 D' R2 L2 B' U
U L2 D2 F U' F B2
U L2 D2 F U' B2 F
D2 L2 F U' F L2 B2
D2 L2 F U' F B2 L2
D2 L2 F U' B2 F L2
D L2 F R2 U' L2 D
D L2 F R2 U' L2 D'
D L2 F R2 U' L2 D2
D L2 F R2 D' B2 U'
D L2 F R2 B U' L2
D L2 F R2 B' U' L2
D L2 F R2 B2 U' L2
D L2 F U' L2 D B2
F L2 F U' B' L2 F
U L2 F U F B2 U2
U L2 F U B2 F U2
D L2 F B R2 U' L2
D L2 F B' R2 U' L2
U L2 F D L2 U' B'
D L2 F B2 R2 U' L2
B' L2 F' U F2 L2 B'
D L2 F' R2 F2 U' L2
D' L2 F2 R2 B U L2
B2 L2 F2 U B U L2
U2 L2 F2 B2 U' F' U'
D L2 B R2 F U' L2
D L2 B F R2 U' L2
R' U D L2 R2 F U'
R' U D L2 F R2 U'
R' U D R2 L2 F U'
D L2 B' R2 F U' L2
R2 U D L2 R2 F U'
R2 U D L2 F R2 U'
D L2 B' F R2 U' L2
R2 U D R2 L2 F U'
R U D L2 R2 F U'
R U D L2 F R2 U'
R U D R2 L2 F U'
F2 L2 B2 U' F U' L2
D L2 B2 R2 F U' L2
U2 L2 B2 F2 U' F' U'
D L2 B2 F R2 U' L2
B' R L2 U F L2 B'
D R U L2 R F U'
D R U R L2 F U'
D' R U' R B' L2 U
D2 R U' B' U F2 B'
D2 R U' B' U B' F2
D' R U' B' L2 R U
D' R U' B' R L2 U
U R D L2 R2 F U'
U R D L2 F R2 U'
U R D R2 L2 F U'
B' R D' L2 U F L2
U' R D' R2 B' L2 U
U' R D' B' L2 R2 U
U' R D' B' R2 L2 U
U' R D2 B' U F2 B'
U' R D2 B' U B' F2
B' R D2 B2 D' R2 F'
D2 R F2 U' B' U B'
D2 R F2 B D' B R2
D2 R F2 B2 U' B U
D2 R B F2 D' B R2
D' R B' L2 R U L2
D' R B' R L2 U L2
U' R B' U' F2 B' U2
U' R B' U' B' F2 U2
U' R B' D' L2 U F
D2 R B2 U' B U F2
R' U' D' R2 B' L2 U
R' U' D' B' L2 R2 U
R' U' D' B' R2 L2 U
D2 R B2 F2 U' B U
R2 U' D' R2 B' L2 U
R2 U' D' B' L2 R2 U
R2 U' D' B' R2 L2 U
R U' D' R2 B' L2 U
R' U' D2 B' U F2 B'
R' U' D2 B' U B' F2
R U' D' B' L2 R2 U
R U' D' B' R2 L2 U
R2 U' D2 B' U F2 B'
R2 U' D2 B' U B' F2
B' R' L2 U F L2 B'
R U' D2 B' U F2 B'
R U' D2 B' U B' F2
D R' L2 F R' U' L2
D R' U L2 R' F U'
D R' U L2 F R' U'
D R' U R' L2 F U'
D' R' U' R' B' L2 U
D2 R' U' B' U F2 B'
D2 R' U' B' U B' F2
R' U' B' U' F2 B' U2
R' U' B' U' B' F2 U2
R' U' B' D' L2 U F
R2 U' B' U' F2 B' U2
R2 U' B' U' B' F2 U2
R2 U' B' D' L2 U F
R U' B' U' F2 B' U2
R U' B' U' B' F2 U2
U R' D L2 R2 F U'
R U' B' D' L2 U F
U R' D L2 F R2 U'
B' R' D' L2 U F L2
U R' D R2 L2 F U'
U' R' D' R2 B' L2 U
U' R' D' B' L2 R2 U
U' R' D' B' R2 L2 U
U' R' D2 B' U F2 B'
U' R' D2 B' U B' F2
B' R' D2 B2 D' R2 F'
D2 R' F2 U' B' U B'
D2 R' F2 B D' B R2
D2 R' F2 B2 U' B U
D2 R' B F2 D' B R2
U' R' B' U' F2 B' U2
U' R' B' U' B' F2 U2
U' R' B' D' L2 U F
D2 R' B2 U' B U F2
D2 R' B2 F2 U' B U
B' R2 L2 U F L2 B'
D' R2 L2 U2 F U' L2
D R2 L2 D' F B2 U'
D R2 L2 D' B2 F U'
D R2 L2 F U' L2 D
D R2 L2 F U' L2 D'
D R2 L2 F U' L2 D2
D R2 L2 F D' B2 U'
D R2 L2 F B U' L2
D R2 L2 F B' U' L2
D R2 L2 F B2 U' L2
D R2 L2 B F U' L2
D R2 L2 B' F U' L2
D R2 L2 B2 F U' L2
R' U2 F2 B2 U B U
D2 R2 U' B' U F2 B'
D2 R2 U' B' U B' F2
R2 U2 F2 B2 U B U
R U2 F2 B2 U B U
B' R2 D' L2 U F L2
R' U2 B2 F2 U B U
U R2 D L2 R2 F U'
U R2 D L2 F R2 U'
U' R2 D' R2 B' L2 U
U R2 D R2 L2 F U'
U' R2 D' B' L2 R2 U
F' R2 D' B D' R2 F2
F' R2 D' B D' F2 R2
U' R2 D' B' R2 L2 U
R2 U2 B2 F2 U B U
B R2 D' F' R2 D' B2
R U2 B2 F2 U B U
F' R2 D2 F2 B D' R2
F' R2 D2 B F2 D' R2
U' R2 D2 B' U F2 B'
U' R2 D2 B' U B' F2
B' R2 D2 B2 D' R2 F'
R' D L2 R2 F U' L2
B R2 D2 B2 D F' R2
D' R2 F B' L2 U L2
R' D L2 F R2 U' L2
F' R2 F B D' R2 F'
D R2 F L2 F U' L2
R2 D L2 R2 F U' L2
R2 D L2 F R2 U' L2
D' R2 F' B' L2 U L2
R D L2 R2 F U' L2
F' R2 F' B D' R2 F'
D R2 F' L2 F U' L2
B R2 F' R2 D' B R2
R D L2 F R2 U' L2
D2 R2 F2 U' B' U B'
B R2 F' D' R2 D B
B R2 F' D' R2 D' B
B R2 F' D' R2 D2 B
B R2 F' D' R2 B D
B R2 F' D' R2 B D'
B R2 F' D' R2 B D2
B R2 F' D' B R2 B
B R2 F' D' B' R2 B
B R2 F' D' B2 R2 B
D' R2 F2 B' L2 U L2
D2 R2 F2 B D' B R2
F' R2 F2 B D' R2 F'
D2 R2 F2 B2 U' B U
D R2 F2 L2 F U' L2
D' R2 B L2 B2 U L2
F' R2 B R2 D' F' R2
R' D R2 L2 F U' L2
F' R2 B R2 F' D' R2
B R2 F2 D' F R2 B
F' R2 B D' R2 D F'
F' R2 B D' R2 D' F'
F' R2 B D' R2 D2 F'
F' R2 B D' R2 F' D
F' R2 B D' R2 F' D'
F' R2 B D' R2 F' D2
F' R2 B D' F R2 F'
F' R2 B D' F' R2 F'
F' R2 B D' F2 R2 F'
F' R2 B F D' R2 F'
D2 R2 B F2 D' B R2
F' R2 B F' D' R2 F'
F' R2 B F2 D' R2 F'
D' R2 B' L2 U L2 D
D' R2 B' L2 U L2 D'
D' R2 B' L2 U L2 D2
D' R2 B' L2 D F2 U
D' R2 B' L2 F U L2
D' R2 B' L2 F' U L2
D' R2 B' L2 F2 U L2
R2 D R2 L2 F U' L2
R' D U L2 R2 F U'
R' D U L2 F R2 U'
U' R2 B' U' F2 B' U2
U' R2 B' U' B' F2 U2
R' D U R2 L2 F U'
L2 D R2 F L2 B' U'
U' R2 B' D' L2 U F
D' R2 B' F L2 U L2
D' R2 B' F' L2 U L2
D' R2 B' F2 L2 U L2
R D R2 L2 F U' L2
D' R2 B2 L2 B U L2
R2 D U L2 R2 F U'
R2 D U L2 F R2 U'
D2 R2 B2 U' B U F2
R2 D U R2 L2 F U'
D2 R2 B2 F2 U' B U
R D U L2 R2 F U'
R D U L2 F R2 U'
R D U R2 L2 F U'
L2 D F L2 R2 B' U'
L2 D F L2 B' R2 U'
L2 D F R2 L2 B' U'
D2 U L2 F U' F B2
D2 U L2 F U' B2 F
U' D L2 F R2 B U'
D U L2 R' F R' U'
D U L2 R2 D F U'
D U L2 R2 D' F U'
D U L2 R2 D2 F U'
D U L2 R2 F U' D
D U L2 R2 F U' D'
D U L2 R2 F U' D2
D U L2 R2 F D U'
D U L2 R2 F D' U'
D U L2 R2 F D2 U'
D U L2 D F U' B2
U D L2 R' F R' U'
U D L2 R2 D F U'
U D L2 R2 D' F U'
U D L2 R2 D2 F U'
U D L2 R2 F U' D
U D L2 R2 F U' D'
U D L2 R2 F U' D2
U D L2 R2 F D U'
U D L2 R2 F D' U'
U D L2 R2 F D2 U'
D U L2 F R2 U' D
D U L2 F R2 U' D'
D U L2 F R2 U' D2
D U L2 F R2 D U'
D U L2 F R2 D' U'
D U L2 F R2 D2 U'
D U L2 F U' D B2
D U L2 F D U' B2
D U L2 F' R2 F2 U'
U D L2 D F U' B2
U D L2 F R2 U' D
U D L2 F R2 U' D'
U D L2 F R2 U' D2
U D L2 F R2 D U'
U D L2 F R2 D' U'
U D L2 F R2 D2 U'
U D L2 F U' D B2
U D L2 F D U' B2
U D L2 F' R2 F2 U'
D U R' L2 F R' U'
U D R' L2 F R' U'
D U R2 L2 D F U'
D U R2 L2 D' F U'
D U R2 L2 D2 F U'
D U R2 L2 F U' D
D U R2 L2 F U' D'
D U R2 L2 F U' D2
D U R2 L2 F D U'
D U R2 L2 F D' U'
D U R2 L2 F D2 U'
U D R2 L2 D F U'
U D R2 L2 D' F U'
U D R2 L2 D2 F U'
U D R2 L2 F U' D
U D R2 L2 F U' D'
U D R2 L2 F U' D2
U D R2 L2 F D U'
U D R2 L2 F D' U'
U D R2 L2 F D2 U'
D U R2 F L2 F U'
D U R2 F' L2 F U'
D U R2 F2 L2 F U'
U D R2 F L2 F U'
U D R2 F' L2 F U'
U D R2 F2 L2 F U'
D U F L2 R2 F U'
D U F L2 F R2 U'
D U F R2 L2 F U'
F U D L2 F U' B'
U D F L2 R2 F U'
U D F L2 F R2 U'
U D F R2 L2 F U'
B2 U D' B L2 F U
F2 U D' B' R2 F' U
D U F' L2 R2 F U'
D U F' L2 F R2 U'
D U F' R2 L2 F U'
U D F' L2 R2 F U'
U D F' L2 F R2 U'
U D F' R2 L2 F U'
D U F2 L2 R2 F U'
D U F2 L2 F R2 U'
D U F2 R2 L2 F U'
U D F2 L2 R2 F U'
U D F2 L2 F R2 U'
U D F2 R2 L2 F U'
D' U B' L2 R2 F' U
D' U B' R2 L2 F' U
D' U B' R2 F' L2 U
U' D B' U D F2 B2
U' D B' U D B2 F2
U' D B' U2 L2 R2 U'
U' D B' U2 R2 L2 U'
U' D B' D U F2 B2
U' D B' D U B2 F2
U' D B' D2 L2 R2 U
U' D B' D2 R2 L2 U
B2 U B D' L2 F U
R' D' R2 B' L2 U L2
R2 D' R2 B' L2 U L2
R' D' U' R2 B' L2 U
U' D' L2 R2 U2 F U'
D' U' L2 R2 U2 F U'
R' D' U' B' L2 R2 U
R' D' U' B' R2 L2 U
R D' R2 B' L2 U L2
R2 D' U' R2 B' L2 U
R2 D' U' B' L2 R2 U
R2 D' U' B' R2 L2 U
D U' L2 F R2 B U'
U' D' R B' L2 R U
D' U' R B' L2 R U
U' D' R B' R L2 U
D' U' R B' R L2 U
R D' U' R2 B' L2 U
D2 U' R B' U F2 B'
D2 U' R B' U B' F2
R D' U' B' L2 R2 U
R D' U' B' R2 L2 U
D2 U' R' B' U F2 B'
D2 U' R' B' U B' F2
U' D' R2 L2 U2 F U'
D' U' R2 L2 U2 F U'
D' U' R2 D' B' U B'
U' D' R2 D' B' U B'
D' U' R2 B L2 B2 U
U' D' R2 B L2 B2 U
U' D' R2 B' L2 U D
U' D' R2 B' L2 U D'
U' D' R2 B' L2 U D2
U' D' R2 B' L2 D U
U' D' R2 B' L2 D' U
U' D' R2 B' L2 D2 U
D' U' R2 B' L2 U D
D' U' R2 B' L2 U D'
D' U' R2 B' L2 U D2
D' U' R2 B' L2 D U
D' U' R2 B' L2 D' U
D' U' R2 B' L2 D2 U
U' D' R2 B' U D' B2
D' U' R2 B' U D' B2
U' D' R2 B' D' U B2
D' U' R2 B' D' U B2
D' U' R2 B2 L2 B U
U' D' R2 B2 L2 B U
D2 U' R2 B' U F2 B'
D2 U' R2 B' U B' F2
R' D' B D' R2 F2 B2
R' D' B D' R2 B2 F2
R' D' B D' F2 R2 B2
R' D' B D' F2 B2 R2
R' D' B D' B2 R2 F2
R' D' B D' B2 F2 R2
R' D' B' L2 R2 U L2
R' D' B' R2 L2 U L2
R2 D' B D' R2 F2 B2
R2 D' B D' R2 B2 F2
R2 D' B D' F2 R2 B2
R2 D' B D' F2 B2 R2
R2 D' B D' B2 R2 F2
R2 D' B D' B2 F2 R2
R2 D' B' L2 R2 U L2
R2 D' B' R2 L2 U L2
R D' B D' R2 F2 B2
R D' B D' R2 B2 F2
