B' L U D2 L2 F2
B' L U D2 F2 L2
B' L U' R2 B2 U2
B' L U' B2 R2 U2
B' L D' R2 F2 U
B' L D' F2 R2 U
B' L D2 U L2 F2
B' L D2 U F2 L2
R2 U B' L U F'
B' D' L R2 F2 U
B' D' L F2 R2 U
B' D' R2 L F2 U
B' D' R2 F2 L U
B' D' F2 L R2 U
B' D' F2 R2 L U
B' D2 L U L F2
B' D2 L U F2 L
B' L R U D2 F2 L'
B' L R U' R B2 U2
B' L R U' B2 R U2
B' L R D2 U F2 L'
B' L R' U' R' B2 U2
B' L R' U' B2 U2 L
B' L U L D2 L2 F2
B' L U L D2 F2 L2
B' L U L' D2 L2 F2
B' L U L' D2 F2 L2
B' L U L2 D2 L2 F2
B' L U L2 D2 F2 L2
B' L U D2 L F2 L
B' L U D2 L2 F2 D
B' L U D2 L2 F2 D'
B' L U D2 L2 F2 D2
B' L U D2 F' L2 F'
B' L U D2 F2 L2 D
B' L U D2 F2 L2 D'
B' L U D2 F2 L2 D2
B' L U F D2 L2 F2
B' L U F D2 F2 L2
B' L U F' D2 L2 F2
B' L U F' D2 F2 L2
B' L U F2 D2 L2 F2
B' L U F2 D2 F2 L2
B' L U' R B2 R U2
B' L U' R' B2 U2 L
B' L U' R2 U2 D2 F2
B' L U' R2 D2 U2 F2
B' L U' R2 B2 U2 D
B' L U' R2 B2 U2 D'
B' L U' R2 B2 U2 D2
B' L U' R2 B2 D U2
B' L U' R2 B2 D' U2
B' L U' R2 B2 D2 U2
B' L U' B R2 U2 F'
B' L U' B' R2 B' U2
B' L U' B2 R2 U2 D
B' L U' B2 R2 U2 D'
B' L U' B2 R2 U2 D2
B' L U' B2 R2 D U2
B' L U' B2 R2 D' U2
B' L U' B2 R2 D2 U2
B' L U' B2 U2 D2 L2
B' L U' B2 D2 U2 L2
B' L U2 D L2 B2 U'
B' L U2 D B2 L2 U'
B' L D U2 L2 B2 U'
B' L D U2 B2 L2 U'
B' L D' R' F2 R' U
B' L D' R2 U D' L2
B' L D' R2 D' U L2
B' L D' R2 F2 U D
B' L D' R2 F2 U D'
B' L D' R2 F2 U D2
B' L D' R2 F2 D U
B' L D' R2 F2 D' U
B' L D' R2 F2 D2 U
B' L D' F R2 F U
B' L D' F2 R2 U D
B' L D' F2 R2 U D'
B' L D' F2 R2 U D2
B' L D' F2 R2 D U
B' L D' F2 R2 D' U
B' L D' F2 R2 D2 U
B' L D' F2 U D' F2
B' L D' F2 D' U F2
B' L D2 R U L2 F2
B' L D2 R U F2 L2
B' L D2 R' U L2 F2
B' L D2 R' U F2 L2
B' L D2 R2 U L2 F2
B' L D2 R2 U F2 L2
B' L D2 U L F2 L
B' L D2 U L2 F2 D
B' L D2 U L2 F2 D'
B' L D2 U L2 F2 D2
B' L D2 U F' L2 F'
B' L D2 U F2 L2 D
B' L D2 U F2 L2 D'
B' L D2 U F2 L2 D2
B' L D2 F U F L2
B' L D2 F' U L2 F'
B' L D2 F' U F' L2
B' L F U D2 L2 F2
B' L F U D2 F2 L2
B' L F U' R2 B2 U2
B' L F U' B2 R2 U2
