R2 L B R' U'
L R2 B R' U'
D L R2 B U' B2
D L U2 F' U B'
R' L B R' B U'
R2 L B R' U' D
R2 L B R' U' D'
R2 L B R' U' D2
R2 L B R' D U'
R2 L B R' D' U'
R2 L B R' D2 U'
R2 L B D R' U'
R2 L B D' R' U'
R2 L B D2 R' U'
R2 L' B L2 R' U'
R2 L' B R' L2 U'
L R' B R' B U'
L' R2 B L2 R' U'
L' R2 B R' L2 U'
L2 R2 B L' R' U'
L2 R2 B R' L' U'
R2 L2 B L' R' U'
R2 L2 B R' L' U'
L R2 B R' U' D
L R2 B R' U' D'
L R2 B R' U' D2
L R2 B R' D U'
L R2 B R' D' U'
L R2 B R' D2 U'
L R2 B D R' U'
L R2 B D' R' U'
L R2 B D2 R' U'
D R2 L B U' B2
R' D L U' B' L
R2 D L B U' B2
B2 U2 F' L' R' U
B2 U2 F' R' L' U
L B R2 B R U'
L B' U2 L F' U
L B' U2 F' L U
L B2 U2 F' L' U
D' L R U F' U2 L'
D L R U' B L B2
D L R B2 U' B L
D L R' U' D B' L
D L R' D U' B' L
R' L U' D L B' L
R' L U' D B' L B'
L R U' D B L B'
R L U' D B L B'
D L R2 U' B' D L2
D L R2 D B U' B2
D2 L R2 D2 B R' U'
D L R2 D' B U' B2
D L R2 D2 B U' B2
U' L R2 B R' U' R'
D' L R2 B R U' B
D L R2 B R U' B2
D L R2 B R' U' B2
D L R2 B R2 U' B2
D L R2 B U' B2 D
D L R2 B U' B2 D'
D L R2 B U' B2 D2
D L R2 B D' R2 U'
R' L D U' L B' L
R' L D U' B' L B'
L R D U' B L B'
R L D U' B L B'
R' L D B' U' L B'
R2 L D' R' U' B L
D L U' B' U' F' U
R2 L D' B R' U' B
R2 L D' B R' U' B
D L U2 D F' U B'
D2 L U2 F L' F2 U
D L U2 D' F' U B'
D2 L U2 F' U2 R U'
D L U2 D2 F' U B'
B2 L U2 F' L' R' U
B2 L U2 F' R' L' U
D L U2 F' U D B'
D L U2 F' U D' B'
D L U2 F' U D2 B'
D L U2 F' U B' D
D L U2 F' U B' D'
D L U2 F' U B' D2
D L U2 F' D U B'
D L U2 F' D' U B'
D L U2 F' D2 U B'
D' L D R2 B R' U'
D L D R2 B U' B2
D L D U2 F' U B'
D L D' R2 B U' B2
D L D' U2 F' U B'
D2 L D2 R2 B R' U'
R2 L F' B R' F U'
D L D2 R2 B U' B2
D L D2 U2 F' U B'
F L D2 F' R B2 U'
F L D2 F' B2 R U'
F L D2 B2 F' R U'
R2 L F2 B R' F2 U'
R' L B R' D B U'
R' L B R' D' B U'
R' L B R' D2 B U'
R' L B R' B U' D
R' L B R' B U' D'
R' L B R' B U' D2
R' L B R' B D U'
R' L B R' B D' U'
R' L B R' B D2 U'
R2 L B R U' D B2
R2 L B R D U' B2
L R B R B R2 U'
L R B R' U2 F' U
R L B R B R2 U'
R2 L B R2 D R U'
R2 L B R2 D' R U'
R2 L B R2 D2 R U'
R L B R' U2 F' U
