D' B R' U' F R
F L U F B U' B2
F L U B F U' B2
F' L F B U' F B2
F' L F B U' B2 F
F2 L F B U' F2 B2
F2 L F B U' B2 F2
F L F B U' F' B2
F L F B U' B2 F'
F2 L F' B' D L2 R2
F2 L F' B' D R2 L2
F' L B F U' F B2
F' L B F U' B2 F
F2 L B F U' F2 B2
F2 L B F U' B2 F2
F L B F U' F' B2
F L B F U' B2 F'
F L B' U F B2 U'
F L B' U B2 F U'
F2 L B' F' D L2 R2
F2 L B' F' D R2 L2
R' U' F R B L B'
R' U' F B L R B'
R' U' F B L B' R
R' U' F B R L B'
D2 R' U' F B L R
D2 R' U' F B R L
D2 R' U' B F L R
D2 R' U' B F R L
R' U' B F L R B'
R' U' B F L B' R
R' U' B F R L B'
L D F B L' U' B2
L D B F L' U' B2
F U B U L U2 B'
B U' L B' L' F R
U2 D' B R' F' U' F2
B U' D2 R' F B R
B U' D2 R' B F R
B U' D2 R2 F R B
B U' D2 F R' B R2
B U' F L R B' L'
B U' F L B' L' R
B U' F L B' R L'
B U' F R L B' L'
B U' F R2 D2 R' B
B U' F D2 R' B R2
D' U2 B R' F' U' F2
U' F L R D B' L
U' F L B' R D L2
U' F L B' D L2 R
U' F L B' D R L2
U F L B' R' D L2
U F L B' D L2 R'
U F L B' D R' L2
U' F R L D B' L
L F B L' U' F B2
L F B L' U' B2 F
B D2 R' U' F B R
B D2 R' U' B F R
B D2 U' R' F B R
B D2 U' R' B F R
B D2 U' R2 F R B
B D2 U' F R' B R2
L B L' U' F R B2
L B L' U' F B2 R
L B L' U' B2 F R
D2 B R' U' F B R
D2 B R' U' B F R
D' B R' U' R F R
D' B R' U' R' F R
D' B R' U' R2 F R
D' B R' U' D F R
D' B R' U' D' F R
D' B R' U' D2 F R
D' B R' U' F R D
D' B R' U' F R D'
D' B R' U' F R D2
D' B R' U' F D R
D' B R' U' F D' R
D' B R' U' F D2 R
D' B R' D U' F R
D' B R' D' U' F R
D' B R' D2 U' F R
D2 B U' R' F B R
D2 B U' R' B F R
D2 B U' R2 F R B
D2 B U' F R' B R2
D' B U' F R D B2
F' B L F U' F B'
F' B L F U' B' F
F2 B L F U' F2 B'
F2 B L F U' B' F2
D' B D R' U' F R
B F L F U' F' B'
B F L F U' B' F'
F B L F U' F' B'
F B L F U' B' F'
D' B D' R' U' F R
D' B D2 R' U' F R
L B F L' U' F B2
L B F L' U' B2 F
B F' L F U' F B'
B F' L F U' B' F
B F2 L F U' F2 B'
B F2 L F U' B' F2
