L' R' D B2 L R'
L' R' D B2 R' L
R' L' D B2 L R'
R' L' D B2 R' L
U R U R U2 R'
R2 U' R' U2 R U
F2 R2 U L' U F2
U2 R2 U' R' U' R'
R' D L' B2 L R'
R' D L' B2 R' L
U' D R B2 L U'
U' D R B2 L U'
R' D' R' F2 U2 F2
R' D' R' F2 U2 F2
R' D' F2 R' U2 F2
D U' R B2 L U'
R2 F' U' R' U' F
R2 F2 U' R' U' F2
L' B2 R' D B2 L
D L R' D L2 B2 R'
U2 L R2 U' R' U' R'
R' L D L2 B2 L R'
R' L D L2 B2 R' L
L2 R D F2 U' L' F2
R' L D B2 L D2 R2
D' L U' F2 L' U R
L2 R D2 R2 D B2 L
U' L D R B2 L U'
U L D' F2 L' R U
U L D' F2 R L' U
L R F2 U' L' R F2
L R F2 U' R L' F2
L2 R F2 U' L' F2 R
R L F2 U' L' R F2
R L F2 U' R L' F2
D' L F2 L' U R F2
L R' D L2 B2 L R'
L R' D L2 B2 R' L
D2 L' R' D B2 L' R'
D2 L' R' D B2 R' L'
B' L' R' D B2 L R'
B' L' R' D B2 R' L
R' L' D B2 L R' D
R' L' D B2 L R' D'
R' L' D B2 L R' D2
R' L' D B2 L D R'
R' L' D B2 L D' R'
R' L' D B2 L D2 R'
D L' R' D B2 L2 R'
D L' R' D B2 R' L2
R' L' D B2 R' L D
R' L' D B2 R' L D'
R' L' D B2 R' L D2
R' L' D B2 R' D L
R' L' D B2 R' D' L
R' L' D B2 R' D2 L
B2 L' R' D B2 L R'
B2 L' R' D B2 R' L
L' R' D B2 L R' D
L' R' D B2 L R' D'
L' R' D B2 L R' D2
L' R' D B2 L D R'
L' R' D B2 L D' R'
L' R' D B2 L D2 R'
R' L' D B2 D L R'
R' L' D B2 D R' L
R' L' D B2 D' L R'
R' L' D B2 D' R' L
L' R' D B2 R' L D
L' R' D B2 R' L D'
L' R' D B2 R' L D2
L' R' D B2 R' D L
L' R' D B2 R' D' L
R' L' D B2 D2 L R'
L' R' D B2 R' D2 L
R' L' D B2 D2 R' L
L' R' D B2 D L R'
L' R' D B2 D R' L
L' R' D B2 D' L R'
L' R' D B2 D' R' L
L' R' D B2 D2 L R'
L' R' D B2 D2 R' L
B L' R' D B2 L R'
B L' R' D B2 R' L
L R' D B2 L D2 R2
L2 R' D B2 L D R2
L2 R' D B2 D L R2
L2 R' D B2 D R2 L
U2 L' R2 U' R' U' R'
D L' U R B2 U' R'
F2 L' U' L R2 U2 F2
D L' U B2 R U' R2
F2 L' U' R2 L U2 F2
U' L' D R B2 L U'
R' L' B2 L D R' B2
L' R' B2 L D R' B2
L2 R' B2 L D B2 R'
R' L' B2 D L R' B2
L' R' B2 D L R' B2
R' L' B2 D R' L B2
L' R' B2 D R' L B2
R' L2 D B2 L D R2
R' L2 D B2 D L R2
R' L2 D B2 D R2 L
D2 L' B2 L' R' D B2
R L2 D F2 U' L' F2
D2 L' B2 R' L' D B2
D2 L' B2 R' D L' B2
D2 L' B2 R' D B2 L'
B' L' B2 R' D B2 L
B2 L' B2 R' D B2 L
B L' B2 R' D B2 L
D2 L2 R D2 R2 D B2
R L2 D2 R2 D B2 L
D2 L2 R' D B2 D R2
D2 L2 R' D2 R2 D' B2
U2 L2 R2 U' R' U' R'
D2 L2 U R U L2 U2
D2 L2 U R U' D2 R2
D2 L2 U R D F2 U'
D2 L2 U R D2 U' R2
D2 L2 U D R F2 U'
D2 L2 U D2 R U' R
R L2 F2 U' L' F2 R
D2 L2 U2 L2 U' R U'
D2 L2 D R' D R2 B2
D2 L2 D R' D B2 R2
U' L2 D R B2 L U'
R' L2 B2 L D B2 R'
D2 L2 D U R F2 U'
R2 U L U2 L' R' U'
R2 U L U2 R' L' U'
D2 L2 D2 R' D R' B2
D2 L2 D2 R2 U R' U'
D2 L2 D2 U R U' R
R2 U L' U2 L R' U'
R2 U L' U2 R' L U'
R2 U L2 U2 L2 R' U'
R2 U L2 U2 R' L2 U'
L' U R U L R U2
L' U R U R L U2
L2 U R U L2 R U2
L2 U R U R L2 U2
