B' L2 F' U' F2 R
B' L2 F2 U' F' R
B2 U' B U' B' R'
D2 F B' U' R F
D F B' L2 U' R
F D B' L2 U' R
F' D2 B' U' F2 R
F D2 B' U' R F2
B' F L2 U' R F
B' F U B' U2 R
D B' L2 F U' R
F B' L2 U' R F
F' B' U B' L' U2
B' F' U B' L' U2
D2 B' F U' R F
D B' F L2 U' R
F B' U B' U2 R
B2 L U' B U' B' R'
B' L F L U' R F
B2 L' U' B U' B' R'
B' L' D F L' U' R
B' L' D2 F U' R F'
B' L' F L' U' R F
B' L' F U' D2 R F'
B' L' F D2 U' R F'
B' L' F' U L' U2 F
B' L2 U' R' F D R2
B2 L2 U' B U' B' R'
B' L2 U2 B' U R' F
B' L2 U2 B' U F R'
D L2 U2 F B' U R'
D L2 U2 B' F U R'
B' L2 D F' U' F2 R
F L2 D L2 B' U' R
B' L2 D F2 U' F' R
B' L2 D' F' U' F2 R
B' L2 D' F2 U' F' R
B' L2 D2 F' U' F2 R
B' L2 D2 F2 U' F' R
B' L2 F' U L' U2 F2
B' L2 F' U' R F2 R
B' L2 F' U' R' F2 R
B' L2 F' U' R2 F2 R
B' L2 F' U' F2 R D
B' L2 F' U' F2 R D'
B' L2 F' U' F2 R D2
B' L2 F' U' F2 D R
B' L2 F' U' F2 D' R
B' L2 F' U' F2 D2 R
D L2 F' U2 F2 U R
B' L2 F2 L U' F' R
B' L2 F2 L' U' F' R
B' L2 F2 L2 U' F' R
B' L2 F2 U' F' R D
B' L2 F2 U' F' R D'
B' L2 F2 U' F' R D2
B' L2 F2 U' F' D R
B' L2 F2 U' F' D' R
B' L2 F2 U' F' D2 R
D L2 F2 U2 F' U R
B2 R U' R' F' B U'
B2 R U' R' B F' U'
D' R2 U2 R2 B' U' R'
D' R2 U2 B' R2 U' R
B R2 D F' L2 B2 R'
D' R2 D2 L2 F U R
L' D L2 F U' L' R
L' D L2 F U' R L'
L2 D L2 F B' U' R
L2 D L2 B' F U' R
B R2 F' D L2 B2 R'
L' D F L2 U' L R
L' D F L2 U' R L
B' U B' L U' F U'
B' U B' L' U B' U
B' U B' U B' U R'
B' U B' U' F U' R
F' U B2 L' U' B U'
F U B2 U' B U' R
B2 U' D B U' B' R'
B2 U' D' B U' B' R'
B2 U' D2 B U' B' R'
B2 U' F B U' B' R'
R2 D2 L2 F U R F
B2 U' F' B U' B' R'
B2 U' F2 B U' B' R'
B2 U' B R' F' U' B'
B2 U' B U' R B' R'
B2 U' B U' R' B' R'
B2 U' B U' R2 B' R'
B2 U' B U' D B' R'
B2 U' B U' D' B' R'
B2 U' B U' D2 B' R'
B2 U' B U' B' R' D
B2 U' B U' B' R' D'
B2 U' B U' B' R' D2
B2 U' B U' B' D R'
B2 U' B U' B' D' R'
B2 U' B U' B' D2 R'
B2 U' B D U' B' R'
B2 U' B D' U' B' R'
B2 U' B D2 U' B' R'
B2 U' B F U' B' R'
B2 U' B F' U' B' R'
B2 U' B F2 U' B' R'
D2 U2 B' U R' F2 L'
U2 D2 B' U R' F2 L'
B' U2 B U' L B2 U2
B' U2 B U' B2 U2 R'
B' U2 B2 U' B U2 R'
L2 F U' B2 U2 R B2
L2 F U' B2 U2 B2 R
D2 F D B' U' R F
B' D L2 F' U' F2 R
B' D L2 F2 U' F' R
D' F D' B' U' R F2
D2 F D' B' U' R F
D F D B' U' R F2
D' F D2 B' L2 U' R
D2 F D2 B' U' R F
D2 F B' U' R D F
D2 F B' U' R D' F
D2 F B' U' R D2 F
D2 F B' U' R F D
D2 F B' U' R F D'
D2 F B' U' R F D2
D' F B' U' D' R F2
D2 F B' U' R' F R2
D2 F B' U' R2 F R'
D2 F B' U' D R F
D2 F B' U' D' R F
D2 F B' U' D2 R F
D' F B' U2 R2 U R'
D2 F B' D U' R F
D' F B' D' U' R F2
D F B L2 B2 U' R
D2 F B' D' U' R F
D' F B' D2 L2 U' R
D2 F B' D2 U' R F
D F B' L2 U' R D
D F B' L2 U' R D'
D F B' L2 U' R D2
D F B' L2 U' D R
D F B' L2 U' D' R
D F B' L2 U' D2 R
D F B' L2 D U' R
D F B' L2 D' U' R
D F B' L2 D2 U' R
D F B' U' R D F2
D F B' U' D R F2
D F B' D U' R F2
D F B2 L2 B U' R
B2 D U' B U' B' R'
B' D F L2 U' R F
B' D F U B' U2 R
B' D F' U B' L' U2
F' D F2 B' L2 U' R
F' D B L2 B2 U' R'
F' D B' L2 U L U2
F' D B' U' D F2 R
F' D B' D U' F2 R
F D B L2 B2 U' R
F' D B' F2 L2 U' R
F D B' L2 U' R D
F D B' L2 U' R D'
F D B' L2 U' R D2
F D B' L2 U' D R
F D B' L2 U' D' R
F D B' L2 U' D2 R
F D B' L2 D U' R
F D B' L2 D' U' R
F D B' L2 D2 U' R
F D B' U' R D F2
F D B' U' D R F2
F D B' D U' R F2
F D B2 L2 B U' R
B' D' L2 F' U' F2 R
B' D' L2 F2 U' F' R
D' F' D' B' U' F2 R
D F' D B' U' F2 R
L2 F' D2 B2 U' F2 R
D2 F' B' U L' U2 F'
D2 F' B' U' F2 R F
D' F' B' U' D' F2 R
D' F' B' D' U' F2 R
D F' B L2 B2 U' R'
D F' B' L2 U L U2
D F' B' U' D F2 R
D F' B' D U' F2 R
B2 D' U' B U' B' R'
B' D' F L2 U' R F
B' D' F U B' U2 R
B' D' F' U B' L' U2
F' D' B' U' D' F2 R
F' D' B' D' U' F2 R
F D' B' U' D' R F2
F D' B' U2 R2 U R'
F D' B' D' U' R F2
F D' B' D2 L2 U' R
B' D2 L2 F' U' F2 R
B' D2 L2 F2 U' F' R
D F2 B' L2 F' U' R
B2 D2 U' B U' B' R'
B' D2 F L2 U' R F
B' D2 F U B' U2 R
B' D2 F' U B' L' U2
F' D2 F' B' U' F' R
D B L2 F B2 U' R
D B L2 B2 F U' R
F' D2 B' U L' U2 F2
F' D2 B' U' R F2 R
F' D2 B' U' R' F2 R
F' D2 B' U' R2 F2 R
F' D2 B' U' F2 R D
F' D2 B' U' F2 R D'
F' D2 B' U' F2 R D2
F2 D2 B' L2 U' F2 R
F' D2 B' U' F2 D R
F' D2 B' U' F2 D' R
F' D2 B' U' F2 D2 R
F2 D2 B' U L U2 F2
F' D2 B' F' U' F' R
F D2 B' L U' R F2
F D2 B' L' U' R F2
F D2 B' L2 U' R F2
F D2 B' U' R F2 D
F D2 B' U' R F2 D'
F D2 B' U' R F2 D2
F D2 B' U' R' F2 R2
F D2 B' U' R2 F2 R'
F D2 B' D' L2 U' R
B' F L' U' D2 R F'
B' F L' D2 U' R F'
B' F L2 U' R D F
B' F L2 U' R D' F
B' F L2 U' R D2 F
B' F L2 U' R F D
B' F L2 U' R F D'
B' F L2 U' R F D2
B' F L2 U' R' F R2
B' F L2 U' R2 F R'
B' F L2 U' D R F
B' F L2 U' D' R F
B' F L2 U' D2 R F
B' F L2 D U' R F
B' F L2 D' U' R F
B' F L2 D2 U' R F
R2 B D B2 L2 F R
B' F U L2 U2 R F
D B F L2 B2 U' R
B' F U D B' U2 R
B' F U D' B' U2 R
B' F U D2 B' U2 R
B' F U B' L U2 R
B' F U B' L' U2 R
B' F U B' L2 U2 R
B' F U B' U2 R D
B' F U B' U2 R D'
B' F U B' U2 R D2
B' F U B' U2 D R
B' F U B' U2 D' R
B' F U B' U2 D2 R
B' F U B' D U2 R
B' F U B' D' U2 R
B' F U B' D2 U2 R
B' F U' L2 R F L2
D B F' L2 B2 U' R'
B' F U' R L2 F L2
B' F U' R U2 B' U2
D2 B' L F U' R F
B2 F U' B U' R B'
B2 F U' B U' B' R
D2 B' L' F U' R F
B' F D L2 U' R F
D B' L F L U' R
B' F D U B' U2 R
D2 B' L2 F U' R F
B' F D' L2 U' R F
B' F D' U B' U2 R
D B' L2 U2 B' U R'
D B' L2 D F U' R
D B' L2 D' F U' R
B' F D2 L2 U' R F
D B' L2 D2 F U' R
D B' L2 F U' R D
D B' L2 F U' R D'
D B' L2 F U' R D2
D B' L2 F U' D R
D B' L2 F U' D' R
D B' L2 F U' D2 R
D B' L2 F D U' R
D B' L2 F D' U' R
D B' L2 F D2 U' R
D B' L2 F' U L' U2
B' F D2 U B' U2 R
B2 F' L' U' B U' B'
U2 B' U B' U2 B R'
F2 B' L2 U' F' R F2
F B' L' U' D2 R F'
F2 B' L2 F' U' R F2
D' B' U2 R2 B' U R'
F B' L' D2 U' R F'
D2 B' U2 B' U R' F2
D2 B' U2 B' U F2 R'
D' B' U2 B' R2 U R
F B' L2 U' R D F
F B' L2 U' R D' F
F B' L2 U' R D2 F
F B' L2 U' R F D
F B' L2 U' R F D'
F B' L2 U' R F D2
F B' L2 U' R' F R2
F B' L2 U' R2 F R'
F B' L2 U' D R F
F B' L2 U' D' R F
F B' L2 U' D2 R F
F B' L2 D U' R F
F B' L2 D' U' R F
F B' L2 D2 U' R F
D2 B' D' L2 F U' R
D2 B' D' F L2 U' R
D' B' D' F U' R F
D B' D F U' R F
D' B' D2 L2 F U' R
B' F' U D B' L' U2
B' F' U D' B' L' U2
B' F' U D2 B' L' U2
B' F' U B L' B2 U2
D' B' D2 F L2 U' R
B' F' U B' L' U2 D
B' F' U B' L' U2 D'
B' F' U B' L' U2 D2
B' F' U B' L' D U2
B' F' U B' L' D' U2
B' F' U B' L' D2 U2
F' B' U D B' L' U2
B' F' U B' D L' U2
B' F' U B' D' L' U2
B' F' U B' D2 L' U2
B' F' U B2 L' B U2
F' B' U D' B' L' U2
F' B' U D2 B' L' U2
F' B' U B L' B2 U2
F' B' U B' L' U2 D
F' B' U B' L' U2 D'
F' B' U B' L' U2 D2
F' B' U B' L' D U2
F' B' U B' L' D' U2
F' B' U B' L' D2 U2
F2 B' U D2 B' L U2
F' B' U B' D L' U2
F' B' U B' D' L' U2
F' B' U B' D2 L' U2
F' B' U B2 L' B U2
D2 B' F U' R D F
D2 B' F U' R D' F
D2 B' F U' R D2 F
D2 B' F U' R F D
D2 B' F U' R F D'
D2 B' F U' R F D2
D2 B' F U' R' F R2
D2 B' F U' R2 F R'
D2 B' F U' D R F
D2 B' F U' D' R F
D2 B' F U' D2 R F
D2 B' F D U' R F
D' B' F U' D' R F2
D2 B' F D' U' R F
D' B' F U2 R2 U R'
D2 B' F D2 U' R F
D' B' F D' U' R F2
D' B' F D2 L2 U' R
D2 B' F' U L' U2 F'
F B' U L2 U2 R F
D2 B' F' U' F2 R F
D' B' F' U' D' F2 R
F B' U D B' U2 R
F B' U D' B' U2 R
F B' U D2 B' U2 R
D' B' F' D' U' F2 R
D B' F L2 U' R D
