B L B U' R B U2
U' R B U B L U
U' D' R B U2 R B
D' U' R B U2 R B
B2 U' R B U' R' U'
F2 U' D' L' R2 F B'
F2 U' D' L' R2 B' F
F2 U' D' L' F R2 B'
F2 U' D' L' F B' R2
B2 U' D' R F' B U2
F2 U' D' L' B' R2 F
F2 U' D' L' B' F R2
B2 U' D' R B F' U2
F2 U' D' R2 L' F B'
F2 U' D' R2 L' B' F
R F U R B2 U B'
R F U B2 R U B
D2 F' L' F' U' L' B'
F2 D' U' L' R2 F B'
F2 D' U' L' R2 B' F
F2 D' U' L' F R2 B'
F2 D' U' L' F B' R2
B2 D' U' R F' B U2
F2 D' U' L' B' R2 F
F2 D' U' L' B' F R2
B2 D' U' R B F' U2
F2 D' U' R2 L' F B'
F2 D' U' R2 L' B' F
D2 F2 U' D' L' F B'
D2 F2 U' D' L' B' F
D2 F2 D' U' L' F B'
D2 F2 D' U' L' B' F
R2 B L B U L F
R B U L B U F
R2 B2 U D L F B'
R2 B2 U D L B' F
R2 B2 D U L F B'
R2 B2 D U L B' F
