U2 L F' U L2 R
U2 L F' U R L2
U2 D' L B' U L2
D' U2 L B' U L2
U2 L U L2 F' R F
U2 L U F' R F L2
U2 L U2 F' U' L2 R
U2 L U2 F' U' R L2
D' L D F2 R B' U
D' L D F2 B' R U
D' L D B' F2 R U
U2 L F U' L' U2 L'
U2 L F D F2 U R
U2 L F' U L2 R D
U2 L F' U L2 R D'
U2 L F' U L2 R D2
U2 L F' U L2 D R
U2 L F' U L2 D' R
U2 L F' U L2 D2 R
U2 L F' U R L2 D
U2 L F' U R L2 D'
U2 L F' U R L2 D2
U' L F' U R F L2
U2 L F' B U L2 R
U2 L F' B U R L2
U2 L F' B' U L2 R
U2 L F' B' U R L2
U2 L F' B2 U L2 R
U2 L F' B2 U R L2
D' L F2 R B' U L2
D' L F2 B' R U L2
U2 L B F' U L2 R
U2 L B F' U R L2
D' L B' U2 L' U' L'
D' L B' D F2 R U
D' L B' F2 R U L2
U2 L B' F' U L2 R
U2 L B' F' U R L2
U2 L B2 F' U L2 R
U2 L B2 F' U R L2
U' L' D' B D' B R'
U' L' D2 B D R' B2
U' L' D2 B' D B2 R'
U' L' F' R D' F B2
U' L' F' R D' B2 F
U' L' F' R F D' B2
U2 L' F' L2 U L2 R
U2 L' F' L2 U R L2
U' L' F' D' R F B2
U' L' F' D' R B2 F
U' L' F' D' B2 R F
L U F' L2 D R F'
D' R U2 L B' U L2
B2 R' U' L' F' R F
B2 R' U' F' R F L'
D' R' U2 L B' U L2
D R' U2 L B U L2
R' U2 L F' U L2 R
R' U2 L F' U R L2
R2 U2 L F' U L2 R
R2 U2 L F' U R L2
B2 R' D2 B U' L' R'
B2 R' D2 B U' R' L'
R U2 L F' U L2 R
R U2 L F' U R L2
R' U2 D' L B' U L2
R2 U2 D' L B' U L2
L U2 D' L' F B2 U'
L U2 D' L' B2 F U'
R U2 D' L B' U L2
L U2 D' B2 L' F U'
D' R2 U2 L B' U L2
L D R' F2 B R U
L D R' B F2 R U
D R2 B' U' L' B' R'
L D R2 F2 R B U
F U L' U L2 F U
L D F2 R U2 F' U'
L D F2 R' B R2 U
L D' L' F B2 R' U'
L D' L' B2 R' F U'
L D' L' B2 F R' U'
U2 D' L D F2 B' U
U2 D' L D B' F2 U
U' D' L' U' L2 B' U
D' U' L' U' L2 B' U
U2 D' L F B' U L2
U2 D' L F' B' U L2
U2 D' L F2 B' U L2
U2 D' L B' U L2 D
U2 D' L B' U L2 D'
U2 D' L B' U L2 D2
U2 D' L B' D F2 U
U2 D' L B' F U L2
U2 D' L B' F' U L2
U2 D' L B' F2 U L2
D2 U' L' B R' D' B2
D2 U' L' B D' R' B2
D2 U' L' B' D' B2 R'
R' D' U2 L B' U L2
R2 D' U2 L B' U L2
B' U' L' D2 B R' B2
B' U' L' F' R F B'
B' U' L' F' R B' F
B' U' L' F' B' R F
L D' U2 L' F B2 U'
L D' U2 L' B2 F U'
R D' U2 L B' U L2
B' U' L' B' F' R F
B' U' L' B2 D2 B R'
L D' U2 B2 L' F U'
D2 U' B L' D' R' B
D2 U' B D' L' R' B
D2 U' B D' R' L' B
D2 U' B D' R' B L'
B' U' D2 L' B R' B2
B' U' D2 B L' R' B'
B' U' D2 B R' L' B'
B' U' D2 B2 L' B' R'
D' U2 L D F2 B' U
D' U2 L D B' F2 U
B' U' F' R F L' B'
D' U2 L F B' U L2
D' U2 L F' B' U L2
D' U2 L F2 B' U L2
D' U2 L B' U L2 D
D' U2 L B' U L2 D'
D' U2 L B' U L2 D2
D' U2 L B' D F2 U
D' U2 L B' F U L2
D' U2 L B' F' U L2
D' U2 L B' F2 U L2
D2 U2 L B U L2 R'
D2 U2 L B U R' L2
U2 D2 L B U L2 R'
U2 D2 L B U R' L2
U' D2 L' B R' D' B2
U' D2 L' B D' R' B2
U' D2 L' B' D' B2 R'
U' D2 B L' D' R' B
U' D2 B D' L' R' B
U' D2 B D' R' L' B
U' D2 B D' R' B L'
B2 D R' U2 B U L'
B' D R2 U' L' B' R'
U' F' R F L' D' B2
F' D B2 R' B U' R2
L F' U L2 D R F'
L' F' D' B2 R D' F2
L' F' B D' R F' B2
L' F' B D' R B2 F'
L' F' B D' B2 R F'
L' F' B2 R D' F2 B2
L' F' B2 R D' B2 F2
L F2 R F U L2 R
L F2 R F U R L2
B2 D2 R' B U' L' R'
B2 D2 R' B U' R' L'
B' D2 U' L' B R' B2
B' D2 U' B L' R' B'
B' D2 U' B R' L' B'
B' D2 U' B2 L' B' R'
B2 D2 B U' L' R' B'
B2 D2 B U' R' L' B'
D2 B U' L' D' R' B
D2 B U' D' L' R' B
D2 B U' D' R' L' B
D2 B U' D' R' B L'
D2 B D' U' L' R' B
D2 B D' U' R' L' B
D2 B D' U' R' B L'
L' B F' D' R F' B2
L' B F' D' R B2 F'
L' B F' D' B2 R F'
D B' R2 U' L' B' R'
D2 B' U' L' D2 R2 B'
D2 B' U' L' D2 B' R2
D2 B' U' L' B' D2 R2
D2 B' U' B' L' B' R'
D2 B' U' B2 L' R' B'
D2 B' U' B2 R' L' B'
B2 F' R' F U' L' R2
B2 F' R' F U' R2 L'
B2 F' D R' B U' R2
D2 B2 R' B' U' L' R'
D2 B2 R' B' U' R' L'
D B2 R' U2 B U L'
F' B2 R' F U' L' R2
F' B2 R' F U' R2 L'
F' B2 D R' B U' R2
L' B2 F' R D' F2 B2
L' B2 F' R D' B2 F2
