L D' B2 R' U L
D2 L R2 U' L2 R U2
D2 L R2 U' R L2 U2
D' L U D2 R2 F2 L'
D' L U' L2 R' B2 U2
D' L U' L2 B2 U2 L
D L U' L2 R' U2 F2
D' L U' R' L2 B2 U2
D' L U' R' B2 L2 U2
D L U' R' L2 U2 F2
D' L U' B2 L2 U2 L'
L R D' F2 B2 R' U
R L D' F2 B2 R' U
L R D' B2 R' F2 U
L R D' B2 F2 R' U
R L D' B2 R' F2 U
R L D' B2 F2 R' U
D' L D' B2 R2 U L
D2 L D' B2 U L F2
D2 L D' B2 U F2 L
U' L D' B2 R' U L
U2 L D' B2 R' U L
U L D' B2 R' U L
D' L D2 U R2 F2 L'
R' L' U L2 U2 L U'
L' R' U L2 U2 L U'
L' R' U' L' U2 L' U
R' L' U' L' U2 L' U
R' L' U' D' L' U' B2
L' R' U' D' L' U' B2
R' L' U' D2 L' R2 U'
L' R' U' D2 L' R2 U'
R' L' U' D2 R2 L' U'
L' R' U' D2 R2 L' U'
F2 L B2 R' U L R2
F2 L B2 R' U R2 L
D2 L' R' U L2 R' U
D2 L' R' U R' L2 U
D L' R' U L2 U F2
R' L' D F2 U R U
L' R' D F2 U R U
D L' R' U2 F2 D' B2
D' L' R' B2 U L2 U
D' L' R' B2 U2 D' B2
D' L' R' B2 D F2 U2
D' L' R' B2 D' U2 B2
R' L' D' U' L' U' B2
L' R' D' U' L' U' B2
R' L' D2 U' L' R2 U'
R' L' D2 U' R2 L' U'
L' R' D2 U' L' R2 U'
L' R' D2 U' R2 L' U'
B' L' U' L' U' B' L
B2 L' U' L' R' U' L'
B2 L' U' R' L' U' L'
D2 L' U2 D' F2 B2 L
D2 L' U2 D' B2 L F2
D2 L' U2 D' B2 F2 L
D L' U2 F2 D' B2 L
R' L' F2 U L2 R U
R' L' F2 U R L2 U
D2 L' D R' F2 B2 U2
L' R' F2 U L2 R U
D2 L' D R' B2 F2 U2
L' R' F2 U R L2 U
D2 L' D F2 R' B2 U2
D2 L' D F2 B2 U2 L
D2 L' D B2 F2 U2 L
D2 L' D' R' U2 F2 B2
D2 L' D' R' U2 B2 F2
D2 L' D' U2 F2 B2 L
D2 L' D' U2 B2 L F2
D2 L' D' U2 B2 F2 L
D2 L' D' B2 L F2 R
D' L' B2 U L2 U L'
D' L' B2 U2 D' L B2
D' L' B2 D F2 U2 L
D' L' B2 D' U2 L B2
B2 L2 R' U L U2 L2
B2 L2 R' U' L' D2 R2
B2 L2 R' B2 U' L' R'
B2 L2 R' B2 U' R' L'
L2 U L R' U L2 U
R' U L D' B2 R' U
L2 U L R' U2 D' B2
L2 U L R' D F2 U2
L2 U L R' D' U2 B2
L2 U L U2 D' B2 L
L2 U L D R' F2 U2
L2 U L D F2 R' U2
L2 U L D' R' U2 B2
L2 U L D' U2 B2 L
L2 U R' L U L2 U
L2 U R' L U2 D' B2
L2 U R' L D F2 U2
L2 U R' L D' U2 B2
B2 R D F2 L R B2
B2 R D F2 L B2 R
B2 R D F2 R L B2
L U' L2 R' U' L' U'
L U' R' L2 U' L' U'
L' U' D' L' U' B2 L
D2 R' L' U L2 R' U
