L' R U' B' L' R'
L' R U' B' R' L'
R L' U' B' L' R'
R L' U' B' R' L'
D' L' F' B2 U' B
D' L' B2 F' U' B
L2 U L F' U' B'
L2 U F' L U' B'
L2 F' L U' B' L'
L' F' U' D2 B' L
L' F' D2 U' B' L
D' B2 L' F' U' B'
L' R U' R B' L' R'
L' R U' R B' R' L'
L' R U' R' B' L' R'
L' R U' R' B' R' L'
L' R U' R2 B' L' R'
L' R U' R2 B' R' L'
L' R U' D B' L' R'
L' R U' D B' R' L'
L' R U' D' B' L' R'
L' R U' D' B' R' L'
L' R U' D2 B' L' R'
L' R U' D2 B' R' L'
L' R U' B' L' R' D
L' R U' B' L' R' D'
L' R U' B' L' R' D2
L' R U' B' L' D R'
L' R U' B' L' D' R'
L' R U' B' L' D2 R'
L' R U' B' R' L' D
L' R U' B' R' L' D'
L' R U' B' R' L' D2
L' R U' B' R' D L'
L' R U' B' R' D' L'
L' R U' B' R' D2 L'
L' R U' B' D L' R'
L' R U' B' D R' L'
L' R U' B' D' L' R'
L' R U' B' D' R' L'
L' R U' B' D2 L' R'
L' R U' B' D2 R' L'
L' R U' B2 L' B R'
L' R D U' B' L' R'
L' R D U' B' R' L'
L' R D' U' B' L' R'
L' R D' U' B' R' L'
L' R D2 U' B' L' R'
L' R D2 U' B' R' L'
U L F' L2 U' L' B'
R L' U' R B' L' R'
R L' U' R B' R' L'
R L' U' R' B' L' R'
R L' U' R' B' R' L'
R L' U' R2 B' L' R'
R L' U' R2 B' R' L'
R L' U' D B' L' R'
R L' U' D B' R' L'
D' L B2 L2 F' U' B'
R L' U' D' B' L' R'
R L' U' D' B' R' L'
R L' U' D2 B' L' R'
R L' U' D2 B' R' L'
R2 L' U' B' L' D' R2
R2 L' U' B' D' L' R2
R2 L' U' B' D' R2 L'
R L' U' B' L' R' D
R L' U' B' L' R' D'
R L' U' B' L' R' D2
R L' U' B' L' D R'
R L' U' B' L' D' R'
R L' U' B' L' D2 R'
R L' U' B' R' L' D
R L' U' B' R' L' D'
R L' U' B' R' L' D2
R L' U' B' R' D L'
R L' U' B' R' D' L'
R L' U' B' R' D2 L'
R L' U' B' D L' R'
R L' U' B' D R' L'
R L' U' B' D' L' R'
R L' U' B' D' R' L'
R L' U' B' D2 L' R'
R L' U' B' D2 R' L'
R L' U' B2 L' B R'
F2 L' R U B' L' R'
F2 L' R U B' R' L'
B' L' R U' B' L' R'
B' L' R U' B' R' L'
B2 L' R U' B' L' R'
B2 L' R U' B' R' L'
R2 L' U2 B U L' B2
R2 L' U2 B U B2 L'
B L' R U' B' L' R'
B L' R U' B' R' L'
U L' R U' L' B' R'
R L' D U' B' L' R'
R L' D U' B' R' L'
R L' D' U' B' L' R'
R L' D' U' B' R' L'
R L' D2 U' B' L' R'
R L' D2 U' B' R' L'
F' L' U' D' B' L' F
F' L' U' B' D' L' F
D' L' D F' U' B' L2
D2 L' D F' B2 U' B
D2 L' D B2 F' U' B
F' L' D' U' B' L' F
R2 L' B U' L' B2 R'
D L' D' F' U' B' L2
D2 L' D2 F' U' B' L2
D L' D2 F' B2 U' B
D L' D2 B2 F' U' B
D' L' F' R B2 U' B
D' L' F' R' B2 U' B
D' L' F' R2 B2 U' B
D2 L' F' U R2 U2 B'
D' L' F' U' D B' L2
D2 L' F' U' D2 B' L2
D2 L' F' U' B' D2 L2
B' L' F' U' D2 B' L
D' L' F' D U' B' L2
D2 L' F' D B2 U' B
D L' F' R2 B U' B2
B2 L' F' U' D2 B' L
D2 L' F' D2 U' B' L2
B L' F' U' D2 B' L
B' L' F' D2 U' B' L
D L' F' U2 F' U B'
D' L' F' B2 U' D B
D' L' F' B2 U' D' B
D' L' F' B2 U' D2 B
D' L' F' B2 U' B D
D' L' F' B2 U' B D'
D' L' F' B2 U' B D2
D' L' F' B2 D U' B
D' L' F' B2 D' U' B
D' L' F' B2 D2 U' B
B2 L' F' D2 U' B' L
B L' F' D2 U' B' L
L' R2 U' B' L' D' R2
L' R2 U' B' D' L' R2
L' R2 U' B' D' R2 L'
L' R2 U2 B U L' B2
L' R2 U2 B U B2 L'
D' L' B2 D F' U' B
D' L' B2 D' F' U' B
D' L' B2 D2 F' U' B
D' L' B2 F' U' D B
D' L' B2 F' U' D' B
D' L' B2 F' U' D2 B
D' L' B2 F' U' B D
D' L' B2 F' U' B D'
D' L' B2 F' U' B D2
D' L' B2 F' D U' B
D' L' B2 F' D' U' B
D' L' B2 F' D2 U' B
B' L2 U L F' U' B'
B2 L2 U L F' U' B'
B L2 U L F' U' B'
B' L2 U F' L U' B'
B2 L2 U F' L U' B'
B L2 U F' L U' B'
L' R2 B U' L' B2 R'
L2 U L R U' B' R'
L2 U L D F' U' B'
L2 U L D' F' U' B'
L2 U L D2 F' U' B'
L2 U L F' R U' B'
L2 U L F' R' U' B'
L2 U L F' R2 U' B'
L2 U L F' U' D B'
L2 U L F' U' D' B'
L2 U L F' U' D2 B'
L2 U L F' U' B' D
L2 U L F' U' B' D'
L2 U L F' U' B' D2
L2 U L F' D U' B'
L2 U L F' D' U' B'
L2 U L F' D2 U' B'
B' L2 F' L U' B' L'
D' L2 F' L B2 U' B
B2 L2 F' L U' B' L'
B L2 F' L U' B' L'
U L2 F' L U' L' B'
L2 U R L U' B' R'
L2 U D L F' R U'
L2 U D F' L R U'
L2 U D F' R L U'
B' R L' U' B' L' R'
B' R L' U' B' R' L'
F2 R L' U B' L' R'
F2 R L' U B' R' L'
B2 R L' U' B' L' R'
B2 R L' U' B' R' L'
L2 U F L F2 U' B'
B R L' U' B' L' R'
B R L' U' B' R' L'
U R L' U' L' B' R'
L2 U F' L R U' B'
L2 U F' L R' U' B'
L2 U F' L R2 U' B'
L2 U F' L U' D B'
L2 U F' L U' D' B'
L2 U F' L U' D2 B'
L2 U F' L U' B' D
L2 U F' L U' B' D'
L2 U F' L U' B' D2
L2 U F' L D U' B'
L2 U F' L D' U' B'
L2 U F' L D2 U' B'
L2 U F' R L U' B'
L2 U F' R' L U' B'
L2 U F' R2 L U' B'
L' U' R2 B' L' D' R2
L' U' R2 B' D' L' R2
L' U' R2 B' D' R2 L'
D' R B2 L' U' B' R'
L' U' F' U' F B' L'
L' U' F' U' B' F L'
L' U' B' L' U F' U'
L' D R U' B' L' R'
L' D R U' B' R' L'
L2 D U L F' R U'
L2 D U F' L R U'
L2 D U F' R L U'
L' D F' U' D2 B' L
L2 D F' L R U' L'
L2 D F' R L U' L'
L' D F' D2 U' B' L
L' D' R U' B' L' R'
L' D' R U' B' R' L'
L' D' F' U' D2 B' L
L' D' F' D2 U' B' L
R D' B2 L' U' B' R'
L' D2 R U' B' L' R'
L' D2 R U' B' R' L'
L' D2 F' U' D2 B' L
L' D2 F' D2 U' B' L
F' U2 F' R U L2 B
F' U2 F' R U B L2
L2 F U L F2 U' B'
L2 F U F2 L U' B'
L F U' F2 L2 U' L'
L F U2 D L R2 F2
L F U2 D L F2 R2
L F U2 D R2 L F2
L F U2 D R2 F2 L
L F U2 D F2 L R2
L F U2 D F2 R2 L
L F D U2 L R2 F2
L F D U2 L F2 R2
L F D U2 R2 L F2
L F D U2 R2 F2 L
L F D U2 F2 L R2
L F D U2 F2 R2 L
L F D' L2 B2 U2 L'
L F D' B2 L2 R' U2
L F D' B2 R' L2 U2
L2 F' L R U' B' L'
L2 F' L R' U' B' L'
L2 F' L R2 U' B' L'
L2 F' L U' D B' L'
L2 F' L U' D' B' L'
L2 F' L U' D2 B' L'
L2 F' L U' B L' B2
L2 F' L U' B' L' D
L2 F' L U' B' L' D'
L2 F' L U' B' L' D2
L2 F' L U' B' D L'
L2 F' L U' B' D' L'
L2 F' L U' B' D2 L'
L2 F' L U' B2 L' B
L2 F' L D U' B' L'
L2 F' L D' U' B' L'
L2 F' L D2 U' B' L'
L2 F' L B U' L' B2
L2 F' L B U' B2 L'
L2 F' L B2 U' L' B
L2 F' L B2 U' B L'
L' F' R U' D2 B' L
L' F' R D2 U' B' L
L2 F' R L U' B' L'
L F' L2 U F2 R U2
L F' L2 U' L' D2 B2
L F' L2 U' D2 L' B2
L F' L2 U' D2 B2 L'
L F' L2 D R2 U' L'
L' F' R' U' D2 B' L
L F' L2 D2 U' L' B2
L F' L2 D2 U' B2 L'
L' F' R' D2 U' B' L
L2 F' R' L U' B' L'
L' F' R2 U' D2 B' L
L' F' R2 D2 U' B' L
L2 F' R2 L U' B' L'
L' F' U F U2 B' L'
L' F' U F' R U2 B'
L' F' U' D2 B' L D
L' F' U' D2 B' L D'
L' F' U' D2 B' L D2
L' F' U' D2 B' D L
L' F' U' D2 B' D' L
L' F' U' D2 B' D2 L
L' F' U' F B' L' F'
L' F' U' B' F L' F'
L' F' U2 F U B' L'
B' D' L' F' B2 U' B
B' D' L' B2 F' U' B
L' F' D R' B U' B2
B2 D' L' F' B2 U' B
F' D' L' B2 U' F B
F' D' L' B2 U' B F
B2 D' L' B2 F' U' B
D F' U2 F' R U B
B D' L' F' B2 U' B
B D' L' B2 F' U' B
L F' D R2 U' L F2
L F' D R2 U' F2 L
L' F' D2 R U' B' L
L' F' D2 R' U' B' L
L' F' D2 R2 U' B' L
L' F' D2 U' B' L D
L' F' D2 U' B' L D'
L' F' D2 U' B' L D2
L' F' D2 U' B' D L
L' F' D2 U' B' D' L
L' F' D2 U' B' D2 L
L' F' D2 B U' B2 L
D F2 L' R U B' R'
D F2 R L' U B' R'
B' D' B2 L' F' U' B'
F' D' B2 L' U' F B'
F' D' B2 L' U' B' F
B2 D' B2 L' F' U' B'
L2 F2 U F L U' B'
B D' B2 L' F' U' B'
D' B L' F' B U' B2
D' B L' B F' U' B2
R B L' U' B' L' R'
R B L' U' B' R' L'
L B L2 F' U' B' L
L' B' L' U L F' U'
L' B' L' U F' L U'
R B' L' U' B' L' R'
R B' L' U' B' R' L'
D' B2 L' R U' B' R'
D' B2 L' D F' U' B'
D' B2 L' D' F' U' B'
D' B2 L' D2 F' U' B'
D' B2 L' F' R U' B'
D' B2 L' F' R' U' B'
D' B2 L' F' R2 U' B'
D' B2 L' F' U' D B'
D' B2 L' F' U' D' B'
D' B2 L' F' U' D2 B'
D' B2 L' F' U' B' D
D' B2 L' F' U' B' D'
D' B2 L' F' U' B' D2
D' B2 L' F' D U' B'
D' B2 L' F' D' U' B'
D' B2 L' F' D2 U' B'
D' B2 L2 F' L U' B'
D' B2 R L' U' B' R'
R B2 L' U' B' L' R'
R B2 L' U' B' R' L'
D' B2 D L' F' U' B'
D' B2 D' L' F' U' B'
D' B2 D2 L' F' U' B'
