B' U F' L D' B2
U2 L' B' D L F' R
U2 L' B' D F' L R
U2 L' B' D F' R L
F' R U' B' U L B2
R U B' U L F B2
R U B' U L B2 F
B2 R D B L R' F'
B2 R D B R' L F'
B2 R D B R' F' L
F' R B U' B2 U L
F' R B' L B2 D' R2
F2 R B' U F L B2
F R B' U L F2 B2
F R B' U L B2 F2
F R B' U F2 L B2
R U' B' R' U L B2
B' U L F' U' L' U
B' U D F' L D' B2
B' U D' F' L D' B2
B' U D2 F' L D' B2
B' U F' L U' L2 U
B' U F' L D' B2 D
B' U F' L D' B2 D'
B' U F' L D' B2 D2
B' U F' L B D' B2
B' U F' L B' D' B2
B' U F' L B2 D' B2
B' U F' U' L' U L2
B' U F' D L D' B2
B' U F' D' L D' B2
B' U F' D2 L D' B2
B' U F2 D' F L B'
B2 U B U F' L' B'
F' U' B L B2 U L
B2 U' B L F U F2
F' U' B' U2 R' U' L
B' U2 L' U' F' B' L2
B' U2 L' U' B' L2 F'
B' U2 L' U' B' F' L2
B2 U2 F' L' B' D' R2
B' D U F' L D' B2
U F' U' B' L' U L2
B' D' U F' L D' B2
B' D2 U F' L D' B2
U' B L B2 U L F'
U' B L B2 U F' L
R2 B R' U B2 U B'
R2 B R' U2 D' B R2
R2 B R' D L2 U2 B
R2 B R' D' U2 B R2
B' F R U L F2 B
B' F R U L B F2
B' F R U F2 L B
B' F U F2 D' L B'
L2 B' L D F' R B
U2 B' L' U F' B' L2
U2 B' L' U B' L2 F'
U2 B' L' U B' F' L2
U B' L2 U L' F' B'
U B' L2 U L' B' F'
R B' R' U L F' B2
R B' R' U L B2 F'
R B' R' U F' L B2
R2 B' U D2 L F2 B'
R2 B' U D2 L B' F2
R2 B' U D2 F2 L B'
U B' U L F' D2 B2
U B' U L' F' B' L2
U B' U L' B' L2 F'
U B' U L' B' F' L2
F2 B' R U F L B
U B' U F' L' B' L2
B2 F' R D B L R'
B2 F' R D B R' L
L' B' D L F' R B
R2 B' U' B2 R' U2 B
L' B' D F' L R B
L' B' D F' R L B
F B' R U L F2 B
F B' R U L B F2
F B' R U F2 L B
R2 B' D2 U L F2 B'
R2 B' D2 U L B' F2
R2 B' D2 U F2 L B'
B2 F' U' B L F U
F B' U F2 D' L B'
B' F2 R U F L B
F' B2 R D B L R'
F' B2 R D B R' L
L' B2 D F' R B L
F' B2 U' B L F U
