B2 R' F2 U' F L2
F2 U2 L U F L
F2 D' B2 R' U' F'
B2 F2 R' U' L2 F'
B2 F2 R' U' F' L2
F2 B2 R' U' L2 F'
F2 B2 R' U' F' L2
R' L U L D F' R2
L R U L D R2 F'
R L U L D R2 F'
R' L U D L F' R2
R' L U D F' L R2
R' L U D F' R2 L
L R U D L R2 F'
L R U D R2 L F'
L R U D R2 F' L
R L U D L R2 F'
R L U D R2 L F'
R L U D R2 F' L
B2 L R' F2 U' F L
D L R' F2 U R' F
D L R' F2 U F R'
D2 L R' B2 U L F'
D2 L R' B2 U F' L
R' L U2 F2 U' F L
U L U L D R2 F
U L U L D F R2
U2 L U D R2 F L
U2 L U D F L R2
U2 L U D F R2 L
U L U D L R2 F
U L U D L F R2
U L U D R2 L F
R' L D U L F' R2
R' L D U F' L R2
R' L D U F' R2 L
L R D U L R2 F'
L R D U R2 L F'
L R D U R2 F' L
R L D U L R2 F'
R L D U R2 L F'
R L D U R2 F' L
U2 L U2 F2 U' L F'
U2 L U2 F2 U' F' L
U L U2 F2 U' L F
U2 L D U R2 F L
U2 L D U F L R2
U2 L D U F R2 L
U L D U L R2 F
U L D U L F R2
U L D U R2 L F
D L F2 R' U F' R'
B2 L F2 R' U' L F'
B2 L F2 R' U' F' L
L R' U L D F' R2
L R' U D L F' R2
L R' U D F' L R2
L R' U D F' R2 L
L2 R' U F2 R U' F
L R' U2 F2 U' F L
R' L' D L' F' R2 B
L' R' D L' F' R2 B
L R' D U L F' R2
L R' D U F' L R2
L R' D U F' R2 L
L2 R' F' U F' R U'
R' L2 U F2 R U' F
L2 R2 U F2 R U' F'
R2 L2 U F2 R U' F'
B2 L2 R D R2 F' B2
B2 L2 R D R2 B2 F'
R' L2 F' U F' R U'
F L2 U' B' L' R' U
F L2 U' B' R' L' U
B2 R L2 D R2 F' B2
B2 R L2 D R2 B2 F'
L2 U F' L' F' R U'
L2 U F2 D R U' F'
B2 R F2 R2 U' L2 F'
B2 R F2 R2 U' F' L2
F2 R B2 R' U' L2 F
D2 R' L B2 U L F'
D2 R' L B2 U F' L
B2 R' L F2 U' F L
D R' L F2 U R' F
D R' L F2 U F R'
B2 R' U' L2 D F' R2
F2 R' U2 L U L F'
F2 R' U2 L U F' L
L U2 L' F2 U' L2 F
B2 R' F2 U' F L2 D
B2 R' F2 U' F L2 D'
B2 R' F2 U' F L2 D2
B2 R' F2 U' F' L2 F2
B2 R' F2 U' F2 L2 F'
B2 R' F2 D' B2 U' F
B2 R' F2 B U' F L2
B2 R' F2 B' U' F L2
B2 R' F2 B2 U' F L2
B2 R' B F2 U' F L2
B2 R' B' F2 U' F L2
B2 R' B2 F2 U' F L2
L U2 F2 L' U' L2 F
L U2 F2 L2 U' L' F
R' D L F2 U R2 F
R' D L F2 U F R2
R D L F2 U R2 F'
L2 D R' F' D R' B
L D R' U L F' R'
L D R' U F' L R'
L D R' U F' R' L
L' D R2 D2 L' F B2
L' D R2 D2 L' B2 F
L' D R2 D2 B2 L' F
U2 D L F2 U F' R2
L' D F2 R B U2 R
R D F2 L U R2 F'
L' D' L B2 L2 R' F'
L' D' L B2 R' L2 F'
L' D' L B2 R' F' L2
U2 D F2 L U R2 F
U2 D F2 L U F R2
L' D' L2 U2 L F B2
L' D' L2 U2 L B2 F
D U2 L F2 U F' R2
F2 U2 L R U F L
F2 U2 L R' U F L
F2 U2 L R2 U F L
F2 U2 L U D F L
F2 U2 L U D' F L
F2 U2 L U D2 F L
F2 U2 L U F L D
F2 U2 L U F L D'
F2 U2 L U F L D2
F2 U2 L U F D L
F2 U2 L U F D' L
F2 U2 L U F D2 L
F2 U2 L U F' L F2
F2 U2 L U F2 L F'
F2 U2 L D U F L
F2 U2 L D' U F L
F2 U2 L D2 U F L
F2 U2 L F' U L F2
F2 U2 L F' U F2 L
F2 U2 L F2 U L F'
F2 U2 L F2 U F' L
F2 U2 R L U F L
D U2 F2 L U R2 F
D U2 F2 L U F R2
F2 U2 R' L U F L
F2 U2 R2 L U F L
F2 U2 D L F2 U F'
F2 U2 D F2 L U F
F2 U2 F L U F L
F2 U2 F' L U F L
F2 U2 F2 L U F L
F2 D U2 L F2 U F'
F2 D U2 F2 L U F
L2 F' U F' L' R U'
L2 F' U F' R L' U'
D F2 L R' U F' R'
F' D' F' B2 R' U' F'
F D' F B2 R' U' F'
D F2 R' L U F' R'
F2 D' B2 L R' U' F'
F2 D' B2 L' R' U' F'
F2 D' B2 L2 R' U' F'
F2 D' B2 R' L U' F'
F2 D' B2 R' L' U' F'
F2 D' B2 R' L2 U' F'
F2 D' B2 R' U' D F'
F2 D' B2 R' U' D' F'
F2 D' B2 R' U' D2 F'
F2 D' B2 R' U' F' D
F2 D' B2 R' U' F' D'
F2 D' B2 R' U' F' D2
F2 D' B2 R' D U' F'
F2 D' B2 R' D' U' F'
F2 D' B2 R' D2 U' F'
F' D' B2 F' R' U' F'
F2 D' B2 D R' U' F'
U' F2 U2 L U L F
F2 D' B2 D' R' U' F'
F2 D' B2 D2 R' U' F'
F D' B2 R' F U' F2
F D' B2 F R' U' F'
R' F2 D' B2 R' U' F
R' F2 B2 R' U' F L2
R F2 B2 R' U' L2 F
B2 F R' F U' L2 F2
B2 F R' F U' F2 L2
B2 F2 L R' U' L F'
B2 F2 L R' U' F' L
F2 B2 L R' U' L F'
F2 B2 L R' U' F' L
B2 F2 L' R' U' L' F'
F2 B2 L' R' U' L' F'
D' B2 R' U L2 U2 F'
D' B2 R' U' D2 F' R2
D' B2 R' U' F' D2 R2
D' B2 R' D F2 U' F
D' B2 R' D2 U' F' R2
B2 F2 R' L U' L F'
B2 F2 R' L U' F' L
B2 F2 R' L' U' L' F'
F2 B2 R' L U' L F'
F2 B2 R' L U' F' L
F2 B2 R' L' U' L' F'
B2 F2 R' U' L F' L
B2 F2 R' U' L2 D F'
B2 F2 R' U' L2 D' F'
B2 F2 R' U' L2 D2 F'
B2 F2 R' U' L2 F' D
B2 F2 R' U' L2 F' D'
B2 F2 R' U' L2 F' D2
B2 F2 R' U' F L2 F2
B2 F2 R' U' F' L2 D
B2 F2 R' U' F' L2 D'
B2 F2 R' U' F' L2 D2
F2 B2 R' U' L F' L
F2 B2 R' U' L2 D F'
F2 B2 R' U' L2 D' F'
F2 B2 R' U' L2 D2 F'
F2 B2 R' U' L2 F' D
F2 B2 R' U' L2 F' D'
F2 B2 R' U' L2 F' D2
F2 B2 R' U' F L2 F2
F2 B2 R' U' F' L2 D
F2 B2 R' U' F' L2 D'
F2 B2 R' U' F' L2 D2
B2 F2 R' D' B2 U' F'
R B2 R' F2 U' L2 F
F2 B2 R' D' B2 U' F'
B2 F2 R' B U' L2 F'
B2 F2 R' B U' F' L2
B2 F2 R' B' U' L2 F'
B2 F2 R' B' U' F' L2
B2 F2 R' B2 U' L2 F'
B2 F2 R' B2 U' F' L2
F2 B2 R' B U' L2 F'
F2 B2 R' B U' F' L2
F2 B2 R' B' U' L2 F'
F2 B2 R' B' U' F' L2
F2 B2 R' B2 U' L2 F'
F2 B2 R' B2 U' F' L2
F B2 R' F U' L2 F2
F B2 R' F U' F2 L2
D' B2 D R' F2 U' F
D' B2 D F2 R' U' F'
D' B2 D2 R' U' F' R'
B2 F2 D' R' B2 U' F'
F2 B2 D' R' B2 U' F'
R' B2 F2 R' U' F L2
R B2 F2 R' U' L2 F
