B2 L U2 F L' U'
U2 R' F L' F2 U'
U2 R' F' U2 R U
L U2 R' F L' U'
L U2 F L' R' U'
L U2 F R' L' U'
U2 F L' R' F' U'
U2 F R' L' F' U'
U2 F2 R' F' L' U'
B2 L R U2 F L' U'
B2 L R' U2 F L' U'
U2 L R' F L' F2 U'
U2 L R' F' U2 R U
B2 L R2 U2 F L' U'
R2 L U2 R F L' U'
L R U2 R2 F L' U'
R L U2 R2 F L' U'
L R U2 F L' R2 U'
L R U2 F R2 L' U'
R L U2 F L' R2 U'
R L U2 F R2 L' U'
B2 L U2 F L' U' D
B2 L U2 F L' U' D'
B2 L U2 F L' U' D2
B2 L U2 F L' D U'
B2 L U2 F L' D' U'
B2 L U2 F L' D2 U'
B2 L U2 F D L' U'
B2 L U2 F D' L' U'
B2 L U2 F D2 L' U'
B L U2 F L' R U'
B L U2 F R L' U'
R' L F L' U2 F' U
L R F L' R2 B U'
R L F L' R2 B U'
L R F R2 L' B U'
L R F R2 B L' U'
R L F R2 L' B U'
R L F R2 B L' U'
U2 L F L' R' F' U'
U2 L F R' L' F' U'
U2 L F2 R' F' L' U'
B2 L B U2 F L' U'
B2 L B' U2 F L' U'
B2 L B2 U2 F L' U'
U2 L' R' F L' F2 U'
U2 L' R' F' U2 R U
L R' F L' U2 F' U
U2 L' F L' R' F' U'
U2 L' F R' L' F' U'
U2 L' F2 R' F' L' U'
L R2 U2 R F L' U'
U2 L2 R' F L' F2 U'
U2 L2 R' F' U2 R U
U2 L2 F L' R' F' U'
U2 L2 F R' L' F' U'
U2 L2 F2 R' F' L' U'
L U R' F L' U' L
D2 L2 B2 L B' R' U
D' L2 B2 L B' U F
B2 R L U2 F L' U'
L U F L' R' U' L
L U F R' L' U' L
U2 R F L' R2 F' U'
U2 R F R2 L' F' U'
U2 R F2 R2 F' L' U'
B2 R' L U2 F L' U'
U2 R' L F L' F2 U'
U2 R' L F' U2 R U
U2 R' L' F L' F2 U'
U2 R' L' F' U2 R U
U2 R' L2 F L' F2 U'
U2 R' L2 F' U2 R U
D R' U B L U2 L'
D R' U' B U2 B' R'
U2 R' D' L' F' U' F2
U2 R' D' F' L' U' F
L2 U2 L' R' F L' U'
U2 R' F L F2 L2 U'
L2 U2 L' F L' R' U'
U2 R' F L' U' D R2
L2 U2 L' F R' L' U'
U2 R' F L' D U' R2
U2 R' F L' F2 U' D
U2 R' F L' F2 U' D'
