B2 L U B' U L B'
B' R' D F B' L' U2
B' R' D B' F L' U2
B' R' D' F B' L U2
B' R' D' B' F L U2
B' R' F D' B' L U2
B' R' B' D F L' U2
B2 U L B' U L B'
B2 U L2 U B' L R'
B2 U L2 U B' R' L
D F L' U' L' B' U'
B' D R' F B' L' U2
B' D R' B' F L' U2
B' D F R' B' L' U2
B2 D F L' U F U
B D F L' B U2 L2
B' D' R' F B' L U2
B' D' R' B' F L U2
B' D' F R' B' L U2
D2 F2 D R2 B L R'
D2 F2 D R2 B R' L
L B L D' R2 F' B'
L B L D' R2 B' F'
B2 F L U B' U L
B' F R' D' B' L U2
B' F D' R' B' L U2
F B' R' D' B' L U2
F B' D' R' B' L U2
F B2 L U B' U L
U2 B2 D F L' R U2
U2 B2 D F R L' U2
