F2 R' F B2 U' F'
F R' F2 B2 U' F'
F2 R' B2 F U' F'
F R' B2 F2 U' F'
F2 U R' F B2 U'
F2 U R' B2 F U'
F2 U F R' B2 U'
B2 F' U2 L U F'
F' B2 U2 L U F'
F' L B2 U2 L U F'
B2 L' D' L2 F' U' B2
B2 L' D' F' L2 U' B2
B2 L' F' U' D' F' B2
B2 L' F' U' D' B2 F'
B2 L' F' U' F' D' B2
B2 L' F' U2 L2 U F'
B2 L' F' D' U' F' B2
B2 L' F' D' U' B2 F'
F' L' B2 U2 L U F'
D' L2 D F' R' B2 U'
D' L2 D2 F' R' U' L2
D' L2 F' R' U R' U2
D' L2 F' R' B2 U' L
D' L2 F' D R' B2 U'
D' L2 F' D2 R' U' L2
B2 L2 F2 R F U' F'
F' L2 B2 U2 L U F'
F2 R U R2 F B2 U'
F2 R U R2 B2 F U'
F2 R U F R2 B2 U'
F2 R U F B2 R2 U'
F2 R U B2 R2 F U'
F2 R U B2 F R2 U'
F R D L2 B2 R2 F'
F R D R2 F L2 B2
F R D R2 F B2 L2
F R D R2 B2 F L2
F R D F L2 R2 B2
F R D F L2 B2 R2
F R D F R2 L2 B2
F R D F R2 B2 L2
F R D F B2 L2 R2
F R D F B2 R2 L2
F R D B2 R2 F L2
F R D B2 F L2 R2
F R D B2 F R2 L2
F2 R B2 R2 F U' F'
F R B2 R2 F2 U' F'
F R' U' D R2 F L2
F R' U' D F L2 R2
F R' U' D F R2 L2
D R' U2 R' B U L2
F' R' D B' L U' L
F2 R' D F U' L2 F'
F2 R' D F U' F' L2
F R' D U' R2 F L2
F R' D U' F L2 R2
F R' D U' F R2 L2
F2 R' F L B2 U' F'
F2 R' F L' B2 U' F'
F2 R' F L2 B2 U' F'
F2 R' F U' D L2 F'
F2 R' F U' D F' L2
F2 R' F U' F' D L2
F2 R' F D U' L2 F'
F2 R' F D U' F' L2
F2 R' F B2 L U' F'
F2 R' F B2 L' U' F'
F2 R' F B2 L2 U' F'
F2 R' F B2 U' D F'
F2 R' F B2 U' D' F'
F2 R' F B2 U' D2 F'
F2 R' F B2 U' F' D
F2 R' F B2 U' F' D'
F2 R' F B2 U' F' D2
F2 R' F B2 D U' F'
F2 R' F B2 D' U' F'
F2 R' F B2 D2 U' F'
F R' F2 L B2 U' F'
F R' F2 L' B2 U' F'
F R' F2 L2 B2 U' F'
F R' F2 U' D L2 F'
F R' F2 U' D F' L2
F R' F2 U' F' D L2
F R' F2 D U' L2 F'
F R' F2 D U' F' L2
F R' F2 B2 L U' F'
F R' F2 B2 L' U' F'
F R' F2 B2 L2 U' F'
F R' F2 B2 U' D F'
F R' F2 B2 U' D' F'
F R' F2 B2 U' D2 F'
F R' F2 B2 U' F' D
F R' F2 B2 U' F' D'
F R' F2 B2 U' F' D2
F R' F2 B2 D U' F'
F R' F2 B2 D' U' F'
F R' F2 B2 D2 U' F'
F' R' B' D B' L U'
F' R' B2 U' R F' R'
F' R' B2 U2 R U F'
F' R' B2 D2 L' U' F
F2 R' B2 D F U' F'
F2 R' B2 D' F U' F'
F2 R' B2 D2 F U' F'
F2 R' B2 F L U' F'
F2 R' B2 F L' U' F'
F2 R' B2 F L2 U' F'
F2 R' B2 F U' D F'
F2 R' B2 F U' D' F'
F2 R' B2 F U' D2 F'
F2 R' B2 F U' F' D
F2 R' B2 F U' F' D'
F2 R' B2 F U' F' D2
F2 R' B2 F D U' F'
F2 R' B2 F D' U' F'
F2 R' B2 F D2 U' F'
F R' B2 U' D R2 F
F R' B2 U' D F R2
F R' B2 D U' R2 F
F R' B2 D U' F R2
F R' B2 F2 L U' F'
F R' B2 F2 L' U' F'
F R' B2 F2 L2 U' F'
F R' B2 F2 U' D F'
F R' B2 F2 U' D' F'
F R' B2 F2 U' D2 F'
F R' B2 F2 U' F' D
F R' B2 F2 U' F' D'
F R' B2 F2 U' F' D2
F R' B2 F2 D U' F'
F R' B2 F2 D' U' F'
F R' B2 F2 D2 U' F'
F2 R2 U R F B2 U'
F2 R2 U R B2 F U'
F2 R2 U B2 R F U'
B2 R2 U2 L B U F2
D R2 D F2 L' B U
D R2 D F2 B L' U
D R2 D B F2 L' U
B R2 F' B L U F'
D R2 F2 L' B U L'
D R2 F2 B L' U L'
B R2 B L F' U F'
D R2 B U2 R U' L2
D R2 B D F2 L' U
B R2 B F' L U F'
D R2 B F2 L' U L'
F' R2 B2 L2 R U' F
F' R2 B2 R L2 U' F
F' R2 B2 R U B' U2
F2 R2 B2 R F U' F'
F R2 B2 R F2 U' F'
F2 U R F R2 B2 U'
F2 U R F B2 R2 U'
F2 U R B2 R2 F U'
F2 U R B2 F R2 U'
F2 U R' D F U' L2
F2 U R' F U' D L2
F2 U R' F D U' L2
F2 U R' F B2 U' D
F2 U R' F B2 U' D'
F2 U R' F B2 U' D2
F2 U R' F B2 D U'
F2 U R' F B2 D' U'
F2 U R' F B2 D2 U'
F2 U R' B2 D F U'
F2 U R' B2 D' F U'
F2 U R' B2 D2 F U'
F2 U R' B2 F U' D
F2 U R' B2 F U' D'
F2 U R' B2 F U' D2
F2 U R' B2 F D U'
F2 U R' B2 F D' U'
F2 U R' B2 F D2 U'
F U R' F2 B2 U' F'
F U R' B2 F2 U' F'
F2 U R2 B2 R F U'
F2 U D R' F U' L2
F2 U D F R' U' L2
F2 U F R B2 R2 U'
F2 U F R' U' D L2
F2 U F R' D U' L2
F2 U F R' B2 U' D
F2 U F R' B2 U' D'
F2 U F R' B2 U' D2
F2 U F R' B2 D U'
F2 U F R' B2 D' U'
F2 U F R' B2 D2 U'
F2 U F R2 B2 R U'
F2 U F D R' U' L2
F2 U F B2 U2 L U
F2 U F' R' F2 B2 U'
F2 U F' R' B2 F2 U'
F2 U B2 F U2 L U
F' U' R' B2 U' R F'
F U' R' F2 B2 U' F'
F U' R' B2 F2 U' F'
F' U' F' U R' B2 U'
B2 U2 L R2 B U F2
B2 U2 L U2 F' U' F'
B2 U2 L D R2 B U
B2 U2 R2 L B U F2
B2 U2 D L R2 B U
F U2 R' F2 B2 U' F'
