L2 R U' R2 F L2
L2 R U' F L2 R2
L2 R U' F R2 L2
L2 R' F L2 D B2
R L2 U' R2 F L2
R L2 U' F L2 R2
R L2 U' F R2 L2
R' L2 F L2 D B2
U L2 R U' R2 F
U L2 R U' F R2
R' U L2 R2 U' F
R' U R2 L2 U' F
R' U R2 U B' U2
U R L2 U' R2 F
U R L2 U' F R2
U R U B' U2 R2
R' U' D2 L2 U F
B2 R' D B2 R' F'
R' U2 D B' U2 B'
R' U2 D' F2 B' U2
R' U2 D' B' F2 U2
R' U2 B' U' R2 U'
R' U2 B' U2 D B2
R' U2 B' D U2 B2
R' U2 B' D' F2 U2
R' D L2 F L2 B2
R' D L2 F B2 L2
R' D L2 B2 F L2
R' D R2 B2 R2 F'
R' D U2 B' U2 B'
R' D B D2 F2 B
R' D B D2 B F2
R' D B2 R2 F' R2
R' D B2 U2 B U2
R' D' L2 F L2 B'
R' D' U2 F2 B' U2
R' D' U2 B' F2 U2
R' D' B D2 F2 B2
R' D' B D2 B2 F2
R' D2 U' L2 U F
L2 F L2 D R' B
F D R' B D2 F2
R' B D B2 D F2
R' B D2 F2 D' B2
R' B' D B2 D2 F2
R' B2 U R2 U' F'
R B2 R2 D F' B2
R B2 R2 D B2 F'
R B2 R2 F' D B2
L2 R U F L2 R2 B
L2 R U F R2 L2 B
L2 R U F R2 B L2
L' R U' L' R2 F L2
L' R U' L' F L2 R2
L' R U' L' F R2 L2
L' R U' R2 L' F L2
L2 R U' R' F L2 R'
L2 R U' R' F R' L2
L2 R U' R2 F L2 D
L2 R U' R2 F L2 D'
L2 R U' R2 F L2 D2
L2 R U' R2 F' L2 F2
L2 R U' R2 F2 L2 F'
L2 R U' F L2 R2 D
L2 R U' F L2 R2 D'
L2 R U' F L2 R2 D2
L2 R U' F R2 L2 D
L2 R U' F R2 L2 D'
L2 R U' F R2 L2 D2
L2 R U' F' L2 R2 F2
L2 R U' F' L2 F2 R2
L2 R U' F' R2 L2 F2
L2 R U' F' R2 F2 L2
L2 R U' F2 L2 F' R2
R' L D L F L2 B2
R' L D L F B2 L2
R' L D L B2 F L2
R' L D B2 L F L2
R' L D' L F L2 B'
U' L U2 R U' R2 F'
U2 L U2 R' D F' B2
U2 L U2 R' D B2 F'
L2 R D' F2 B2 U' F'
U2 L U2 R' F' D B2
L2 R D' B2 F2 U' F'
L2 R F L2 R2 D B2
L2 R F R2 L2 D B2
L2 R F' U' L2 R2 F2
L2 R F' U' L2 F2 R2
L2 R F' U' R2 L2 F2
L2 R F' U' R2 F2 L2
L2 R F' U' F2 L2 R2
L2 R F' U' F2 R2 L2
L2 R F2 U' L2 F' R2
L2 R F2 U' F' L2 R2
L2 R F2 U' F' R2 L2
L2 R B U' R2 F L2
L2 R B U' F L2 R2
L2 R B U' F R2 L2
L2 R B' U' R2 F L2
L2 R B' U' F L2 R2
L2 R B' U' F R2 L2
L2 R B2 U' R2 F L2
L2 R B2 U' F L2 R2
L2 R B2 U' F R2 L2
B2 L B U' R U' L'
L2 R' U R2 U' F L2
R L' U' L' R2 F L2
R L' U' L' F L2 R2
R L' U' L' F R2 L2
R L' U' R2 L' F L2
L R' D L F L2 B2
L R' D L F B2 L2
L R' D L B2 F L2
L R' D B2 L F L2
L2 R' D B2 D' F L2
L R' D' L F L2 B'
L2 R' D' F D L2 B'
F2 L' U L' R' F L2
F2 L' U L' F L2 R'
F2 L' U L' F R' L2
F2 L' U R' L' F L2
L2 R' F L D L B2
L2 R' F L' D L' B2
L2 R' F L' D B2 L'
L2 R' F L2 U R2 U'
L2 R' F L2 D B2 D
L2 R' F L2 D B2 D'
L2 R' F L2 D B2 D2
L2 R' F L2 B D B2
L2 R' F L2 B' D B2
L2 R' F L2 B2 D B2
L2 R' F U R2 U' L2
L2 R' F D B2 D' L2
L2 R' F B L2 D B2
L2 R' F B' L2 D B2
L2 R' F B2 L2 D B2
L2 R' F' L2 F2 D B2
L2 R' F2 L2 D F' B2
L2 R' F2 L2 D B2 F'
L2 R' F2 L2 F' D B2
L2 R' B F L2 D B2
U L' D2 R U' F' R2
L2 R' B' F L2 D B2
L2 R' B2 F L2 D B2
R' L2 U R2 U' F L2
R L2 U F L2 R2 B
R L2 U F R2 L2 B
R L2 U F R2 B L2
R L2 U' R' F L2 R'
R L2 U' R' F R' L2
R L2 U' R2 F L2 D
R L2 U' R2 F L2 D'
R L2 U' R2 F L2 D2
R L2 U' R2 F' L2 F2
R L2 U' R2 F2 L2 F'
R L2 U' F L2 R2 D
R L2 U' F L2 R2 D'
R L2 U' F L2 R2 D2
R L2 U' F R2 L2 D
R L2 U' F R2 L2 D'
R L2 U' F R2 L2 D2
R L2 U' F' L2 R2 F2
R L2 U' F' L2 F2 R2
R L2 U' F' R2 L2 F2
R L2 U' F' R2 F2 L2
R L2 U' F2 L2 F' R2
R' L2 D B2 D' F L2
R' L2 D' F D L2 B'
D2 L2 R U' R2 F L2
D' L2 R U' R2 F L2
D2 L2 R U' F L2 R2
D2 L2 R U' F R2 L2
D' L2 R U' F L2 R2
D' L2 R U' F R2 L2
U' L2 R U F R2 B
R L2 D' F2 B2 U' F'
D L2 R U' R2 F L2
D L2 R U' F L2 R2
D L2 R U' F R2 L2
R L2 D' B2 F2 U' F'
U L2 R U' R' F R'
U L2 R U' R2 D F
U L2 R U' R2 D' F
U L2 R U' R2 D2 F
U L2 R U' R2 F D
U L2 R U' R2 F D'
U L2 R U' R2 F D2
U L2 R U' F R2 D
U L2 R U' F R2 D'
U L2 R U' F R2 D2
U L2 R U' F' R2 F2
R' L2 F L D L B2
U L2 R D' F2 U' F'
R' L2 F L' D L' B2
R' L2 F L' D B2 L'
R' L2 F L2 U R2 U'
R' L2 F L2 D B2 D
R' L2 F L2 D B2 D'
R' L2 F L2 D B2 D2
R' L2 F L2 B D B2
R' L2 F L2 B' D B2
R' L2 F L2 B2 D B2
U L2 R F' U' R2 F2
U L2 R F' U' F2 R2
U L2 R F2 U' F' R2
D2 L2 R' F L2 D B2
D' L2 R' F L2 D B2
R' L2 F U R2 U' L2
R' L2 F D B2 D' L2
D L2 R' F L2 D B2
R L2 F L2 R2 D B2
R' L2 F B L2 D B2
R' L2 F B' L2 D B2
R' L2 F B2 L2 D B2
R L2 F R2 L2 D B2
R' L2 F' L2 F2 D B2
U' L2 U R' D F B2
U' L2 U R' D B2 F
U' L2 U R' F D B2
R' L2 F2 L2 D F' B2
R' L2 F2 L2 D B2 F'
R' L2 F2 L2 F' D B2
R L2 F' U' L2 R2 F2
R L2 F' U' L2 F2 R2
R L2 F' U' R2 L2 F2
R L2 F' U' R2 F2 L2
R L2 F' U' F2 L2 R2
R L2 F' U' F2 R2 L2
U' L2 U F D R' B
U2 L2 U' R U' R2 F
U2 L2 U' R U' F R2
R L2 F2 U' L2 F' R2
R L2 F2 U' F' L2 R2
R L2 F2 U' F' R2 L2
U L2 U' R' D F B2
U L2 U' R' D B2 F
U L2 U' R' F D B2
R' L2 B F L2 D B2
U L2 U' F D R' B
U' L2 U2 R U' R2 F
U' L2 U2 R U' F R2
U2 L2 U2 R' D F B2
U2 L2 U2 R' D B2 F
U2 L2 U2 R' F D B2
R L2 B U' R2 F L2
R L2 B U' F L2 R2
R L2 B U' F R2 L2
U2 L2 U2 F D R' B
R' L2 B' F L2 D B2
R L2 B' U' R2 F L2
R L2 B' U' F L2 R2
R L2 B' U' F R2 L2
U L2 D R U' R2 F
