B L D R2 F L2
B L D F L2 R2
B L D F R2 L2
B' L F2 U' F' B2
B' L F2 U' B2 F'
B L' D L2 R2 F
B L' D L2 F R2
B L' D R2 L2 F
B D L R2 F L
B D L F L R2
B D L F R2 L
B D R2 L F L
L F2 U' F' L' B
L F2 U' F' B L'
L F2 U' B F' L'
F2 B' L U' F B2
F2 B' L U' B2 F
B' F2 L U' F B2
B' F2 L U' B2 F
B L R D R2 F L2
B L R D F L2 R2
B L R D F R2 L2
B' L R F2 U' F' B2
B' L R F2 U' B2 F'
B L R' D R2 F L2
B L R' D F L2 R2
B L R' D F R2 L2
B' L R' F2 U' F' B2
B' L R' F2 U' B2 F'
B L R2 D R2 F L2
B L R2 D F L2 R2
B L R2 D F R2 L2
B' L R2 F2 U' F' B2
B' L R2 F2 U' B2 F'
D L U F B L R2
D L U F B R2 L
B L U F2 B2 U' F'
D L U B R2 F L
D L U B F L R2
D L U B F R2 L
B L U B2 F2 U' F'
F2 L U' F' L' F2 B
F2 L U' F' L' B F2
F2 L U' F' B L' F2
F2 L U' B F' L' F2
B' L U' B2 D R2 F
B' L U' B2 D F R2
B L D R' F L2 R'
B L D R' F R' L2
B L D R2 F L2 D
B L D R2 F L2 D'
B L D R2 F L2 D2
B L D R2 F' L2 F2
B L D R2 F2 L2 F'
B L D F L2 R2 D
B L D F L2 R2 D'
B L D F L2 R2 D2
B L D F R2 L2 D
B L D F R2 L2 D'
B L D F R2 L2 D2
B L D F' L2 R2 F2
B L D F' L2 F2 R2
B L D F' R2 L2 F2
B L D F' R2 F2 L2
B L D F2 L2 F' R2
B L D' F D2 L2 R2
B L D' F D2 R2 L2
B L F U F B2 U'
B L F U B2 F U'
B' L F2 L U' F' B2
B' L F2 L U' B2 F'
B' L F2 L' U' F' B2
B' L F2 L' U' B2 F'
B' L F2 L2 U' F' B2
B' L F2 L2 U' B2 F'
B' L F2 U' F' B2 D
B' L F2 U' F' B2 D'
B' L F2 U' F' B2 D2
B' L F2 U' B2 D F'
B' L F2 U' B2 D' F'
B' L F2 U' B2 D2 F'
B' L F2 U' B2 F' D
B' L F2 U' B2 F' D'
B' L F2 U' B2 F' D2
B L F2 B2 U' F' B2
B L F2 B2 U' B2 F'
B' L B2 D R2 F L2
B' L B2 D F L2 R2
B' L B2 D F R2 L2
B L B2 F2 U' F' B2
B L B2 F2 U' B2 F'
B L' R D L2 R2 F
B L' R D L2 F R2
B L' R D R2 L2 F
B L' R' D L2 R2 F
B L' R' D L2 F R2
B L' R' D R2 L2 F
B L' R2 D L2 R2 F
B L' R2 D L2 F R2
B L' R2 D R2 L2 F
B' L' U' B2 D R2 F'
B L' D L2 R' F R'
B L' D L2 R2 D F
B L' D L2 R2 D' F
B L' D L2 R2 D2 F
B L' D L2 R2 F D
B L' D L2 R2 F D'
B L' D L2 R2 F D2
B L' D L2 F R2 D
B L' D L2 F R2 D'
B L' D L2 F R2 D2
B L' D L2 F' R2 F2
B L' D R' L2 F R'
B L' D R2 L2 D F
B L' D R2 L2 D' F
B L' D R2 L2 D2 F
B L' D R2 L2 F D
B L' D R2 L2 F D'
B L' D R2 L2 F D2
B L' D R2 F L2 F
B L' D R2 F' L2 F
B L' D R2 F2 L2 F
B L' D F L2 R2 F
B L' D F L2 F R2
B L' D F R2 L2 F
B L' D F' L2 R2 F
B L' D F' L2 F R2
B L' D F' R2 L2 F
B L' D F2 L2 R2 F
B L' D F2 L2 F R2
B L' D F2 R2 L2 F
B' L' F2 L2 U' F B2
B' L' F2 L2 U' B2 F
B' L' F2 U B' U2 B'
B' L' B2 D L2 R2 F'
B' L' B2 D R2 L2 F'
B' L' B2 D R2 F' L2
B' L2 F2 L' U' F B2
B' L2 F2 L' U' B2 F
L U D F B L R2
L U D F B R2 L
L U D B R2 F L
L U D B F L R2
L U D B F R2 L
B' R L F2 U' F' B2
B' R L F2 U' B2 F'
B R L D R2 F L2
B R L D F L2 R2
B R L D F R2 L2
B R L' D L2 R2 F
B R L' D L2 F R2
B R L' D R2 L2 F
L U B D R2 F L
L U B D F L R2
L U B D F R2 L
B R D L R2 F L
B R D L F L R2
B R D L F R2 L
B2 R D R2 B' L F
B R D R2 L F L
B2 R D B' L R2 F
B2 R D B' L F R2
B2 R D B' R2 L F
B' R F2 L U' F B2
B' R F2 L U' B2 F
B' R' L F2 U' F' B2
B' R' L F2 U' B2 F'
B R' L D R2 F L2
B R' L D F L2 R2
B R' L D F R2 L2
B R' L' D L2 R2 F
B R' L' D L2 F R2
B R' L' D R2 L2 F
B R' D L R2 F L
B R' D L F L R2
B R' D L F R2 L
B R' D R2 L F L
B' R' F2 L U' F B2
B' R' F2 L U' B2 F
B' R2 L F2 U' F' B2
B' R2 L F2 U' B2 F'
B R2 L D R2 F L2
B R2 L D F L2 R2
B R2 L D F R2 L2
B R2 L' D L2 R2 F
B R2 L' D L2 F R2
B R2 L' D R2 L2 F
L U2 F2 U' F' B L
L U2 F2 U' B L F'
L U2 F2 U' B F' L
B R2 D L R2 F L
B R2 D L F L R2
B R2 D L F R2 L
B R2 D R2 L F L
L' D L2 F L' B R2
L' D L2 F B L' R2
L' D L2 F B R2 L'
L' D L2 B R2 F L'
L' D L2 B F L' R2
L' D L2 B F R2 L'
B' R2 F2 L U' F B2
B' R2 F2 L U' B2 F
L D U F B L R2
L D U F B R2 L
L D U B R2 F L
L D U B F L R2
L D U B F R2 L
B2 U F2 B L U' B2
B2 U B L F2 U' B2
B U F2 B L B U'
B U B L F2 B U'
B U B L B F2 U'
B2 U B F2 L U' B2
B U B F2 L B U'
L' D' B D2 R2 F2 L'
L' D' B' L2 U2 L' B2
L' D' B' L2 U2 B2 L'
L' D' B' U2 L B2 R'
F' U' F' B' L' U' B2
F' U' B' F' L' U' B2
B D L R' F L R'
B D L R' F R' L
B D L R2 D F L
B D L R2 D' F L
B D L R2 D2 F L
B D L R2 F L D
B D L R2 F L D'
B D L R2 F L D2
B D L R2 F D L
B D L R2 F D' L
B D L R2 F D2 L
B D L R2 F' L F2
B D L R2 F2 L F'
B D L F L R2 D
B D L F L R2 D'
B D L F L R2 D2
B D L F R2 L D
B D L F R2 L D'
B D L F R2 L D2
B D L F R2 D L
B D L F R2 D' L
B D L F R2 D2 L
B D L F' L R2 F2
B D L F' L F2 R2
B D L F' R2 L F2
B D L F' R2 F2 L
B D L F2 L F' R2
B D L2 R D2 R F'
B D R L2 D2 R F'
B D R' L F L R'
B D R' L F R' L
B D R2 L D F L
B D R2 L D' F L
B D R2 L D2 F L
B D R2 L F L D
B D R2 L F L D'
B D R2 L F L D2
