D' L2 F R U'
L2 F R U' F
L2 R F R U' F
L2 R' F R U' F
D' L2 R F R U'
R' L2 F R U' F
L2 R2 F R U' F
D' L2 R' F R U'
R2 L2 F R U' F
R L2 F R U' F
D' L2 R2 F R U'
D' L2 D F R U'
D' L2 D' F R U'
D' L2 D2 F R U'
D' L2 F R U' D
D' L2 F R U' D'
D' L2 F R U' D2
D' L2 F R D U'
D' L2 F R D' U'
D' L2 F R D2 U'
D' L2 F D R U'
D' L2 F D' R U'
D' L2 F D2 R U'
D' R L2 F R U'
F R U2 B' U F
U' R F2 B D' R2
U' R B F2 D' R2
L U' F R F B
L U' F R B F
D' R' L2 F R U'
D' R2 L2 F R U'
B' R2 F' L' U F'
R' D' L2 F R U'
R2 D' L2 F R U'
R D' L2 F R U'
L2 D' F L2 R U'
L2 D' F R L2 U'
D' F L2 R F U'
D' F R L2 F U'
L2 F R U' D F
L2 F R U' D' F
L2 F R U' D2 F
L2 F R U' F D
L2 F R U' F D'
L2 F R U' F D2
L2 F R D U' F
L2 F R D' U' F
L2 F R D2 U' F
L F R U' F R
F' U2 B' L' U F'
L2 F D R U' F
L2 F D' R U' F
L2 F D2 R U' F
B' D R2 F' L' U
U' F2 R B D' R2
U2 B L B2 U F2
D B' R2 F' L' U
U2 B' U2 R' U' F2
R' L U' F R F B
R' L U' F R B F
R2 L U' F R F B
R2 L U' F R B F
L R U' F R F B
L R U' F R B F
R L U' F R F B
R L U' F R B F
B' L R2 F' L' U F'
L2 R D' F L2 R U'
L2 R D' F R L2 U'
D' L D L F R U'
B' L D R2 F' L' U
R' L F R U' F R
R2 L F R U' F R
L R F R U' F R
L2 R F R U' D F
L2 R F R U' D' F
L2 R F R U' D2 F
L2 R F R U' F D
L2 R F R U' F D'
L2 R F R U' F D2
L2 R F R D U' F
L2 R F R D' U' F
L2 R F R D2 U' F
R L F R U' F R
D' L D' L F R U'
L2 R F D R U' F
L2 R F D' R U' F
L2 R F D2 R U' F
D' L D2 L F R U'
D' L F L R F U'
D' L F R L F U'
F2 L F' R U' F R
L R' U' F R F B
L R' U' F R B F
L2 R' D' F L2 R U'
L2 R' D' F R L2 U'
B' L' R2 F' L' U F'
L2 R' F R U' D F
L2 R' F R U' D' F
L2 R' F R U' D2 F
L2 R' F R U' F D
L2 R' F R U' F D'
L2 R' F R U' F D2
L R' F R U' F R
L2 R' F R D U' F
L2 R' F R D' U' F
L2 R' F R D2 U' F
L2 R' F D R U' F
L2 R' F D' R U' F
L2 R' F D2 R U' F
B' L' D R2 F' L' U
L R2 U' F R F B
L R2 U' F R B F
U2 L' B L B' U F2
R' L2 D' F L2 R U'
R' L2 D' F R L2 U'
L2 R2 D' F L2 R U'
L2 R2 D' F R L2 U'
R2 L2 D' F L2 R U'
R2 L2 D' F R L2 U'
R L2 D' F L2 R U'
R L2 D' F R L2 U'
D' L2 R D F R U'
D' L2 R D' F R U'
D' L2 R D2 F R U'
D' L2 R F R U' D
D' L2 R F R U' D'
D' L2 R F R U' D2
D' L2 R F R D U'
D' L2 R F R D' U'
D' L2 R F R D2 U'
D' L2 R F D R U'
D' L2 R F D' R U'
D' L2 R F D2 R U'
F L2 R F L2 U' F
F L2 R F U B' U2
R' L2 F R U' D F
R' L2 F R U' D' F
R' L2 F R U' D2 F
R' L2 F R U' F D
R' L2 F R U' F D'
R' L2 F R U' F D2
R' L2 F R D U' F
R' L2 F R D' U' F
R' L2 F R D2 U' F
D' L2 R' D F R U'
D' L2 R' D' F R U'
D' L2 R' D2 F R U'
D' L2 R' F R U' D
D' L2 R' F R U' D'
D' L2 R' F R U' D2
D' L2 R' F R D U'
D' L2 R' F R D' U'
D' L2 R' F R D2 U'
D' L2 R' F D R U'
D' L2 R' F D' R U'
D' L2 R' F D2 R U'
L2 R2 F R U' D F
L2 R2 F R U' D' F
L2 R2 F R U' D2 F
L2 R2 F R U' F D
L2 R2 F R U' F D'
L2 R2 F R U' F D2
L2 R2 F R D U' F
L2 R2 F R D' U' F
L2 R2 F R D2 U' F
R' L2 F D R U' F
R2 L2 F R U' D F
R2 L2 F R U' D' F
R2 L2 F R U' D2 F
R2 L2 F R U' F D
R2 L2 F R U' F D'
R2 L2 F R U' F D2
R2 L2 F R D U' F
R2 L2 F R D' U' F
R2 L2 F R D2 U' F
R' L2 F D' R U' F
L R2 F R U' F R
R' L2 F D2 R U' F
R L2 F R U' D F
R L2 F R U' D' F
R L2 F R U' D2 F
R L2 F R U' F D
R L2 F R U' F D'
R L2 F R U' F D2
R L2 F R D U' F
R L2 F R D' U' F
R L2 F R D2 U' F
L2 R2 F D R U' F
D' L2 R2 D F R U'
R2 L2 F D R U' F
L2 R2 F D' R U' F
D' L2 R2 D' F R U'
R2 L2 F D' R U' F
L2 R2 F D2 R U' F
D' L2 R2 D2 F R U'
R2 L2 F D2 R U' F
D' L2 R2 F R U' D
D' L2 R2 F R U' D'
D' L2 R2 F R U' D2
D' L2 R2 F R D U'
D' L2 R2 F R D' U'
D' L2 R2 F R D2 U'
D' L2 R2 F D R U'
D' L2 R2 F D' R U'
D' L2 R2 F D2 R U'
R L2 F D R U' F
B' L2 R2 F' L' U F'
R L2 F D' R U' F
R L2 F D2 R U' F
U2 L2 U2 F R U' F
D' L2 D R F R U'
D' L2 D R' F R U'
D' L2 D R2 F R U'
B' L2 D R2 F' L' U
D2 L2 D F L2 R U'
D2 L2 D F R L2 U'
D' L2 D F R U' D
D' L2 D F R U' D'
D' L2 D F R U' D2
D' L2 D F R D U'
D' L2 D F R D' U'
D' L2 D F R D2 U'
D' L2 D F D R U'
D' L2 D F D' R U'
D' L2 D F D2 R U'
D' L2 D' R F R U'
D' L2 D' R' F R U'
D' L2 D' R2 F R U'
D' L2 D' F R U' D
D' L2 D' F R U' D'
D' L2 D' F R U' D2
D' L2 D' F R D U'
D' L2 D' F R D' U'
D' L2 D' F R D2 U'
D' L2 D' F D R U'
D' L2 D' F D' R U'
D' L2 D' F D2 R U'
D L2 D' F R U' F
D' L2 D2 R F R U'
D' L2 D2 R' F R U'
D' L2 D2 R2 F R U'
D2 L2 D2 F R U' F
D' L2 D2 F R U' D
D' L2 D2 F R U' D'
D' L2 D2 F R U' D2
D' L2 D2 F R D U'
D' L2 D2 F R D' U'
D' L2 D2 F R D2 U'
L U L F U2 F R
D' L2 D2 F D R U'
D' L2 D2 F D' R U'
D' L2 D2 F D2 R U'
D L2 D2 F L2 R U'
D L2 D2 F R L2 U'
D2 L2 F R U B2 U2
D2 L2 F R U' D2 F2
D2 L2 F R D L2 U'
D2 L2 F R D2 U' F2
D' L2 F R' U' D B2
D' L2 F R' D U' B2
D' L2 F R2 D R' U'
D' L2 F R2 D' R' U'
D' L2 F R2 D2 R' U'
D2 L2 F D L2 R U'
D2 L2 F D R L2 U'
D L2 F R U2 R U
D' L2 F D R U' D
D' L2 F D R U' D'
D' L2 F D R U' D2
D' L2 F D R D U'
D' L2 F D R D' U'
D' L2 F D R D2 U'
F' L2 F U2 L U F2
D' L2 F D' R U' D
D' L2 F D' R U' D'
D' L2 F D' R U' D2
D' L2 F D' R D U'
D' L2 F D' R D' U'
D' L2 F D' R D2 U'
D2 L2 F D2 R U' F2
D' L2 F D2 R U' D
D' L2 F D2 R U' D'
D' L2 F D2 R U' D2
D' L2 F D2 R D U'
D' L2 F D2 R D' U'
D' L2 F D2 R D2 U'
F2 L2 F U2 L' U F'
D' L2 F B R B' U'
L U L' B' R' F2 L'
D' L2 F B2 R B2 U'
D L2 F D' R U' F2
D L2 F D2 L2 R U'
D L2 F D2 R L2 U'
D' L2 F' R F2 R U'
D' L2 F' R' F2 R U'
D' L2 F' R2 F2 R U'
F2 L2 F' R F2 U' F'
L U R' F2 L' B' R'
D' L2 B F R B' U'
D' L2 B2 F R B2 U'
D' R L2 D F R U'
D' R L2 D' F R U'
D' R L2 D2 F R U'
D' R L2 F R U' D
D' R L2 F R U' D'
D' R L2 F R U' D2
D' R L2 F R D U'
D' R L2 F R D' U'
D' R L2 F R D2 U'
D' R L2 F D R U'
D' R L2 F D' R U'
D' R L2 F D2 R U'
L U F U2 F R B
F R L2 F L2 U' F
F R L2 F U B' U2
U' R U' B' U F2 B2
U' R U' B' U B2 F2
L U B L F U2 F
F R U' F U' B' U
F R U2 R B' U F
F R U2 R' B' U F
F R U2 R2 B' U F
D2 R D L2 F R U'
F R U2 D B' U F
F R U2 D' B' U F
F R U2 D2 B' U F
L U B' R' F2 L' B'
F R U2 B' R U F
F R U2 B' R' U F
F R U2 B' R2 U F
F R U2 B' U D F
F R U2 B' U D' F
F R U2 B' U D2 F
F R U2 B' U F D
F R U2 B' U F D'
F R U2 B' U F D2
F R U2 B' D U F
F R U2 B' D' U F
F R U2 B' D2 U F
U' R D B D' R2 F2
U' R D B D' F2 R2
F R D U2 B' U F
F R D' U2 B' U F
U' R D2 B D' R2 F'
D' R F L2 R F U'
D' R F R L2 F U'
F R D2 U2 B' U F
F R F L2 F U' F'
U' R F B D' R2 F
U' R F B D' F R2
F R F' L2 F U' F
U' R F' B D' F' R2
R' U' R F2 B D' R2
R' U' R B F2 D' R2
L' U' R F2 D' B R'
F R F' U2 B' U F2
F R F' D' L2 F U'
U' R F2 U' B' U B2
U' R F2 D B D' R2
U' R F2 D' B D' R2
R2 U' R F2 B D' R2
L U' R F B R F
U' R F2 D2 B D' R2
U' R F2 B R D' R2
U' R F2 B R' D' R2
U' R F2 B R2 D' R2
U' R F2 B U' B2 U
R2 U' R B F2 D' R2
U' R F2 B D' R2 D
U' R F2 B D' R2 D'
U' R F2 B D' R2 D2
F R F2 L2 F U' F2
L U' R F2 D2 B R'
L U' R B F R F
R U' R F2 B D' R2
R U' R B F2 D' R2
U' R B R F2 D' R2
F R F2 U2 B' U F'
U' R B R' F2 D' R2
U2 R B L B2 U F2
U' R B R2 F2 D' R2
U' R B U' B2 U F2
U' R B D' R2 D F2
U' R B F D' R2 F
U' R B F D' F R2
U' R B F' D' F' R2
U' R B F2 R D' R2
U' R B F2 R' D' R2
U' R B F2 R2 D' R2
U' R B F2 U' B2 U
U' R B F2 D' R2 D
U' R B F2 D' R2 D'
U' R B F2 D' R2 D2
U2 R B' U2 R' U' F2
D' R' L2 D F R U'
D' R' L2 D' F R U'
L U' F R D F B
L U' F R D B F
L U' F R D' F B
L U' F R D' B F
L U' F R D2 F B
L U' F R D2 B F
L U' F R F D B
L U' F R F D' B
L U' F R F D2 B
L U' F R F B D
L U' F R F B D'
L U' F R F B D2
D' R' L2 D2 F R U'
L U' F R B D F
L U' F R B D' F
L U' F R B D2 F
L U' F R B F D
L U' F R B F D'
L U' F R B F D2
D' R' L2 F R U' D
D' R' L2 F R U' D'
D' R' L2 F R U' D2
D' R' L2 F R D U'
D' R' L2 F R D' U'
D' R' L2 F R D2 U'
D' R' L2 F D R U'
D' R' L2 F D' R U'
D' R' L2 F D2 R U'
L U' F R2 F R' B
L U' F D R F B
L U' F D R B F
L U' F D' R F B
L U' F D' R B F
L U' F D2 R F B
L U' F D2 R B F
L U' F B R F B
L U' F B R B F
L' U' F' D F' R B
L U' F B' R F B
L U' F B' R B F
L U' F B2 R F B
L U' F B2 R B F
R' U' F2 R B D' R2
