D2 R' B U' R' U' R'
L' D R F D2 L2 B2
L' D R F D2 B2 L2
L' D R' U2 F B R2
L' D R' U2 B R2 F
L' D R' U2 B F R2
L D R' B' U2 R2 B2
L D R' B' U2 B2 R2
F2 U L' R' U2 F B'
F2 U L' R' U2 B' F
F2 U R' L' U2 F B'
F2 U R' L' U2 B' F
F2 U' L' R' F' U2 F2
F2 U' R' L' F' U2 F2
L' D' B2 R F L B'
L2 D' B2 L R F B'
L2 D' B2 L R B' F
L2 D' B2 L B' R F
L2 D' B2 R L F B'
L2 D' B2 R L B' F
R2 F L' U R' F L'
R2 F L' U F L' R'
R2 F L' U F R' L'
R' F U L' U R2 F
R' F U L' U F R2
B2 D' L D' R F' B'
B2 D' L D' R B' F'
B2 D' L D' B' R F'
R2 F2 L' F R' D B2
R2 F2 U L' R' F B'
R2 F2 U L' R' B' F
R2 F2 U L' F R' B'
R2 F2 U R' L' F B'
R2 F2 U R' L' B' F
B2 D2 R D L F' B'
B2 D2 R D L B' F'
B2 D2 R D F' L B'
B2 D2 R F' D L B'
D' B' L U' R B' L
D' B' L U' B' L R
D' B' L U' B' R L
D' B2 L B' R D' F2
L' B2 R D' F L B'
L' B2 R F L D' B2
L2 B2 R D' L F B'
L2 B2 R D' L B' F
D2 B2 U L R F' B
D2 B2 U L R B F'
D2 B2 U R L F' B
D2 B2 U R L B F'
D2 B2 U R F' L B
D' B2 U' L R F B'
D' B2 U' L R B' F
D' B2 U' L B' R F
D' B2 U' R L F B'
D' B2 U' R L B' F
L' B2 D' R F L B'
L2 B2 D' L R F B'
L2 B2 D' L R B' F
L2 B2 D' L B' R F
L2 B2 D' R L F B'
L2 B2 D' R L B' F
