U' L F B2 U F'
U2 L F' B2 U L'
U' L B2 F U F'
U2 L B2 F' U L'
U2 F' L B2 U L2
U' L R F B2 U F'
U' L R B2 F U F'
U' L R' F B2 U F'
U' L R' B2 F U F'
U' L R2 F B2 U F'
U' L R2 B2 F U F'
U' L D' F U F' R2
U2 L D' F' U L' R2
U2 L D' F' U R2 L'
U' L F U D' F' R2
U' L F U F' D' R2
U' L F D' U F' R2
U2 L F B2 U' R U2
U' L F B2 U D F'
U' L F B2 U D' F'
U' L F B2 U D2 F'
U' L F B2 U F' D
U' L F B2 U F' D'
U' L F B2 U F' D2
U' L F B2 D U F'
U' L F B2 D' U F'
U' L F B2 D2 U F'
U2 L F' U L' D' R2
U2 L F' U D' L' R2
U2 L F' U D' R2 L'
U2 L F' D' U L' R2
U2 L F' D' U R2 L'
U2 L F' B2 U L' D
U2 L F' B2 U L' D'
U2 L F' B2 U L' D2
U2 L F' B2 U D L'
U2 L F' B2 U D' L'
U2 L F' B2 U D2 L'
U2 L F' B2 D U L'
U2 L F' B2 D' U L'
U2 L F' B2 D2 U L'
U' L B2 R F U F'
U' L B2 R' F U F'
U' L B2 R2 F U F'
U2 L B2 U2 B U' L
U' L B2 D F U F'
U2 L B2 D F' U L'
U' L B2 D' F U F'
U2 L B2 D' F' U L'
U' L B2 D2 F U F'
U2 L B2 D2 F' U L'
U' L B2 F U D F'
U' L B2 F U D' F'
U' L B2 F U D2 F'
U' L B2 F U F' D
U' L B2 F U F' D'
U' L B2 F U F' D2
U' L B2 F D U F'
U' L B2 F D' U F'
U' L B2 F D2 U F'
U2 L B2 F U' R U2
U2 L B2 F' U L' D
U2 L B2 F' U L' D'
U2 L B2 F' U L' D2
U2 L B2 F' U D L'
U2 L B2 F' U D' L'
U2 L B2 F' U D2 L'
U2 L B2 F' D U L'
U2 L B2 F' D' U L'
U2 L B2 F' D2 U L'
U' L' U' L2 F B2 U
U' L' U' L2 B2 F U
U2 L' F' B2 L2 U L
U2 L' B2 L2 F' U L'
U2 L' B2 F' L2 U L
U' L2 U' L' F B2 U
U' L2 U' L' B2 F U
U' L2 U' B2 L' F U
U' L2 B2 L' F U F'
U2 L2 B2 L' F' U L'
U' R L F B2 U F'
U' R L B2 F U F'
L' U B2 L2 R' F' U
L' U B2 R' L2 F' U
L' U B2 R' F' L2 U
R' U' L F B2 U F'
R' U' L B2 F U F'
R2 U' L F B2 U F'
R U' L F B2 U F'
R2 U' L B2 F U F'
R U' L B2 F U F'
B2 R B' R2 F' U' L
U' R' L F B2 U F'
U' R' L B2 F U F'
U R' U L F' B2 U
U R' U L B2 F' U
U R' U F' L B2 U
B R' U' D L B' R'
B R' D U' L B' R'
R' U2 L F' B2 U L'
R' U2 L B2 F' U L'
R2 U2 L F' B2 U L'
R2 U2 L B2 F' U L'
R U2 L F' B2 U L'
R U2 L B2 F' U L'
U' R2 L F B2 U F'
U' R2 L B2 F U F'
R' U2 F' L B2 U L2
R2 U2 F' L B2 U L2
R U2 F' L B2 U L2
D' R2 U' L F U F'
B R2 D F' U' L B'
B R2 D2 F' R U' L
B R2 F' U' D L B'
B R2 F' D U' L B'
B' U R' F' U B' U
D' U' L F U F' R2
U' D' L F U F' R2
U2 D' L F' U L' R2
U2 D' L F' U R2 L'
F' U' L F B2 U F'
F2 U' L F B2 U F'
F' U' L B2 F U F'
F2 U' L B2 F U F'
F U' L F B2 U F'
F U' L B2 F U F'
U2 D' F' L U L2 R2
U2 D' F' L U R2 L2
B U' D L B' D' R2
D' U2 L F' U L' R2
D' U2 L F' U R2 L'
F' U2 L F' B2 U L'
F' U2 L B2 F' U L'
F2 U2 L F' B2 U L'
F2 U2 L B2 F' U L'
D' U2 F' L U L2 R2
D' U2 F' L U R2 L2
F U2 L F' B2 U L'
F U2 L B2 F' U L'
U' F L F B2 U F2
U' F L B2 F U F2
U2 F L F2 B2 U L'
U2 F L B2 U' R U2
U2 F L B2 F2 U L'
F' U2 F' L B2 U L2
F2 U2 F' L B2 U L2
F U2 F' L B2 U L2
B' U2 B' U L' B' L
B D R' U' L B' R'
B D R2 F' U' L B'
U2 F' L U L2 D' R2
B D U' L B' D' R2
U2 F' L F B2 U L2
U2 F' L F' B2 U L2
U2 F' L F2 B2 U L2
U2 F' L B2 U L2 D
U2 F' L B2 U L2 D'
U2 F' L B2 U L2 D2
U2 F' L B2 D F2 U
U2 F' L B2 F U L2
U2 F' L B2 F' U L2
U2 F' L B2 F2 U L2
U2 F' L' B2 L2 U L2
U2 F' U L' D' R2 B2
U2 F' U L' D' B2 R2
U2 F' D' L U L2 R2
U2 F' D' L U R2 L2
B2 D' R' B U2 B' U
U' F2 L F B2 U F
U2 F' B2 U2 R' U' L'
U' F2 L B2 F U F
U2 F2 L F B2 U L'
U2 F2 L B2 F U L'
D2 F2 U2 L F' U L'
D2 F2 U2 F' L U L2
D2 F2 B U' D L B'
D2 F2 B D U' L B'
D2 F2 B' U R' F' U2
D2 F2 B2 R' B' U' L
D2 F2 B2 D' R' B U'
B D2 R2 F' R U' L
L F2 B2 D' R F' U
L' B L2 B R' U L'
D2 B U' D L R2 B'
D2 B U' D L B' R2
D' B U' R2 D L B'
D2 B U' D R2 L B'
D2 B D U' L R2 B'
D2 B D U' L B' R2
D2 B D U' R2 L B'
D B D F2 U' L B'
D2 B F2 U' D L B'
D2 B F2 D U' L B'
D2 B' R2 F2 U' L' B'
D' B' U R' F' U2 R'
D B' U L2 R' F' U2
D B' U R' L2 F' U2
D B' U R' F' L2 U2
D2 B' F2 U R' F' U2
D2 B2 R' F2 B' U' L
D2 B2 R' B' F2 U' L
U2 B2 U2 R' B U' L
L2 B2 D L' F U F
D' B2 D' R' F2 B U'
D' B2 D' R' B F2 U'
L B2 U2 L' B' U' L
D' B2 D' F2 R' B U'
L B2 U2 B' L' U' L2
L B2 D' F2 R F' U
D2 B2 F2 R' B' U' L
D2 B2 F2 D' R' B U'
U2 B2 F' U2 R' U' L'
L B2 F2 D' R F' U
