F2 R B' U' F'
F2 B' R U' F'
B' F2 R U' F'
F2 L R U' F' L'
F2 R L U' F' L'
F2 R D B' U' F'
F2 R D' B' U' F'
F2 R D2 B' U' F'
B' R F2 R U' F
F2 R B' L U' F'
F2 R B' L' U' F'
F2 R B' L2 U' F'
F2 R B' U' D F'
F2 R B' U' D' F'
F2 R B' U' D2 F'
F2 R B' U' F' D
F2 R B' U' F' D'
F2 R B' U' F' D2
F2 R B' D U' F'
F2 R B' D' U' F'
F2 R B' D2 U' F'
F2 D R B' L U'
F2 D B' L R U'
F2 D B' R L U'
U' F2 R B' U' F'
U2 F2 R B' U' F'
U F2 R B' U' F'
R F2 R B' U' F
U' F2 B' R U' F'
U2 F2 B' R U' F'
U F2 B' R U' F'
R F2 B' R U' F
F2 B R B2 U' F'
F2 B' L R U' F'
F2 B' L' R U' F'
F2 B' L2 R U' F'
F2 B' R L U' F'
F2 B' R L' U' F'
F2 B' R L2 U' F'
F2 B' R U' D F'
F2 B' R U' D' F'
F2 B' R U' D2 F'
F2 B' R U' F' D
F2 B' R U' F' D'
F2 B' R U' F' D2
F2 B' R D U' F'
F2 B' R D' U' F'
F2 B' R D2 U' F'
U' B' F2 R U' F'
U2 B' F2 R U' F'
U B' F2 R U' F'
B' F2 L R U' F'
R B' F2 R U' F
B' F2 L' R U' F'
B' F2 L2 R U' F'
B' F2 R L U' F'
B' F2 R L' U' F'
B' F2 R L2 U' F'
B' F2 R U' D F'
B' F2 R U' D' F'
B' F2 R U' D2 F'
B' F2 R U' F' D
B' F2 R U' F' D'
B' F2 R U' F' D2
B' F2 R D U' F'
B' F2 R D' U' F'
B' F2 R D2 U' F'
B F2 R B2 U' F'
F2 L R U' L F' L'
F2 L R U' L' F' L'
F2 L R U' L2 F' L'
F2 L R U' D F' L'
F2 L R U' D' F' L'
F2 L R U' D2 F' L'
F2 L R U' F' L' D
F2 L R U' F' L' D'
F2 L R U' F' L' D2
F2 L R U' F' D L'
F2 L R U' F' D' L'
F2 L R U' F' D2 L'
F2 L R D U' F' L'
F2 L R D' U' F' L'
F2 L R D2 U' F' L'
F2 L R B U' F' L'
F2 L R B' U' F' L'
F2 L R B2 U' F' L'
F' L F' R U' F' L'
F2 L B R U' F' L'
F2 L B' R U' F' L'
F2 L B2 R U' F' L'
D2 L' B2 U D F L'
D2 L' B2 D U F L'
F2 L2 R U' F' D' L2
F2 L2 R U2 F U F2
D2 L2 F L B2 U F
F2 R L U' L F' L'
F2 R L U' L' F' L'
F2 R L U' L2 F' L'
F2 R L U' D F' L'
F2 R L U' D' F' L'
F2 R L U' D2 F' L'
F2 R L U' F' L' D
F2 R L U' F' L' D'
F2 R L U' F' L' D2
F2 R L U' F' D L'
F2 R L U' F' D' L'
F2 R L U' F' D2 L'
F2 R L D U' F' L'
F2 R L D' U' F' L'
F2 R L D2 U' F' L'
F2 R L B U' F' L'
F2 R L B' U' F' L'
F2 R L B2 U' F' L'
F2 R L2 U' F' D' L2
F2 R L2 U2 F U F2
F2 R U' L2 F' D' L2
R U F2 R B' U' F
F2 R U' F' U B' U'
R U F2 B' R U' F
F2 R D L U' F' L'
F2 R D B' L U' F'
F2 R D B' L' U' F'
F2 R D B' L2 U' F'
F2 R D B' U' D F'
F2 R D B' U' D' F'
F2 R D B' U' D2 F'
F2 R D B' U' F' D
F2 R D B' U' F' D'
F2 R D B' U' F' D2
F2 R D B' D U' F'
F2 R D B' D' U' F'
F2 R D B' D2 U' F'
R U B' F2 R U' F
F2 R D' L U' F' L'
F2 R D' B' L U' F'
F2 R D' B' L' U' F'
F2 R D' B' L2 U' F'
F2 R D' B' U' D F'
F2 R D' B' U' D' F'
F2 R D' B' U' D2 F'
F2 R D' B' U' F' D
F2 R D' B' U' F' D'
F2 R D' B' U' F' D2
F2 R D' B' D U' F'
F2 R D' B' D' U' F'
F2 R D' B' D2 U' F'
F2 R D2 L U' F' L'
F2 R D2 B' L U' F'
F2 R D2 B' L' U' F'
F2 R D2 B' L2 U' F'
F2 R D2 B' U' D F'
F2 R D2 B' U' D' F'
F2 R D2 B' U' D2 F'
F2 R D2 B' U' F' D
F2 R D2 B' U' F' D'
F2 R D2 B' U' F' D2
F2 R D2 B' D U' F'
F2 R D2 B' D' U' F'
F2 R D2 B' D2 U' F'
F R F R B' U' F2
F R F B' R U' F2
B' R F2 R U' D F
B' R F2 R U' D' F
B' R F2 R U' D2 F
B' R F2 R U' F D
B' R F2 R U' F D'
B' R F2 R U' F D2
B' R F2 R D U' F
B' R F2 R D' U' F
B' R F2 R D2 U' F
U' R F2 R B' U' F
U2 R F2 R B' U' F
B' R F2 D R U' F
B' R F2 D' R U' F
B' R F2 D2 R U' F
B R F2 R B2 U' F
U' R F2 B' R U' F
U R F2 R B' U' F
U2 R F2 B' R U' F
F2 R B L B2 U' F'
F2 R B L' B2 U' F'
B R F2 B2 R U' F
F2 R B L2 B2 U' F'
U R F2 B' R U' F
F2 R B U' D L2 F'
F2 R B U' D F' L2
F2 R B U' F' D L2
F2 R B D U' L2 F'
F2 R B D U' F' L2
F2 R B' L U' D F'
F2 R B' L U' D' F'
F2 R B' L U' D2 F'
F2 R B' L U' F' D
F2 R B' L U' F' D'
F2 R B' L U' F' D2
F2 R B' L D U' F'
F2 R B' L D' U' F'
F2 R B' L D2 U' F'
F2 R B' L' U' D F'
F2 R B' L' U' D' F'
F2 R B' L' U' D2 F'
F2 R B' L' U' F' D
F2 R B' L' U' F' D'
F2 R B' L' U' F' D2
F2 R B' L' D U' F'
F2 R B' L' D' U' F'
F2 R B' L' D2 U' F'
F2 R B' L2 U' D F'
F2 R B' L2 U' D' F'
F2 R B' L2 U' D2 F'
F2 R B' L2 U' F' D
F2 R B' L2 U' F' D'
F2 R B' L2 U' F' D2
F2 R B' L2 D U' F'
F2 R B' L2 D' U' F'
F2 R B' L2 D2 U' F'
F2 R B' U B U2 F'
F2 R B' U B' U2 F'
F2 R B' U B2 U2 F'
F2 R B' U' L' F' L
F2 R B' U' L2 F' L2
F2 R B' U' D F' D
F2 R B' U' D F' D'
F2 R B' U' D F' D2
F2 R B' U' D' F' D
F2 R B' U' D' F' D'
F2 R B' U' D' F' D2
F2 R B' U' D2 F' D
F2 R B' U' D2 F' D'
F2 R B' U' D2 F' D2
F2 R B' U' F2 D F
F2 R B' U' F2 D' F
F2 R B' U' F2 D2 F
F2 R B' D L U' F'
F2 R B' D L' U' F'
F2 R B' D L2 U' F'
F2 R B' D U' F' D
F2 R B' D U' F' D'
F2 R B' D U' F' D2
F2 R B' D' L U' F'
F2 R B' D' L' U' F'
F2 R B' D' L2 U' F'
U' R B' F2 R U' F
F2 R B' D' U' F' D
F2 R B' D' U' F' D'
F2 R B' D' U' F' D2
F2 R B' D2 L U' F'
F2 R B' D2 L' U' F'
F2 R B' D2 L2 U' F'
F2 R B' D2 U' F' D
