R F' R2 B L U
B2 L R' F2 B R' U'
B2 L R' B R' F2 U'
B2 L R' B F2 R' U'
L' R F' R2 B L U
L R F' R2 B L U
L2 R F' R2 B L U
R L F' R2 B L U
B2 L F2 R' B R' U'
B2 L F2 B R' B U'
B2 L B R' F2 B U'
B2 L B R' B F2 U'
B2 L B F2 R' B U'
R L' F' R2 B L U
R L2 F' R2 B L U
F2 R U2 F' L' R2 U
F2 R U2 F' R2 L' U
U2 R F' L' R2 B U
U2 R F' R2 L' B U
U2 R F' R2 B L' U
B2 R' L F2 B R' U'
B2 R' L B R' F2 U'
B2 R' L B F2 R' U'
F R' U2 F B R U'
F R' U2 B F R U'
B2 R' F2 L B R' U'
B' R' F2 B U2 R' U
B' R' F2 B' L B2 U'
B' R' B F2 U2 R' U
B' R' B' L F2 B2 U'
B' R' B' L B2 F2 U'
B' R' B' F2 L B2 U'
R' U2 F B R F U'
R U2 F' L' R2 B U
R U2 F' R2 L' B U
R U2 F' R2 B L' U
R' U2 F2 D2 B R' U'
R' U2 B F R F U'
F2 U2 R F' L' R2 U
F2 U2 R F' R2 L' U
B2 D L U' R2 B' L
B2 D L U' B' L R2
B2 D L U' B' R2 L
R' F U2 F B R U'
R' F U2 B F R U'
R F' L R2 B L U
R F' L' R2 B L U
R F' L2 R2 B L U
R F' R2 L B L U
R F' R2 L' B L U
R F' R2 L2 B L U
R F' R2 D B L U
R F' R2 D' B L U
R F' R2 D2 B L U
R F' R2 B L U D
R F' R2 B L U D'
R F' R2 B L U D2
R F' R2 B L D U
R F' R2 B L D' U
R F' R2 B L D2 U
R F' R2 B D L U
R F' R2 B D' L U
R F' R2 B D2 L U
R F' B L R2 B U
R F' B R2 L B U
R F2 D2 L2 B' R' U'
R B L F' R2 B U
R B F' L R2 B U
R B F' R2 L B U
R' B' R' F2 L' B2 U'
R' B' R' F2 B2 L' U'
R' B' R' B2 F2 L' U'
R' B' U2 R' F2 B2 U'
R' B' U2 R' B2 F2 U'
R' B' U2 F2 R' B2 U'
F2 B' R' B U2 R' U
F2 B' R' B' L B2 U'
R' B' D2 F2 B2 L U
R' B' D2 B2 L F2 U
R' B' D2 B2 F2 L U
B2 F2 L R' B R' U'
F2 B2 L R' B R' U'
B2 F2 L B R' B U'
F2 B2 L B R' B U'
B2 F2 R' L B R' U'
B' F2 R' B U2 R' U
B' F2 R' B' L B2 U'
F2 B2 R' L B R' U'
B2 F2 D L U' B' L
F2 B2 D L U' B' L
