D L B2 U' R' B
F' L R D2 F2 U' L'
D L R' B2 U' R' B'
D' L U' R2 D' B' L2
D' L U' R2 B' D' L2
D2 L U' D L R2 B'
D2 L U' D L B' R2
D2 L U' D R2 L B'
D' L U' B' R2 D' L2
D' L U2 F2 U R2 B'
D' L U2 F2 U B' R2
D2 L D U' L R2 B'
D2 L D U' L B' R2
D2 L D U' R2 L B'
D' L D' F2 U' B' L2
F' L D2 R F2 U' L2
F L D2 R2 F2 U' L2
F L D2 F2 R2 U' L2
D L F B2 U' R' B
D L F' B2 U' R' B
D' L F2 U B' R2 F'
D2 L F2 U' D L B'
D2 L F2 D U' L B'
D L F2 B2 U' R' B
D L B2 R U' R2 B
D L B2 U' R' D B
D L B2 U' R' D' B
D L B2 U' R' D2 B
D L B2 U' R' B D
D L B2 U' R' B D'
D L B2 U' R' B D2
D L B2 F U' R' B
D L B2 F' U' R' B
D L B2 F2 U' R' B
D2 L' D L' F2 R2 B
F L' B2 D2 R2 U L2
F' R L D2 F2 U' L'
R2 U B2 D R' U B
F' R D2 L F2 U' L'
F' R D2 F2 L U' L2
B2 R F2 R2 U L' B'
R2 U' D' L U' R2 B'
R2 U' D' L U' B' R2
D R' L B2 U' R' B'
B2 R' U D' B2 L B'
B2 R' U B2 D' L B'
B2 R' U' D R' U2 B
B2 R' D U' R' U2 B
B2 R' D' U B2 L B'
B2 R' F L' U' R' U2
B2 R' F2 U' R' F' U2
F R' B2 L' R' U L2
F R' B2 R' L' U L2
F' R2 U B2 L R' U
F' R2 U B2 R' L U
F R2 U B2 L' R' U
F R2 U B2 R' L' U
U' D L B2 U' R' B
U2 D L B2 U' R' B
D U L B2 U' R' B
U D L B2 U' R' B
D U' L B2 U' R' B
R2 D' U' L U' R2 B'
R2 D' U' L U' B' R2
D U2 L B2 U' R' B
L D2 F2 B R' U' L2
L D2 B R' F2 U' L2
L D2 B F2 R' U' L2
D F L B2 U' R' B
F' D L R B2 U' R'
R2 F U B2 L' R' U
R2 F U B2 R' L' U
F' D L B2 R U' R2
F' D R L B2 U' R'
B2 D R' U D L2 B
B2 D R' U D B L2
B2 D R' U2 B2 U' B'
B2 D R' D U L2 B
B2 D R' D U B L2
B2 D R' D2 F2 U B
L F D2 F2 R U' L2
R' F B2 L' R' U L2
R' F B2 R' L' U L2
D F' L B2 U' R' B
L F' R D2 F2 U' L'
B2 D' L R' F2 U B'
B2 D' L F2 R' U B'
B2 D' R' L F2 U B'
B2 D' R' F2 L U B'
L F' D2 R F2 U' L2
D' F2 L U B' R2 F'
D2 F2 L U' D L B'
D2 F2 L D U' L B'
D F2 L B2 U' R' B
B2 D' F2 L R' U B'
B2 D' F2 R' L U B'
B2 D' F2 D2 R' U B
F' D2 L R F2 U' L
D' F2 U2 L U' R2 B'
D' F2 U2 L U' B' R2
F' D2 R L F2 U' L
F' D2 R F2 L U' L
R F2 B2 R' U L' B'
B' D2 B' L R' U L
F D2 F2 L R U' L
F D2 F2 R L U' L
B' D2 B' R' L U L
B2 F L' R' U' R' U2
B2 F L' D' R' F2 U
B2 F L' D' F2 R' U
B2 F L' D2 R' U L2
B2 F R' L' U' R' U2
B2 F D' L' R' F2 U
B2 F D' L' F2 R' U
B2 F D' R' L' F2 U
B2 F D2 L' R' U L'
B2 F D2 R' L' U L'
B2 F' R' U D B2 L
B2 F' R' D U B2 L
B2 F' D' F2 L' R' U
B2 F' D' F2 R' L' U
R' B2 R' U D' L B'
R' B2 R' D' U L B'
R' B2 R' F L' U L2
F B2 L' R' U' R' U2
F B2 L' D' R' F2 U
F B2 L' D' F2 R' U
F B2 L' D2 R' U L2
R2 B2 R' F2 U L' B'
F' B2 R' U D B2 L
F' B2 R' D U B2 L
B2 F2 R' U' R' F' U2
F2 B2 R' U' R' F' U2
F B2 R' L' U' R' U2
R' B2 D R' U L B
R' B2 D' R' U L B'
R' B2 F L' R' U L2
R' B2 F R' L' U L2
F' B2 D' F2 L' R' U
F' B2 D' F2 R' L' U
F B2 D' L' R' F2 U
F B2 D' L' F2 R' U
F B2 D' R' L' F2 U
F B2 D2 L' R' U L'
F B2 D2 R' L' U L'
R B2 F2 R' U L' B'
