F' R2 F' B U' F
F' R2 B F' U' F
F' U R2 F' B U'
F' U R2 B F' U'
F2 U2 R2 F' U' F2
F2 D B U F B
F2 D B U B F
B' D' L2 F' R2 B
B' D' F' L2 R2 B
B' D' F' R2 L2 B
B' D' F' R2 B L2
F2 B U D F B2
F2 B U D B2 F
F2 B U F D B2
F2 B U2 R2 U' F
F2 B D U F B2
F2 B D U B2 F
B F2 U D F B2
B F2 U D B2 F
B F2 U F D B2
B F2 U2 R2 U' F
B F2 D U F B2
B F2 D U F B2
B F2 D U B2 F
F' L R2 F' B U' F
F' L R2 B F' U' F
F' L U R2 F' B U'
F' L U R2 B F' U'
B' L D' L2 F' R2 B
B' L D' F' L2 R2 B
B' L D' F' R2 L2 B
B' L D' F' R2 B L2
B L F2 U D F B2
B L F2 U D B2 F
B L F2 U F D B2
B L F2 U2 R2 U' F
B L F2 D U F B2
B L F2 D U B2 F
F' L' R2 F' B U' F
F' L' R2 B F' U' F
F L' R2 F' U' F' L'
F' L' U R2 F' B U'
F' L' U R2 B F' U'
B' L' D' L2 F' R2 B
B' L' D' F' L2 R2 B
B' L' D' F' R2 L2 B
B' L' D' F' R2 B L2
B L' F2 U D F B2
B L' F2 U D B2 F
B L' F2 U F D B2
B L' F2 U2 R2 U' F
B L' F2 D U F B2
B L' F2 D U B2 F
F' L2 R2 F' B U' F
F' L2 R2 B F' U' F
F L2 R2 F' B' U' F'
F L2 R2 B' F' U' F'
F' L2 U R2 F' B U'
F' L2 U R2 B F' U'
D2 L2 D B U L2 F'
D2 L2 D B U F' L2
B' L2 D' L2 F' R2 B
B' L2 D' F' L2 R2 B
B' L2 D' F' R2 L2 B
B' L2 D' F' R2 B L2
F2 L2 D2 L2 B U F
D2 L2 D2 F2 B U F
D2 L2 D2 B F2 U F
D' L2 F' B' D' R2 B
B L2 F2 U D F B2
B L2 F2 U D B2 F
B L2 F2 U F D B2
B L2 F2 U2 R2 U' F
B L2 F2 D U F B2
B L2 F2 D U B2 F
D2 L2 B U2 B U' F'
F2 L2 B D2 L2 U F2
D' L2 B' F' D' R2 B
F' R U R F' U' L'
F2 R U2 R F' U' F2
B R F2 L' R' U F'
B R F2 R' L' U F'
F2 R' U F R D B2
F2 R' U2 R' U' F R
F2 R' B U F R B
R2 U2 R2 F2 B U F
R2 U2 R2 B F2 U F
F' R2 L F' B U' F
F' R2 L B F' U' F
F' R2 L' F' B U' F
F' R2 L' B F' U' F
F' R2 L2 F' B U' F
F R2 L' F' U' F' L'
F' R2 L2 B F' U' F
F R2 L2 F' B' U' F'
F R2 L2 B' F' U' F'
F2 R2 U F D R2 B
B' R2 U' D' L2 R2 F'
B' R2 U' D' R2 L2 F'
B' R2 U' D' R2 F' L2
F' R2 D F' B U' F
F' R2 D B F' U' F
B' R2 D' U' L2 R2 F'
B' R2 D' U' R2 L2 F'
B' R2 D' U' R2 F' L2
F' R2 D' F' B U' F
F' R2 D' B F' U' F
F R2 D' L2 F' B' U'
F R2 D' L2 B' F' U'
F' R2 D2 F' B U' F
F' R2 D2 B F' U' F
F2 R2 F' L2 B' U' F2
F' R2 F' D B U' F
F' R2 F' D' B U' F
F' R2 F' D2 B U' F
F' R2 F' B U' D F
F' R2 F' B U' D' F
F' R2 F' B U' D2 F
F' R2 F' B U' F D
F' R2 F' B U' F D'
F' R2 F' B U' F D2
F' R2 F' B D U' F
F' R2 F' B D' U' F
F' R2 F' B D2 U' F
F2 R2 F' U2 F U F
F2 R2 F' D' L2 B' U'
F R2 F' U' D' L2 F'
F R2 F' U' D' F' L2
F R2 F' U2 F2 U F
F R2 F' D' U' L2 F'
F R2 F' D' U' F' L2
F R2 F' D2 B2 U' F'
F' R2 B L F' U' F
F' R2 B L' F' U' F
F' R2 B L2 F' U' F
B R2 F2 U' B U2 B'
F' R2 B D F' U' F
F' R2 B D' F' U' F
F' R2 B D2 F' U' F
F' R2 B F' U' D F
F' R2 B F' U' D' F
F' R2 B F' U' D2 F
F' R2 B F' U' F D
F' R2 B F' U' F D'
F' R2 B F' U' F D2
F' R2 B F' D U' F
F' R2 B F' D' U' F
F' R2 B F' D2 U' F
D R2 B U' F' U' B
R2 D F' U R2 U2 F'
R2 D F' U B R2 U2
F' U R2 D F' B U'
F' U R2 D B F' U'
F' U R2 D' F' B U'
F' U R2 D' B F' U'
F' U R2 D2 F' B U'
F' U R2 D2 B F' U'
F' U R2 F' D B U'
F' U R2 F' D' B U'
F' U R2 F' D2 B U'
F' U R2 F' B U' D
F' U R2 F' B U' D'
F' U R2 F' B U' D2
F' U R2 F' B D U'
F' U R2 F' B D' U'
F' U R2 F' B D2 U'
F' U R2 B D F' U'
F' U R2 B D' F' U'
F' U R2 B D2 F' U'
F' U R2 B F' U' D
F' U R2 B F' U' D'
F' U R2 B F' U' D2
F' U R2 B F' D U'
F' U R2 B F' D' U'
F' U R2 B F' D2 U'
B' U D' L2 F' R2 B
B' U D' F' L2 R2 B
B' U D' F' R2 L2 B
B' U D' F' R2 B L2
B U D F' B2 D2 L2
B U D B2 D2 L2 F'
B U D B2 D2 F' L2
B U D B2 F' D2 L2
B U D' L2 D2 F' B2
B U D' L2 D2 B2 F'
B U D' F L2 F2 B'
B U D' F L2 B' F2
F2 U F U R2 F' U'
B U F' U R2 B U'
R2 D' F' U B U2 L2
R2 D' F' B2 U' L2 F
F' U' D F' B U B
F' U' D B F' U B
B' U' D' L2 F' R2 B
B' U' D' F' L2 R2 B
B' U' D' F' R2 L2 B
B' U' D' F' R2 B L2
B U' D R2 B U2 B
R2 D' B2 F' U' L2 F
F' U' D2 L2 F' B U
F' U' D2 L2 B F' U
F' U' D2 F' L2 B U
F' U' D2 F' B L2 U
F' U' D2 B L2 F' U
F' U' D2 B F' L2 U
B U' D' F2 U2 F L2
F' U' F' U2 R2 F' U'
F' U' F' D B U B
F' U' F' D2 L2 B U
F' U' F' D2 B L2 U
F' U' F' B U D B2
F' U' F' B U2 R2 U'
F' U' F' B D U B2
F' U' F' B D2 L2 U
F' U' B U2 R2 B U'
F' U' B D F' U B2
F' U' B D2 L2 F' U
F' U' B D2 F' L2 U
F' U' B F' U D B2
F' U' B F' U2 R2 U'
F' U' B F' D U B2
F' U' B F' D2 L2 U
R2 D2 F' B2 L2 U' F
R2 D2 F' B2 U B' U2
F2 U2 R2 U' F D R2
F2 U2 R2 D F' U' F2
F2 U2 R2 D' F' U' F2
F2 U2 R2 D2 F' U' F2
