D' F L' U R2
B2 D' F L' U
F R' B2 R U B'
F U R D' R2 B
F U R' D' B R2
D' F L' U R2 D
D' F L' U R2 D'
D' F L' U R2 D2
D' F L' D B2 U
D' F L' B U R2
D' F L' B' U R2
D' F L' B2 U R2
D' F D L' B2 U
D' F D B2 L' U
D' F B L' U R2
D' F B' L' U R2
D' F B2 L' U R2
B' D F B' L U
B' D B' F L U
B2 D' F L' U D
B2 D' F L' U D'
B2 D' F L' U D2
B2 D' F L' D U
B2 D' F L' D' U
B2 D' F L' D2 U
B2 D' F D L' U
B2 D' F D' L' U
B2 D' F D2 L' U
B' D' F B' L' U
B D' F L' B U
B D' F B L' U
B' D' B' F L' U
B D' B F L' U
B2 D2 F L U B'
D' B F L' U R2
B2 F U R' B R
B2 F U2 R' U' B
B' F D B' L U
B2 F D2 L U B'
D' B' F L' U R2
F B' D B' L U
R' B2 R F U B'
F B2 U R' B R
D' B2 F L' U R2
F B2 U2 R' U' B
F B2 D2 L U B'
F L R' B2 R U B'
F L U R D' R2 B
F L U R' D' B R2
D' L F L' F U R2
F L B' D B' L U
F L B2 U R' B R
F L B2 U2 R' U' B
F L B2 D2 L U B'
F L' R' B2 R U B'
F L' U R D' R2 B
B2 L' U R' B L R
B2 L' U R' B R L
F L' U R' D' B R2
B2 L' U D2 B L B'
B2 L' U B D2 L B'
B2 L' U' R F' U2 L'
B2 L' U' R' U2 B L
B2 L' U' F R F' U2
B2 L' D' L F L' U
B2 L' D2 L F U B'
B2 L' D2 U B L B'
F L' B' D B' L U
U2 L' B2 R' U B L
F L' B2 U R' B R
F L' B2 U2 R' U' B
F L' B2 D2 L U B'
F L2 R' B2 R U B'
F L2 U R D' R2 B
F L2 U R' D' B R2
B2 L2 U2 R' B' U' B2
B2 L2 U2 B' R' U' B
B2 L2 D' L2 F L' U
L' U R D' R2 B L
L' U R' D' B L R2
L' U R' D' B R2 L
F L2 B' D B' L U
F L2 B2 U R' B R
F L2 B2 U2 R' U' B
F L2 B2 D2 L U B'
R2 U F R2 B2 L U
R' U B2 R F U B'
F R D' R' U R' B
B2 R F R' U D2 B2
B2 R F R' U' F2 U2
B2 R F R' D' L2 U
B2 R F R' D2 U B2
B2 R F D' L2 R' U
B2 R F D' R' L2 U
B2 R F D2 R' U B2
U' R F' U F2 B2 U
U' R F' U B2 F2 U
U' R F' U2 D' L2 R2
U' R F' U2 D' R2 L2
U' R F' D L2 R2 U2
U' R F' D R2 L2 U2
U' R F' D' U2 L2 R2
U' R F' D' U2 R2 L2
F R' L B2 R U B'
F R' L' B2 R U B'
U' R' U F B2 U B'
F R' L2 B2 R U B'
U' R' U B2 F U B'
U R' U' F B2 U B'
U R' U' B2 F U B'
U2 R' U2 F B2 U B'
U2 R' U2 B2 F U B'
R' U' B2 R F U B'
U R' F B2 U F' B'
U R' F B2 U B' F'
B' R' B' R F U B2
U R' B U' F B U
U R' B U' B F U
F R' B' R B' U B'
F' R' B2 R F2 U B'
F2 R' B2 R F' U B'
F R' B2 R U D B'
F R' B2 R U D' B'
F R' B2 R U D2 B'
F R' B2 R U B' D
F R' B2 R U B' D'
F R' B2 R U B' D2
F R' B2 R D U B'
F R' B2 R D' U B'
F R' B2 R D2 U B'
F R' B2 D R U B'
F R' B2 D' R U B'
F R' B2 D2 R U B'
U R' B2 F U F' B'
U R' B2 F U B' F'
D' R2 U' R2 F L' U
D' R2 U' F L' R2 U
D' R2 U' F R2 L' U
R' U2 B2 R F U B'
D' R2 F L' R2 U R2
D' R2 F R2 L' U R2
F' U R D' L2 R2 B
F' U R D' R2 L2 B
F' U R D' R2 B L2
F' U R' D' L2 B R2
F' U R' D' B L2 R2
F' U R' D' B R2 L2
F U R D' R2 D B
F U R D' R2 D' B
F U R D' R2 D2 B
F U R D' R2 B D
F U R D' R2 B D'
F U R D' R2 B D2
F U R D' B R2 B
F U R D' B' R2 B
F U R D' B2 R2 B
D' U R2 U' F L' U
F U R' U' B2 U B'
F U R' D B D2 R2
F U R' D' B R2 D
F U R' D' B R2 D'
F U R' D' B R2 D2
F U R' D' B' R2 B2
F U R' D' B2 R2 B'
F U R' D2 B D R2
D' U F L' U F' R2
F U R' B U' B U
F U R2 D' R B R
L' D' L F L' U R2
B2 U D2 L D' B' L
F U D' R' D R' B
L2 D' L2 F L' U R2
R D' R' F U R' B
F U B' R' B D' R2
B2 U' R F' U F2 U
B2 U' R F' U2 D' L2
B2 U' R F' D R2 U2
B2 U' R F' D' U2 L2
U D' R2 U' F L' U
B2 U' R' U F U B
U D' F L' U F' R2
B2 U2 R' U2 F U B
F U2 R U' D' R2 B
F U2 R D' U' R2 B
F U2 R' U' D' B R2
F U2 R' U2 B2 U B'
F U2 R' D' U' B R2
F U2 R' D2 F2 U' B
D' F L U R2 D' B2
D' F L B L2 U R2
D' F L B' L2 U R2
D' F L B2 L2 U R2
D' F L' U R D R
D' F L' U R D' R
D' F L' U R D2 R
D' F L' U R' D R'
D' F L' U R' D' R'
D' F L' U R' D2 R'
D' F L' U F' R2 F
D' F L' U F2 R2 F2
D' F L' U B R2 B'
D' F L' U B2 R2 B2
D' F L' U' L U2 R2
D' F L' U' L' U2 R2
D' F L' U' L2 U2 R2
D' F L' U' D2 L2 U2
D' F L' U2 D' F2 U'
D' F L' U2 F U' R2
D' F L' U2 F' U' R2
D' F L' U2 F2 U' R2
D2 F L' U' F U2 R
D' F L' D B2 U D
D' F L' D B2 U D'
D' F L' D B2 U D2
D' F L' D B2 D U
D' F L' D B2 D' U
D' F L' D B2 D2 U
D' F L' D' U2 F2 U'
D' F L' D2 U' L2 U2
D' F L' B U R2 D
D' F L' B U R2 D'
D' F L' B U R2 D2
D' F L' B D B2 U
D' F L' B' U R2 D
D' F L' B' U R2 D'
D' F L' B' U R2 D2
D' F L' B' D B2 U
D' F L' B2 U R2 D
D' F L' B2 U R2 D'
D' F L' B2 U R2 D2
D' F L' B2 D B2 U
F U2 D' F' R U' R
D' F L2 D L B2 U
U2 F L' B2 R' U B
D2 F L2 B' L' U B'
R2 F R B2 R U B'
D' F U R2 U' L' U
R F R' D' L2 U R2
R F R' B2 U D2 B2
R F R' B2 U' F2 U2
R F R' B2 D' L2 U
R F R' B2 D2 U B2
D' F U2 D' F2 R U'
D' F U2 F2 R U' R
D' F D L B2 L2 U
D' F D L' U D' R2
D' F D L' D' U R2
D' F D L' B2 U D
D' F D L' B2 U D'
D' F D L' B2 U D2
D' F D L' B2 D U
D' F D L' B2 D' U
D' F D L' B2 D2 U
D' F D B L' B U
D' F D B2 L' U D
D' F D B2 L' U D'
D' F D B2 L' U D2
D' F D B2 L' D U
D' F D B2 L' D' U
D' F D B2 L' D2 U
D' F D B2 D L' U
D' F D B2 D' L' U
D' F D B2 D2 L' U
D' F D' L' U D R2
D' F D' L' U2 F2 U'
D' F D' L' D U R2
D' F D' L' D2 B2 U
D2 F D' L2 B' L U
D' F D' U2 F2 R U'
D' F D2 L' U' L' U2
D' F B L' U R2 D
D' F B L' U R2 D'
D' F B L' U R2 D2
D' F B L' D B2 U
D' F B L' B U R2
D' F B L' B' U R2
D' F B L' B2 U R2
R F D' L2 R' U R'
R F D' R' L2 U R'
D' F B D L' B2 U
D' F B D B2 L' U
D' F B' L' U R2 D
D' F B' L' U R2 D'
D' F B' L' U R2 D2
D' F B' L' D B2 U
D' F B' L' B U R2
D' F B' L' B' U R2
D' F B' L' B2 U R2
D' F B' D L' B2 U
D' F B' D B2 L' U
D' F B2 L' U R2 D
D' F B2 L' U R2 D'
D' F B2 L' U R2 D2
D' F B2 L' D B2 U
D' F B2 L' B U R2
D' F B2 L' B' U R2
D' F B2 L' B2 U R2
D F B D' B2 L U
D F B' L U' L U2
D F B' L B2 U R'
D' F B2 D L' B2 U
D' F B2 D B2 L' U
D F B' D' L B2 U
D F B' D2 L U R2
D' F' L F2 L' U R2
D' F' L' F2 L' U R2
B' D F B' L U D
B' D F B' L U D'
B' D F B' L U D2
B' D F B' L D U
B' D F B' L D' U
B' D F B' L D2 U
B' D F B' D L U
B' D F B' D' L U
B' D F B' D2 L U
B2 D F D L U B'
D' F' L2 F2 L' U R2
B2 D F B' L B U
B' D F' B' L F2 U
B D F B U2 R' U'
B D F B' L B2 U
B' D F2 B' L F' U
B' D B' D F L U
B' D B' D' F L U
B' D B' D2 F L U
B' D B' F L U D
B' D B' F L U D'
B' D B' F L U D2
B' D B' F L D U
B' D B' F L D' U
B' D B' F L D2 U
B' D B' F D L U
B' D B' F D' L U
B' D B' F D2 L U
B' D B' F' L F2 U
B' D B' F2 L F' U
B D B F U2 R' U'
B2 D B' F L B U
F D B D' B2 L U
F D B' L U' L U2
F D B' L B2 U R'
B D B' F L B2 U
F D B' D' L B2 U
F D B' D2 L U R2
R F' U R' F2 B2 U
R F' U R' B2 F2 U
B2 D' L F L' F U
R F' U F2 R' B2 U
B2 D' R F L' R' U
B2 D' R F R' L' U
B2 D' R2 F L' R2 U
B2 D' R2 F R2 L' U
D' F2 L F' L' U R2
F D' U R' D R' B
D' F2 L' F' L' U R2
F' D' F L' U L' R2
F' D' F L' U R2 L'
B2 D' F L U D' B2
B2 D' F L D' U B2
B2 D' F L2 D L U
B2 D' F L2 D' L U
B2 D' F L2 D2 L U
B' D' F D B' L' U
F2 D' F L' F2 U R2
B' D' F D' B' L' U
B' D' F D2 B' L' U
B' D' F B L' B2 U
B' D' F B' L' U D
B' D' F B' L' U D'
B' D' F B' L' U D2
B' D' F B' L' D U
B' D' F B' L' D' U
B' D' F B' L' D2 U
B' D' F B' D L' U
B' D' F B' D' L' U
B' D' F B' D2 L' U
B' D' F B2 L' B U
B2 D' F D L' U D
B2 D' F D L' U D'
B2 D' F D L' U D2
B2 D' F D L' D U
B2 D' F D L' D' U
B2 D' F D L' D2 U
D' F2 L2 F' L' U R2
B2 D' F D' L' U D
B2 D' F D' L' U D'
B2 D' F D' L' U D2
B2 D' F D' L' D U
B2 D' F D' L' D' U
B2 D' F D' L' D2 U
B2 D' F D2 L' U D
B2 D' F D2 L' U D'
B2 D' F D2 L' U D2
B2 D' F D2 L' D U
B2 D' F D2 L' D' U
B2 D' F D2 L' D2 U
B2 D' F B' L' B U
B2 D' F B2 L' B2 U
B D' F L B L2 U
B2 D' F' L F2 L' U
B D' F L' D B U
F D' U2 F' R U' R
B D' F L' D' B U
B D' F L' D2 B U
B D' F L' B U D
B D' F L' B U D'
B D' F L' B U D2
B D' F L' B D U
B D' F L' B D' U
B D' F L' B D2 U
B2 D' F' L' F2 L' U
B2 D' F' L2 F2 L' U
F D' F L' F' U R2
B D' F D L' B U
B D' F D B L' U
B D' F D' L' B U
F2 D' F' U2 R U' R
B D' F D' B L' U
B D' F D2 L' B U
B D' F D2 B L' U
B D' F B L' U D
B D' F B L' U D'
B D' F B L' U D2
B D' F B L' D U
B D' F B L' D' U
B D' F B L' D2 U
B D' F B D L' U
B D' F B D' L' U
B D' F B D2 L' U
B D' F B' L' B2 U
B2 D' F2 L F' L' U
B2 D' F2 L' F' L' U
B2 D' F2 L2 F' L' U
B2 D' F2 D F' L' U
B2 D' F2 D' F' L' U
B2 D' F2 D2 F' L' U
B' D' B F L' B2 U
B' D' B' F L' U D
B' D' B' F L' U D'
B' D' B' F L' U D2
B' D' B' F L' D U
B' D' B' F L' D' U
B' D' B' F L' D2 U
B' D' B' F D L' U
B' D' B' F D' L' U
B' D' B' F D2 L' U
B D' B F L' U D
B D' B F L' U D'
B D' B F L' U D2
B D' B F L' D U
B D' B F L' D' U
B D' B F L' D2 U
B D' B F D L' U
B2 D' B' F L' B U
B D' B F D' L' U
B D' B F D2 L' U
B' D' B2 F L' B U
B D' B' F L' B2 U
B2 D' B2 F L' B2 U
B2 D2 L U D' B' L
B2 D2 L D' U B' L
B2 D2 L' U' F R U2
F D2 L U D R2 B'
F D2 L U D B' R2
F D2 L U B' D R2
D' F2 D F' L' B2 U
F D2 L U2 F2 U' B'
D' F2 D F' B2 L' U
F D2 L D U R2 B'
F D2 L D U B' R2
F D2 L D2 B2 U B
D' F2 D B2 F' L' U
B2 D2 U L D' B' L
B' D2 F L U B' R'
B2 D2 F L U D B'
B2 D2 F L U D' B'
B2 D2 F L U D2 B'
B2 D2 F L U B' D
B2 D2 F L U B' D'
B2 D2 F L U B' D2
B2 D2 F L D U B'
B2 D2 F L D' U B'
B2 D2 F L D2 U B'
B2 D2 F L' U' F U2
B' D2 F D' B' L U
B' D2 F B' L U B'
B2 D2 F U L B' L'
B D2 F L B U B2
B2 D2 F' L F2 U B'
B D2 F B L U B'
B2 D2 F2 L F' U B'
B' D2 B' D F L' U
B' D2 B' F L U B'
B D2 B D F L' U
B D2 B F L U B'
B' F L U B' R' B
R' B U' B R F U
B2 F L U R' B R
B2 F L U2 R' U' B
B2 F L D2 L U B'
B2 F L' U R' B R
B2 F L' U2 R' U' B
B2 F L' D2 L U B'
D2 B D F L' U R2
B2 F L2 U R' B R
B2 F L2 U2 R' U' B
B2 F L2 D2 L U B'
D' B F L' U R2 D
D' B F L' U R2 D'
D' B F L' U R2 D2
D B D' F B2 L U
D' B F L' D B2 U
D' B F L' B U R2
D' B F L' B' U R2
D' B F L' B2 U R2
B' F R' B' R U B2
D B D' B2 F L U
D' B F D L' B2 U
D' B F D B2 L' U
B' F U R' B D' R2
B2 F U L' D2 L B'
D B F D' B2 L U
B2 F U R' D B R
B2 F U R' D' B R
B2 F U R' D2 B R
B2 F U R' B R D
B2 F U R' B R D'
B2 F U R' B R D2
B2 F U R' B D R
B2 F U R' B D' R
B2 F U R' B D2 R
