B' R F' U' F2 B'
B' R F' U' B' F2
B' R2 U' F B' R'
B' R2 U' B' R' F
B' R2 U' B' F R'
B D F L2 B R'
B D F B L2 R'
B D F B R' L2
B D B R' F L2
B D B F L2 R'
B D B F R' L2
R F' B' U' F2 B'
R F' B' U' B' F2
B F D L2 B R'
F B D L2 B R'
B F D B L2 R'
B F D B R' L2
F B D B L2 R'
F B D B R' L2
R2 B' U' F B' R'
R2 B' U' B' R' F
R2 B' U' B' F R'
R B' F' U' F2 B'
R B' F' U' B' F2
B L2 D L2 F B R'
B L2 D L2 B R' F
B L2 D L2 B F R'
D L2 F U' B' L U2
R U F' B' U' F2 B'
R U F' B' U' B' F2
F R U F' B' U' B'
F R U B' F' U' B'
B' R U' F D R2 B'
B' R U' F D B' R2
B' R U' F B' D R2
B' R U' B' F D R2
B' R D F' U' F2 B'
B' R D F' U' B' F2
R U B' F' U' F2 B'
R U B' F' U' B' F2
B' R D' F' U' F2 B'
B' R D' F' U' B' F2
B2 R D' F L' D R2
B2 R D' F D L' R2
B2 R D' F D R2 L'
B' R D2 F' U' F2 B'
B' R D2 F' U' B' F2
B' R F' R U' F2 B'
B' R F' R U' B' F2
B' R F' R' U' F2 B'
B' R F' R' U' B' F2
B' R F' R2 U' F2 B'
B' R F' R2 U' B' F2
B' R F' U' F2 D B'
B' R F' U' F2 D' B'
B' R F' U' F2 D2 B'
B' R F' U' F2 B' D
B' R F' U' F2 B' D'
B' R F' U' F2 B' D2
B' R F' U' B' F2 D
B' R F' U' B' F2 D'
B' R F' U' B' F2 D2
U' R F' B' U' F2 B'
U' R F' B' U' B' F2
F' R F' B' U' F' B'
F' R F' B' U' B' F'
U2 R F' B' U' F2 B'
U2 R F' B' U' B' F2
F R F' B' U' F B'
F R F' B' U' B' F
U R F' B' U' F2 B'
U R F' B' U' B' F2
U' R B' F' U' F2 B'
U' R B' F' U' B' F2
F' R B' F' U' F' B'
F' R B' F' U' B' F'
U2 R B' F' U' F2 B'
U2 R B' F' U' B' F2
F R B' F' U' F B'
F R B' F' U' B' F
U R B' F' U' F2 B'
U R B' F' U' B' F2
F R B2 U F' B U'
F R B2 U B F' U'
R U' F' B' U' F2 B'
R U' F' B' U' B' F2
B' R' U' F B' D' R2
B' R' U' B' D' R2 F
B' R' U' B' D' F R2
B' R' U' B' F D' R2
B2 R' U' B U F L
B' R' U2 B U F B2
B' R' U2 B U B2 F
R2 U' B' U' R' F B'
R2 U' B' U' R' B' F
R2 U' B' U' F R' B'
R U' B' F' U' F2 B'
R U' B' F' U' B' F2
B2 R' F U' B U L
B' R2 U' R F B' R'
B' R2 U' R B' R' F
B' R2 U' R B' F R'
B' R2 U' R' F B' R'
B' R2 U' R' B' R' F
B' R2 U' R' B' F R'
B' R2 U' R2 F B' R'
B' R2 U' R2 B' R' F
B' R2 U' R2 B' F R'
B' R2 U' D F B' R'
B' R2 U' D B' R' F
B' R2 U' D B' F R'
R U2 F' B' U' F2 B'
R U2 F' B' U' B' F2
B' R2 U' D' F B' R'
B' R2 U' D' B' R' F
B' R2 U' D' B' F R'
B' R2 U' D2 F B' R'
B' R2 U' D2 B' R' F
B' R2 U' D2 B' F R'
B' R2 U' F R B' R'
B' R2 U' F R' B' R'
B' R2 U' F R2 B' R'
B' R2 U' F D B' R'
B' R2 U' F D' B' R'
B' R2 U' F D2 B' R'
B' R2 U' F B' R' D
B' R2 U' F B' R' D'
B' R2 U' F B' R' D2
B' R2 U' F B' D R'
B' R2 U' F B' D' R'
B' R2 U' F B' D2 R'
B' R2 U' F' B' R' F2
B' R2 U' B' R F R2
B' R2 U' B' R' D F
B' R2 U' B' R' D' F
B' R2 U' B' R' D2 F
B' R2 U' B' R' F D
B' R2 U' B' R' F D'
B' R2 U' B' R' F D2
B' R2 U' B' D R' F
B' R2 U' B' D F R'
B' R2 U' B' D' R' F
B' R2 U' B' D' F R'
B' R2 U' B' D2 R' F
B' R2 U' B' D2 F R'
B' R2 U' B' F R' D
B' R2 U' B' F R' D'
B' R2 U' B' F R' D2
B' R2 U' B' F D R'
B' R2 U' B' F D' R'
B' R2 U' B' F D2 R'
B' R2 U' B' F' R' F2
B' R2 D U' F B' R'
B' R2 D U' B' R' F
B' R2 D U' B' F R'
R2 U2 B' U' F R B'
R2 U2 B' U' F B' R
R2 U2 B' U' B' F R
B' R2 D' U' F B' R'
B' R2 D' U' B' R' F
B' R2 D' U' B' F R'
R U2 B' F' U' F2 B'
R U2 B' F' U' B' F2
B' R2 D2 U' F B' R'
B' R2 D2 U' B' R' F
B' R2 D2 U' B' F R'
B' R2 F' U' F2 B' R'
B' R2 F' U' B' R' F2
B' R2 F' U' B' F2 R'
D' R2 F' B' U' R F2
B' R2 F2 U' F' B' R'
B' R2 F2 U' B' F' R'
D' R2 B' U' F' R F2
U' R2 B' U' F B' R'
U' R2 B' U' B' R' F
U' R2 B' U' B' F R'
F' R2 B' U' F2 B' R'
F' R2 B' U' B' R' F2
F' R2 B' U' B' F2 R'
D' R2 B' F' U' R F2
U2 R2 B' U' F B' R'
U2 R2 B' U' B' R' F
U2 R2 B' U' B' F R'
U R2 B' U' F B' R'
U R2 B' U' B' R' F
U R2 B' U' B' F R'
F U R F' B' U' B'
F U R B' F' U' B'
B2 U D B U' R' F
B2 U D B U' F R'
F U R2 B' U' B' R'
B U D F L2 B R'
B U D F B L2 R'
B U D F B R' L2
B U D B R' F L2
B U D B F L2 R'
B U D B F R' L2
B U F D L2 B R'
B U F D B L2 R'
B U F D B R' L2
R' D' R2 F' B' U' F2
R' D' R2 B' F' U' F2
F U B' R F' U' B'
F U B' R2 U' B' R'
B' U' R F D R2 B'
B' U' R F D B' R2
B' U' R F B' D R2
B' U' R B' F D R2
R D' F' R2 B' U' F2
R D' F' B' R2 U' F2
B' U' R' F B' D' R2
B' U' R' B' D' R2 F
B' U' R' B' D' F R2
B' U' R' B' F D' R2
B' U' D F B R' B2
B' U' D B R' F B2
B' U' D B R' B2 F
B' U' D B F R' B2
B' U' D' F' R F2 B'
B' U' D' F' R B' F2
B' U' D' F' B' R F2
B U' D F L2 B R'
R D' B' F' R2 U' F2
B' U' D' B' F' R F2
B U' D F B L2 R'
B U' D F B R' L2
B U' D B R' F L2
B U' D B F L2 R'
B U' D B F R' L2
B' U' F R' B' D' R2
B' U' F D B R' B2
B' U' F B2 D B R'
B U' F D L2 B R'
B U' F D B L2 R'
B U' F D B R' L2
B' U' F2 D' F' R B'
B' U' F2 D' F' B' R
B' U' F2 D' B' F' R
B' U' F2 B' D' F' R
B' U' B' R F D R2
B' U' B' D' F' R F2
B' U' B' F2 D' F' R
B' U' B2 D F B R'
B' U' B2 D B R' F
B' U' B2 D B F R'
B' U' B2 F D B R'
B' U2 R' B U F B2
B' U2 R' B U B2 F
B' U2 R2 U F R B'
B' U2 R2 U F B' R
B' U2 R2 U B' F R
B U2 D F L2 B R'
B U2 D F B L2 R'
B U2 D F B R' L2
B U2 D B R' F L2
B U2 D B F L2 R'
B U2 D B F R' L2
B U2 F D L2 B R'
B U2 F D B L2 R'
B U2 F D B R' L2
R F U F2 B' U' B'
R F U B' F2 U' B'
B D L2 B R' D2 F2
B D L2 B D2 R' F2
B D L2 B D2 F2 R'
U' F B D L2 B R'
U' F B D B L2 R'
U' F B D B R' L2
D' F B D L2 B2 R'
U2 F B D L2 B R'
U2 F B D B L2 R'
U2 F B D B R' L2
D F B D' R' B2 L
U F B D L2 B R'
U F B D B L2 R'
U F B D B R' L2
B2 D U B U' R' F
B2 D U B U' F R'
R F B D L2 B R2
B' D U' F B R' B2
R F B D B L2 R2
R F B D B R2 L2
B' D U' B R' F B2
B' D U' B R' B2 F
B' D U' B F R' B2
B D U F L2 B R'
B D U F B L2 R'
B D U F B R' L2
B D U B R' F L2
B D U B F L2 R'
B D U B F R' L2
B D U' F L2 B R'
B D U' F B L2 R'
B D U' F B R' L2
R F B2 U F2 B U'
R F B2 U B F2 U'
B D U' B R' F L2
B D U' B F L2 R'
B D U' B F R' L2
B2 D F U B U' R'
B D U2 F L2 B R'
B D U2 F B L2 R'
B D U2 F B R' L2
B D U2 B R' F L2
B D U2 B F L2 R'
B D U2 B F R' L2
B D F L' B L' R'
B D F L' B R' L'
B D F L2 B R' D
B D F L2 B R' D'
B D F L2 B R' D2
B D F L2 B D R'
B D F L2 B D' R'
B D F L2 B D2 R'
B D F B L2 R' D
B D F B L2 R' D'
B D F B L2 R' D2
B D F B L2 D R'
B D F B L2 D' R'
B D F B L2 D2 R'
B D F B R' L2 D
B D F B R' L2 D'
B D F B R' L2 D2
B D F' L2 F2 B R'
B D F' L2 B R' F2
B D F' L2 B F2 R'
B D F' B L2 R' F2
B D F' B L2 F2 R'
B D F' B R' L2 F2
B D F' B R' F2 L2
B D F2 L2 F' B R'
B D F2 L2 B F' R'
B2 D B U' R' F B'
B2 D B U' R' B' F
B2 D B U' F R' B'
B D F2 B L2 F' R'
R F' R B' U' F2 B'
R F' R B' U' B' F2
B D B R F L2 R2
B D B R F R2 L2
B D B R' F L2 D
B D B R' F L2 D'
B D B R' F L2 D2
B D B R' F' L2 F2
B D B R' F2 L2 F'
B D B F L2 R' D
B D B F L2 R' D'
B D B F L2 R' D2
B D B F L2 D R'
B D B F L2 D' R'
B D B F L2 D2 R'
B D B F R' L2 D
B D B F R' L2 D'
B D B F R' L2 D2
B D B F' L2 R' F2
B D B F' L2 F2 R'
B D B F' R' L2 F2
B D B F' R' F2 L2
B D B F2 L2 F' R'
F D B D' R' B2 L
R F' R' B' U' F2 B'
R F' R' B' U' B' F2
R F' R2 B' U' F2 B'
R F' R2 B' U' B' F2
R F' D' R2 B' L2 U'
R F' D' B' L2 R2 U'
R F' D' B' R2 L2 U'
D' F' B' R2 U' R' F2
D' F' B' R2 U' F2 R'
R2 F' B' U' F2 B' R'
R2 F' B' U' B' R' F2
R2 F' B' U' B' F2 R'
B D' R2 F' U2 R F2
B' D' U' F' R F2 B'
B' D' U' F' R B' F2
B' D' U' F' B' R F2
B' D' U' B' F' R F2
R F' B' R U' F2 B'
R F' B' R U' B' F2
R F' B' R' U' F2 B'
R F' B' R' U' B' F2
R F' B' R2 U' F2 B'
R F' B' R2 U' B' F2
R F' B' U' F2 D B'
R F' B' U' F2 D' B'
R F' B' U' F2 D2 B'
R F' B' U' F2 B' D
R F' B' U' F2 B' D'
R F' B' U' F2 B' D2
R F' B' U' B' F2 D
R F' B' U' B' F2 D'
R F' B' U' B' F2 D2
B' D' F' U' R F2 B'
B' D' F' U' R B' F2
B' D' F' U' B' R F2
B D' F' B R F2 L'
B D' B F' R F2 L'
R2 F2 B' U' F' B' R'
R2 F2 B' U' B' F' R'
D B R' D F L2 B'
R' B U D F L2 B
R' B U D F B L2
R' B U D B F L2
R' B U F D L2 B
R' B U F D B L2
R' B U2 B2 U' F B'
R' B U2 B2 U' B' F
B F L D L2 B R'
U' B D F L2 B R'
B F L D B L2 R'
B F L D B R' L2
U' B D F B L2 R'
U' B D F B R' L2
R' B D U F L2 B
R' B D U F B L2
R' B D U B F L2
U' B D B R' F L2
U' B D B F L2 R'
U' B D B F R' L2
F B L D L2 B R'
F B L D B L2 R'
F B L D B R' L2
B F L' D L2 B R'
B F L' D B L2 R'
B F L' D B R' L2
U2 B D F L2 B R'
U2 B D F B L2 R'
U2 B D F B R' L2
U2 B D B R' F L2
U2 B D B F L2 R'
U2 B D B F R' L2
F B L' D L2 B R'
D B D R' F L2 B'
F B L' D B L2 R'
F B L' D B R' L2
B' F R F' U' F B'
B' F R F' U' B' F
D B D F L2 R' B'
D B D F R' L2 B'
B F L2 D L2 B R'
B F L2 D B L2 R'
B F L2 D B R' L2
R' B D2 F2 U F' B
R' B D2 F2 U B F'
U B D F L2 B R'
U B D F B L2 R'
U B D F B R' L2
F B L2 D L2 B R'
D B D' R' F B2 L
F B L2 D B L2 R'
D B D' R' B2 F L
F B L2 D B R' L2
U B D B R' F L2
U B D B F L2 R'
U B D B F R' L2
D B D' F R' B2 L
B2 F R' U' B U L
U' B F D L2 B R'
U' B F D B L2 R'
