F' D R2 F' B L
F' D R2 B L F'
F' D R2 B F' L
F' D R2 B F' L
R2 F' D R2 B L
F2 B U' F' U' L
B F2 U' F' U' L
F' L D R2 F' B L
F' L D R2 B L F'
F' L D R2 B F' L
F2 L B U' F' U' L
F' L' D R2 F' B L
F' L' D R2 B L F'
F' L' D R2 B F' L
F2 L' B U' F' U' L
F' L2 D R2 F' B L
F' L2 D R2 B L F'
F' L2 D R2 B F' L
B L2 F2 R U B' U
F2 L2 B U' F' U' L
D' L2 B' U' R' B2 U2
D' L2 B' U' B2 U2 L
B R F2 U' F' U' L
B' R' F2 B2 U' F' U'
B R' F2 U' F' U' L
B' R' B2 F2 U' F' U'
R2 U2 F' L' D R2 B
R2 U2 F' D L' R2 B
R2 U2 F' D R2 L' B
R2 U2 F' D R2 B L'
F2 R2 U B U F' L'
F' R2 D F' B L R2
F' R2 D F' B R2 L
F' R2 D B L F' R2
F' R2 D B F' L R2
F' R2 D B F' R2 L
U2 R2 F' L' D R2 B
D R2 F B U' L F2
D R2 F B U' F2 L
U2 R2 F' D L' R2 B
U2 R2 F' D R2 L' B
U2 R2 F' D R2 B L'
F' R2 B L D F' R2
B R2 F2 U' F' U' L
F' R2 B D L F' R2
F' R2 B D F' L R2
F' R2 B D F' R2 L
D R2 B F U' L F2
D R2 B F U' F2 L
U2 D R2 F U' F2 L'
U' D F R2 U' F' L'
B U D' L2 B' U L'
D U' F R2 U' F' L'
B U' D R2 F U' L
B U' D F R2 U' L
B U' D2 F U' L B2
B U' F U F U2 L
B U' F U' L2 B' L'
F2 U' F' U B U2 L
D U2 R2 F U' F2 L'
F' U2 D R2 F' L' B
F' U2 D R2 F' B L'
F' U2 D R2 B F' L'
U' F U F B U2 L
U' F U B F U2 L
D F R2 B U' L F'
D F R2 B U' F' L
U2 F U B R F U2
F' D L R2 F' B L
F' D L R2 B L F'
F' D L R2 B F' L
U F U F B R U2
U F U B F R U2
F' D L' R2 F' B L
F' D L' R2 B L F'
F' D L' R2 B F' L
F' D L2 R2 F' B L
F' D L2 R2 B L F'
F' D L2 R2 B F' L
F' D R2 L F' B L
F' D R2 L B L F'
F' D R2 L B F' L
F' D R2 L' F' B L
F' D R2 L' B L F'
F' D R2 L' B F' L
F' D R2 L2 F' B L
F' D R2 L2 B L F'
F' D R2 L2 B F' L
F' D R2 D F' B L
F' D R2 D B L F'
F' D R2 D B F' L
F' D R2 D' F' B L
F' D R2 D' B L F'
F' D R2 D' B F' L
F' D R2 D2 F' B L
F' D R2 D2 B L F'
F' D R2 D2 B F' L
F' D R2 F B L F2
F' D R2 F' L B L
F' D R2 F' L' B L
F' D R2 F' L2 B L
F' D R2 F' D B L
F' D R2 F' D' B L
F' D R2 F' D2 B L
F' D R2 F' B L D
F' D R2 F' B L D'
F' D R2 F' B L D2
F' D R2 F' B D L
F' D R2 F' B D' L
F' D R2 F' B D2 L
F' D R2 B L D F'
F' D R2 B L D' F'
F' D R2 B L D2 F'
F' D R2 B L F' D
F' D R2 B L F' D'
F' D R2 B L F' D2
F' D R2 B L' F' L2
F' D R2 B D L F'
F' D R2 B D F' L
F' D R2 B D' L F'
F' D R2 B D' F' L
F' D R2 B D2 L F'
F' D R2 B D2 F' L
F' D R2 B F L F2
F' D R2 B F' L D
F' D R2 B F' L D'
F' D R2 B F' L D2
F' D R2 B F' D L
F' D R2 B F' D' L
F' D R2 B F' D2 L
F' D U2 R2 F' L' B
F' D U2 R2 F' B L'
F' D U2 R2 B F' L'
R2 F' L D R2 B L
B D U' R2 F U' L
B D U' F R2 U' L
U2 F' L' D R2 F' B
U2 F' L' D R2 B F'
R2 F' L' D R2 B L
F' D F' U2 R2 F' L'
R2 F' L2 D R2 B L
F' D F' B U2 L R2
F' D F' B U2 R2 L
F' D B U2 L R2 B
F' D B U2 R2 L B
F2 D B U' F' U' L
F' D B F' U2 L R2
F' D B F' U2 R2 L
R2 F' R2 D B L R2
R2 F' R2 D B R2 L
R2 F' R2 B L D R2
R2 F' R2 B D L R2
R2 F' R2 B D R2 L
U2 F' D L' R2 F' B
U2 F' D L' R2 B F'
U2 F' D R2 L' F' B
U2 F' D R2 L' B F'
R2 F' D L R2 B L
U2 F' D R2 B L' F'
R2 F' D L' R2 B L
R2 F' D L2 R2 B L
F' D' L2 F' B U2 L
R2 F' D R2 L B L
R2 F' D R2 L' B L
R2 F' D R2 L2 B L
R2 F' D R2 D B L
R2 F' D R2 D' B L
R2 F' D R2 D2 B L
R2 F' D R2 B L D
R2 F' D R2 B L D'
R2 F' D R2 B L D2
R2 F' D R2 B D L
R2 F' D R2 B D' L
R2 F' D R2 B D2 L
F' D' L2 B F' U2 L
R2 F' D B L R2 B
R2 F' D B R2 L B
R2 F' B L D R2 B
R2 F' B D L R2 B
R2 F' B D R2 L B
B D' U L2 B' U L'
F' D' F' L2 B U2 L
F' D' F' B L2 U2 L'
F2 D' B U' F' U' L
F' D' B F' L2 U2 L'
U' F2 B U' F' U' L'
L F2 D' B U2 L R'
L F2 D' B U2 R' L
L2 F2 B U2 L D' R2
L2 F2 B U2 D' L R2
L2 F2 B U2 D' R2 L
L2 F2 B D L2 U2 L'
L2 F2 B D' U2 L R2
L2 F2 B D' U2 R2 L
B D2 U' F U' L B2
B' D2 F U' F B2 L
B' D2 F U' B2 F L
F2 D2 B U' F' U' L
D' B U L2 B' U L'
D2 B U' F U' L B
D2 B U2 L D' B R'
D B U' R2 F U' L
D B U' F R2 U' L
F2 B L' U' F' U' L2
B2 F L2 U' F B' L
B2 F L2 U' B' F L
B' F U R' F B2 U2
B' F U R' B2 F U2
U' B F2 U' F' U' L'
B' F U F R' B2 U2
B' F U F B2 U2 L
R2 B F' L D R2 B
B' F U B2 F U2 L
B2 F U F B' U2 L
R2 B F' D L R2 B
R2 B F' D R2 L B
B2 F U B' F U2 L
L2 B F2 U2 L D' R2
L2 B F2 U2 D' L R2
L2 B F2 U2 D' R2 L
B2 F U' L2 F B' L
L2 B F2 D L2 U2 L'
B2 F U' L2 B' F L
L2 B F2 D' U2 L R2
L2 B F2 D' U2 R2 L
F2 B U' D F' U' L
F2 B U' D' F' U' L
F2 B U' D2 F' U' L
F2 B U' F' U' L D
F2 B U' F' U' L D'
F2 B U' F' U' L D2
F2 B U' F' U' D L
F2 B U' F' U' D' L
F2 B U' F' U' D2 L
F2 B U' F' D U' L
F' B U2 L D R2 B
F2 B U' F' D' U' L
F2 B U' F' D2 U' L
F2 B U2 L U F' U'
F' B U2 D L R2 B
F' B U2 D R2 L B
F' B D U2 L R2 B
F' B D U2 R2 L B
F' B D F' U2 L R2
F' B D F' U2 R2 L
F2 B D U' F' U' L
F' B D' F' L2 U2 L'
F2 B D' U' F' U' L
F2 B D2 U' F' U' L
L2 B' U D2 F2 B2 L
L2 B' U D2 B2 L F2
L2 B' U D2 B2 F2 L
L2 B' U' R' F2 B2 U2
L2 B' U' R' B2 F2 U2
L2 B' U' F2 R' B2 U2
L2 B' U' F2 B2 U2 L
L2 B' U' B2 F2 U2 L
L2 B' D2 U F2 B2 L
L2 B' D2 U B2 L F2
L2 B' D2 U B2 F2 L
F B' U R' F B2 U2
F B' U R' B2 F U2
F B' U F R' B2 U2
F B' U F B2 U2 L
F B' U B2 F U2 L
B F' U2 L D R2 B
B F' U2 D L R2 B
B F' U2 D R2 L B
B F' D U2 L R2 B
B F' D U2 R2 L B
B F' D F' U2 L R2
B F' D F' U2 R2 L
B F' D' F' L2 U2 L'
D' B2 L2 B' U F L
B F2 L' U' F' U' L2
