B' L D R F' R B
F L' U' B D2 B2 L
F L' U' B' L D2 B2
F L' U' B' D2 L B2
F2 L' F' L' U' B' L
F L' B U R' F2 U2
F L' B U F2 R' U2
F L' B U' D2 B2 L
F L' B D2 U' B2 L
F L' B' U F2 U2 L
F L' B' U' L D2 B2
F L' B' U' D2 L B2
F L' B' D R2 U' L
F L' B' D2 U' L B2
F L2 D L R2 B' U'
F L2 D L B' R2 U'
F L2 D R2 L B' U'
R U2 F L' U' B' L
B' R2 F L' U' L2 B
B' R2 F L' U' B L2
F' U' F2 L' B' U' L
F' U' F2 B' L' U' L2
F' U' B' F2 L' U' L2
R2 F L' U' B' L B2
R2 F L' B' U' L B2
F D L R2 B' L2 U'
D2 F D R2 U' L' F
F D L B' L2 R2 U'
F D L B' R2 L2 U'
F D L' R2 U2 F U
R2 F B' L' U' L2 B2
R2 F B' L' U' B2 L2
F D R2 L B' L2 U'
F D R2 L' U2 F U
L2 F' U R B' U L
L2 F' U B' R U L
F' D' L2 U R F' U
D2 F' D' L2 R U2 F'
D2 F' D' R L2 U2 F'
B' F L' U F2 U2 L2
B' F L' U' L2 D2 B2
B F L' U R' F2 U2
B F L' U F2 R' U2
B F L' U' D2 B2 L
B F L' D2 U' B2 L
F B L' U R' F2 U2
F B L' U F2 R' U2
F B L' U' D2 B2 L
F B L' D2 U' B2 L
F' B R' D B2 U2 R2
F' B R' D' L2 U2 F2
B' F D L' R2 U' L2
B' F D R2 L' U' L2
B' F D2 L' U' L2 B2
B' F D2 L' U' B2 L2
B F D2 L' U' B2 L
F B D2 L' U' B2 L
F B' L' U F2 U2 L2
F B' L' U' L2 D2 B2
B F' R' D B2 U2 R2
B F' R' D' L2 U2 F2
B' F' U' F2 L' U' L2
F' B' U' F2 L' U' L2
B2 F' U' F2 L' B' U'
R2 B' F L' U' L2 B2
R2 B' F L' U' B2 L2
F B' D L' R2 U' L2
F B' D R2 L' U' L2
F B' D2 L' U' L2 B2
F B' D2 L' U' B2 L2
F' B2 U' F2 L' B' U'
