B L D' R2 B'
B L D' B' R2
B L R D' R2 B'
B L R D' B' R2
B L R' D' R2 B'
B L R' D' B' R2
B L R2 D' R2 B'
B L R2 D' B' R2
B L U' B2 U B
B L D B' D2 R2
B L D' R B' R
B L D' R2 D B'
B L D' R2 D' B'
B L D' R2 D2 B'
B L D' R2 B' D
B L D' R2 B' D'
B L D' R2 B' D2
B L D' B R2 B2
B L D' B' R2 D
B L D' B' R2 D'
B L D' B' R2 D2
B L D2 B' D R2
B L D2 B' D R2
U' L F U B' R'
B2 L B' L D' R2
B L B' U' B' U
B2 L B' D' L R2
B2 L B' D' R2 L
B L2 D' L' R2 B'
B L2 D' L' B' R2
B L2 D' R2 L' B'
B R L D' R2 B'
B R L D' B' R2
B R' L D' R2 B'
B R' L D' B' R2
D2 R' B L D' R2
D2 R' B D' L R2
D2 R' B D' R2 L
B R2 L D' R2 B'
B R2 L D' B' R2
U' D' B' L F U
D' U' B' L F U
B D' R2 D L B'
R' B L D' R2 B'
R' B L D' B' R2
R2 B L D' R2 B'
R2 B L D' B' R2
R B L D' R2 B'
R B L D' B' R2
D B D' L R2 B'
D B D' L B' R2
D B D' R2 L B'
U' B' L F U B'
U' B' U B L B'
B L R U' B2 U B
B L R D B' D2 R2
B L R D' R B' R
B L R D' R2 D B'
B L R D' R2 D' B'
B L R D' R2 D2 B'
B L R D' R2 B' D
B L R D' R2 B' D'
B L R D' R2 B' D2
B L R D' B R2 B2
B L R D' B' R2 D
B L R D' B' R2 D'
B L R D' B' R2 D2
B L R D2 B' D R2
B L R B' U' B' U
B L R' U' B2 U B
B L R' D B' D2 R2
B L R' D' R B' R
B L R' D' R2 D B'
B L R' D' R2 D' B'
B L R' D' R2 D2 B'
B L R' D' R2 B' D
B L R' D' R2 B' D'
B L R' D' R2 B' D2
B L R' D' B R2 B2
B L R' D' B' R2 D
B L R' D' B' R2 D'
B L R' D' B' R2 D2
B L R' D2 B' D R2
B L R' B' U' B' U
B L R2 U' B2 U B
B L R2 D B' D2 R2
B L R2 D' R B' R
B L R2 D' R2 D B'
B L R2 D' R2 D' B'
B L R2 D' R2 D2 B'
B L R2 D' R2 B' D
B L R2 D' R2 B' D'
B L R2 D' R2 B' D2
B L R2 D' B R2 B2
B L R2 D' B' R2 D
B L R2 D' B' R2 D'
B L R2 D' B' R2 D2
B L R2 D2 B' D R2
B L R2 B' U' B' U
B L U D2 F2 U' B'
B2 L U' B U B2 L
B L U' B2 L U B
B L U' B2 L' U B
B L U' B2 L2 U B
B L U' B2 U D B
B L U' B2 U D' B
B L U' B2 U D2 B
B L U' B2 U B D
B L U' B2 U B D'
B L U' B2 U B D2
B L U' B2 D U B
B L U' B2 D' U B
B L U' B2 D2 U B
B L U2 D L2 F U2
B L D R D2 R2 B'
B L D R D2 B' R2
B L D R B' D2 R2
B L D R' D2 R2 B'
B L D R' D2 B' R2
B L D R' B' D2 R2
B L D R2 D2 R2 B'
B L D R2 D2 B' R2
B L D R2 B' D2 R2
U' L D F U B' R'
B L D U2 L2 F U2
B L D B' R D2 R2
B L D B' R' D2 R2
B L D B' R2 D2 R2
B L D B' U2 L2 U2
B L D B' D2 R2 D
B L D B' D2 R2 D'
B L D B' D2 R2 D2
B L D B2 D2 B R2
B L D' R D R B'
B L D' R D B' R
B L D' R D' R B'
B L D' R D' B' R
B L D' R D2 R B'
B L D' R D2 B' R
B L D' R B R B2
B L D' R B' R D
B L D' R B' R D'
B L D' R B' R D2
B L D' R B' D R
B L D' R B' D' R
B L D' R B' D2 R
B L D' R' D R' B'
B L D' R' D' R' B'
B L D' R' D2 R' B'
B L D' R2 D B' D
B L D' R2 D B' D'
B L D' R2 D B' D2
B L D' R2 D' B' D
B L D' R2 D' B' D'
B L D' R2 D' B' D2
B L D' R2 D2 B' D
B L D' R2 D2 B' D'
B L D' R2 D2 B' D2
B L D' R2 B2 D B
B L D' R2 B2 D' B
B L D' R2 B2 D2 B
U' L D' F U B' R'
B L D' F' R2 F B'
B L D' F' R2 B' F
B L D' F' B' R2 F
B L D' F2 R2 F2 B'
B L D' F2 R2 B' F2
B L D' F2 B' R2 F2
B L D' B R B2 R
B L D' B R2 B2 D
B L D' B R2 B2 D'
B L D' B R2 B2 D2
B L D' B' R D R
B L D' B' R D' R
B L D' B' R D2 R
B L D' B' R' D R'
B L D' B' R' D' R'
B L D' B' R' D2 R'
B L D' B' F' R2 F
B L D' B' F2 R2 F2
B L D2 R D R2 B'
B L D2 R D B' R2
B L D2 R B' D R2
B L D2 R' D R2 B'
B L D2 R' D B' R2
B L D2 R' B' D R2
B L D2 R2 D R2 B'
B L D2 R2 D B' R2
B L D2 R2 B' D R2
B L D2 U F2 U' B'
U' L D2 F U B' R'
B L D2 B' R D R2
B L D2 B' R' D R2
B L D2 B' R2 D R2
B L D2 B' U F2 U'
B L D2 B' D R2 D
