U R' U B U F
U L2 R' B' U B2 U
U L2 R' B' U2 D' R2
U L2 R' B' D L2 U2
U L2 R' B' D' U2 R2
D2 L2 U R' B' U2 R'
D L2 U R' B' L U2
U L2 D R' B' L U2
L2 U R' B' U B2 U
L2 U R' B' U2 D' R2
L2 U R' B' D L2 U2
L2 U R' B' D' U2 R2
L2 U D R' B' L U2
R' U B U2 R U' F
U' R D F D L2 R2
U' R D F D R2 L2
U' R D2 F L2 D R2
U' R F D R2 D L2
U' R F D2 L2 D' R2
B2 R F' R' U' L F2
B2 R F' R' U' F2 L
R' U' R2 F' R' U' F2
U R' L2 B' U B2 U
U R' L2 B' U2 D' R2
U R' L2 B' D L2 U2
U R' L2 B' D' U2 R2
U2 R' U B U F B'
U2 R' U B U B' F
U R' U R' U F R
U R' U D B U F
U R' U D' B U F
U R' U D2 B U F
U R' U B R U F
U R' U B R' U F
U R' U B R2 U F
U R' U B U D F
U R' U B U D' F
U R' U B U D2 F
U R' U B U F D
U R' U B U F D'
U R' U B U F D2
U R' U B D U F
U R' U B D' U F
U R' U B D2 U F
U R' U2 R2 F D R2
U R' U2 F U' B U
U R' D U B U F
U R' D' U B U F
U R' D2 U B U F
U R' B' U B2 U F
U R' B' U2 D' R2 F
U R' B' U2 D' F R2
U R' B' U2 F D' R2
U R' B' D L2 B' U2
U R' B' D' U2 R2 F
U R' B' D' U2 F R2
U R' B2 U B' U F
U2 R2 U F2 L' F' R
U2 R2 U' R U2 F R
L2 D U R' B' L U2
D U L2 R' B' L U2
U D L2 R' B' L U2
R D F' R' B2 U' F2
F' U R' U B U F2
D' U R' U2 F' R F2
D U R' L2 B' L U2
U D R' L2 B' L U2
D U R' B U2 R' F
D U R' B U2 F R'
D U R' B2 U2 F R
U D R' B U2 R' F
U D R' B U2 F R'
U D R' B2 U2 F R
D U B2 U2 F L R
D U B2 U2 F R L
U D B2 U2 F L R
U D B2 U2 F R L
D' U' R F' R F2 L'
U' D' R F' R F2 L'
U D' R' U2 F' R F2
D' U' F U2 L' R' U2
U' D' F U2 L' R' U2
B2 U' R F L D R2
D' U' F U2 R' L' U2
U' D' F U2 R' L' U2
B2 U' R F D L R2
B2 U' R F D R2 L
D' U' F' R F2 D2 L2
U' D' F' R F2 D2 L2
U' D' F' R2 F2 L' R'
D' U' F' R2 F2 L' R'
D' U' F' R2 F2 R' L'
U' D' F' R2 F2 R' L'
B2 U' D' F L D2 R2
B2 U' D' F' L R F2
B2 U' D' F' R L F2
B2 U' D' F' R F2 L
F2 U' D' F' R D2 L2
B2 U' F2 L D' F' R
B2 U' F2 D' L F' R
B2 U' F2 D' F' L R
B2 U' F2 D' F' R L
R D2 F' R' U' L2 F2
R D2 F' R' U' F2 L2
B2 U2 R2 U F L R
B2 U2 R2 U F R L
F U2 R' U B U B'
R F R D R2 B2 L
U' F U2 R' U B U
D' F' U R' U2 R2 F2
D' F' U R' U2 F2 R2
R F' R' U R' U2 F2
B D B U' R' F L
B D B U' F L R'
B D B U' F R' L
R F' R' B2 U' L F2
R F' R' B2 U' F2 L
D' F' U' R F2 D2 L2
D' F' U' R2 F2 L' R'
D' F' U' R2 F2 R' L'
R F' D R' B2 L U'
D' F' B2 U' L R F2
D' F' B2 U' R L F2
D' F' B2 U' R F2 L
B2 D' U' F L D2 R2
B2 D' U' F' L R F2
B2 D' U' F' R L F2
B2 D' U' F' R F2 L
F2 D' U' F' R D2 L2
B2 D' F' U' L R F2
B2 D' F' U' R L F2
B2 D' F' U' R F2 L
R' F2 U L' B U F'
R' F2 U B L' U F'
F2 D' B2 U' L F' R
F2 D' B2 U' F' L R
F2 D' B2 U' F' R L
U' F2 D' F' R D2 L2
U2 B R' B U F L
U2 B2 R2 U F L R
U2 B2 R2 U F R L
D' B2 U' F L D2 R2
D' B2 U' F' L R F2
D' B2 U' F' R L F2
D' B2 U' F' R F2 L
B2 F2 U' L D' F' R
F2 B2 U' L D' F' R
B2 F2 U' D' L F' R
B2 F2 U' D' F' L R
B2 F2 U' D' F' R L
F2 B2 U' D' L F' R
F2 B2 U' D' F' L R
F2 B2 U' D' F' R L
D' B2 F' U' L R F2
D' B2 F' U' R L F2
D' B2 F' U' R F2 L
B2 F2 D' U' L F' R
B2 F2 D' U' F' L R
B2 F2 D' U' F' R L
F2 B2 D' U' L F' R
F2 B2 D' U' F' L R
F2 B2 D' U' F' R L
