D R F' U' L' F2 U'
F' U L' R F2 B' U'
F' U L' R B' F2 U'
F' U L' B' R F2 U'
F' U R L' F2 B' U'
F' U R L' B' F2 U'
F' U' L' R F2 B U'
F' U' L' R B F2 U'
F' U' R L' F2 B U'
F' U' R L' B F2 U'
F' U' R B L' F2 U'
F U2 L' R F U L'
F U2 L' D R F' U
F U2 R L' F U L'
F U2 R D' L' F U
F U2 R F U L' B'
F U2 D L' R F' U
F U2 D R L' F' U
F U2 D' L' R F U
F U2 D' R L' F U
R F U2 L' R U L
R F U2 R L' U L
R' F' L' R F2 U' L'
F D U2 L' R F' U
F D U2 R L' F' U
R' F' R L' F2 U' L'
R F' U' L' R F2 U'
R F' U' R L' F2 U'
F D' U2 L' R F U
F D' U2 R L' F U
