B U F' U R B
B L F L' U F2 U
B L F L' U2 D' L2
B L F L' D R2 U2
B L F L' D' U2 L2
B L F U F2 U R
B L F D L' R2 U2
B L F D R2 L' U2
B L F D' L' U2 L'
F' L' R2 U F' R' B'
F' L' U R2 F' R' B'
F' L' U B' R D2 F2
F' L' U B' D2 R F2
B L' U F' U R B'
B L' U F' U B' R
F' L' U' B U2 R B2
F' L' U' B U2 B2 R
R2 L' F' R D B' L
R2 L' F' B' R D L2
R2 L' F' B' D L2 R
R2 L' F' B' D R L2
F L' D R2 U2 F' B'
F L' D R2 U2 B' F'
F L' D B R2 U2 B2
R2 L' B U' F' R B2
R2 L' B U' F' B2 R
R2 L' B U' B2 F' R
F L' D' B U2 L2 B2
F L' D' B U2 B2 L2
R2 L' B' F' R D L2
R2 L' B' F' D L2 R
R2 L' B' F' D R L2
F L' B U F2 U B2
F L' B U2 B2 D' L2
L' R2 F' R D B' L
L' R2 F' B' R D L2
L' R2 F' B' D L2 R
L' R2 F' B' D R L2
L' R2 B U' F' R B2
L' R2 B U' F' B2 R
L' R2 B U' B2 F' R
L' R2 B' F' R D L2
L' R2 B' F' D L2 R
L' R2 B' F' D R L2
R2 U' B U' F' R B
F' R2 L' U F' R' B'
U' R2 B U' F' R B
B U L F' U R B
B U L' F' U R B
B U L2 F' U R B
B U F' L U R B
B U F' L' U R B
B U F' L2 U R B
B U F' U R D B
B U F' U R D' B
B U F' U R D2 B
B U F' U R B D
B U F' U R B D'
B U F' U R B D2
B U F' U D R B
B U F' U D' R B
B U F' U D2 R B
B U F' U B R B
B U F' U B' R B
B U F' U B2 R B
B U F' D U R B
B U F' D' U R B
B U F' D2 U R B
B U F' B L U R
B U B L F' U R
B U B F' L U R
F' U2 R2 U' F' R' B
L F L' D R2 U2 F'
L F L' D B R2 U2
L F L' D' B U2 L2
L F L' B U F2 U
L F L' B U2 D' L2
L F L' B D R2 U2
L F L' B D' U2 L2
F D L' R2 U2 F' B'
F D L' R2 U2 B' F'
L F D L' R2 U2 F'
L F D L' B R2 U2
F D L' B R2 U2 B2
L F D R2 L' U2 F'
L F D B L' R2 U2
L F D B R2 L' U2
L F D' L' B U2 L'
L F D' B L' U2 L'
L F B L' U F2 U
L F B L' U2 D' L2
L F B L' D R2 U2
L F B L' D' U2 L2
F D R2 L' U2 F' B'
F D R2 L' U2 B' F'
L F B U F2 U R
L F B D L' R2 U2
L F B D R2 L' U2
L F B D' L' U2 L'
U' F' L' R2 U F' R'
U' F' L' U R2 F' R'
U' F' L' U' B U2 R
R2 F' L' R D B' L
R2 F' L' B' R D L2
R2 F' L' B' D L2 R
R2 F' L' B' D R L2
R2 F' R L' D B' L
R2 F' R D L' B' L
U' F' R2 L' U F' R'
L' F' R2 U F' R' B'
U2 F' R2 U F' R' B
F D B L' R2 U2 B'
L' F' U R2 F' R' B'
F D B R2 L' U2 B'
L' F' U B' R D2 F2
L' F' U B' D2 R F2
L' F' U' B U2 R B2
L' F' U' B U2 B2 R
U F' U R2 F' R' B
L F' U' F2 L' B U2
U F' U' B U2 R B
L F' U' F2 B L' U2
L F' U' B F2 L' U2
F D' L' B U2 L' B2
F D' L' B U2 B2 L'
F D' B L' U2 B' L'
R2 B L' U' F' R B'
R2 B L' U' F' B' R
R2 B L' U' B' F' R
L' B U F' U R B2
L' B U F' U B2 R
U2 B U F' L' U R
U B U L F' U R
U B U F' L U R
B F L' U F2 U B'
B F L' U2 D' B' L2
B F L' U2 B' D' L2
B F L' D R2 U2 B'
B F L' D' U2 B' L2
F B L' U F2 U B'
F B L' U2 D' B' L2
F B L' U2 B' D' L2
F B L' D R2 U2 B'
F B L' D' U2 B' L2
L B F L' U F2 U
L B F L' U2 D' L2
L B F L' D R2 U2
L B F L' D' U2 L2
L B F U F2 U R
L B F D L' R2 U2
L B F D R2 L' U2
L B F D' L' U2 L'
B F U F2 U R B
F B U F2 U R B
B F D L' R2 U2 B'
B F D R2 L' U2 B'
F B D L' R2 U2 B'
F B D R2 L' U2 B'
B F D' L' U2 B' L'
F B D' L' U2 B' L'
