B2 U' R' F' B
B2 U' R' B F'
B2 L U' R' F' B
B2 L U' R' B F'
B2 L' U' R' F' B
B2 L' U' R' B F'
B2 L2 U' R' F' B
B2 L2 U' R' B F'
B2 L2 U' R' B F'
B2 U' R' D F' B
B2 U' R' D B F'
B2 U' R' D' F' B
B2 U' R' D' B F'
B2 U' R' D2 F' B
B2 U' R' D2 B F'
B2 U' R' F' D B
B2 U' R' F' D' B
B2 U' R' F' D2 B
B2 U' R' F' B D
B2 U' R' F' B D'
B2 U' R' F' B D2
B2 U' R' B D F'
B2 U' R' B D' F'
B2 U' R' B D2 F'
B2 U' R' B F' D
B2 U' R' B F' D'
B2 U' R' B F' D2
B2 U' F R' F' B
B2 U' F R' B F'
B2 U' F' R' F' B
B2 U' F' R' B F'
B2 U' F2 R' F' B
B2 U' F2 R' B F'
B2 F' L' U' R' B
F' B2 L' U' R' B
R' B2 U' R' F' B'
R' B2 U' R' B' F'
B2 L U' R' D F' B
B2 L U' R' D B F'
B2 L U' R' D' F' B
B2 L U' R' D' B F'
B2 L U' R' D2 F' B
B2 L U' R' D2 B F'
B2 L U' R' F' D B
B2 L U' R' F' D' B
B2 L U' R' F' D2 B
B2 L U' R' F' B D
B2 L U' R' F' B D'
B2 L U' R' F' B D2
B2 L U' R' B D F'
B2 L U' R' B D' F'
B2 L U' R' B D2 F'
B2 L U' R' B F' D
B2 L U' R' B F' D'
B2 L U' R' B F' D2
B2 L U' F R' F' B
B2 L U' F R' B F'
B2 L U' F' R' F' B
B2 L U' F' R' B F'
B2 L U' F2 R' F' B
B2 L U' F2 R' B F'
L R F' U' L' B2 U'
L R F' U' B2 L' U'
R L F' U' L' B2 U'
R L F' U' B2 L' U'
B2 L F' L' U' R' B
B L B U' R' F' B
B L B U' R' B F'
B2 L' U' R' D F' B
B2 L' U' R' D B F'
B2 L' U' R' D' F' B
B2 L' U' R' D' B F'
B2 L' U' R' D2 F' B
B2 L' U' R' D2 B F'
B2 L' U' R' F' D B
B2 L' U' R' F' D' B
B2 L' U' R' F' D2 B
B2 L' U' R' F' B D
B2 L' U' R' F' B D'
B2 L' U' R' F' B D2
B2 L' U' R' B D F'
B2 L' U' R' B D' F'
B2 L' U' R' B D2 F'
B2 L' U' R' B F' D
B2 L' U' R' B F' D'
B2 L' U' R' B F' D2
B2 L' U' F R' F' B
B2 L' U' F R' B F'
B2 L' U' F' R' F' B
B2 L' U' F' R' B F'
B2 L' U' F2 R' F' B
B2 L' U' F2 R' B F'
B2 L' F' L' U' R' B
B L' B U' R' F' B
B L' B U' R' B F'
B2 L2 U' R' D F' B
B2 L2 U' R' D B F'
B2 L2 U' R' D' F' B
B2 L2 U' R' D' B F'
B2 L2 U' R' D2 F' B
B2 L2 U' R' D2 B F'
B2 L2 U' R' F' D B
B2 L2 U' R' F' D' B
B2 L2 U' R' F' D2 B
B2 L2 U' R' F' B D
B2 L2 U' R' F' B D'
B2 L2 U' R' F' B D2
B2 L2 U' R' B D F'
B2 L2 U' R' B D' F'
B2 L2 U' R' B D2 F'
B2 L2 U' R' B F' D
B2 L2 U' R' B F' D'
B2 L2 U' R' B F' D2
B2 L2 U' F R' F' B
B2 L2 U' F R' B F'
B2 L2 U' F' R' F' B
B2 L2 U' F' R' B F'
B2 L2 U' F2 R' F' B
B2 L2 U' F2 R' B F'
B2 L2 F' L' U' R' B
B L2 B U' R' F' B
B L2 B U' R' B F'
B2 R U' R' F' R' B
L U' R' B2 U' F' B'
L U' R' B2 U' B' F'
B R' U' B L R' F'
B R' U' B R' L F'
B R' U' B R' F' L
L U' B2 R' U' F' B
L U' B2 R' U' B F'
B' R' B' U' R' F' B2
B' R' B' U' R' B2 F'
U' R' B2 U' F' R' B'
B2 U L U2 R' F B
B2 U L U2 R' B F
B2 U L U2 F R' B
B2 U F U2 R' F' B
B2 U F U2 R' B F'
B2 U F' U2 R' F' B
B2 U F' U2 R' B F'
B2 U F2 U2 R' F' B
B2 U F2 U2 R' B F'
F' U B2 L' U' R' B
B2 U' L R' B L' F'
B2 U' L' R' F' L B
B2 U' L2 R' F' L2 B
B2 U' L2 R' F' B L2
B2 U' L2 R' B L2 F'
B2 U' L2 R' B F' L2
B2 U' R' L B L' F'
B2 U' R' L' F' L B
B2 U' R' L2 F' L2 B
B2 U' R' L2 F' B L2
B2 U' R' L2 B L2 F'
B2 U' R' L2 B F' L2
B2 U' R' D F' D B
B2 U' R' D F' D' B
B2 U' R' D F' D2 B
B2 U' R' D F' B D
B2 U' R' D F' B D'
B2 U' R' D F' B D2
B2 U' R' D B D F'
B2 U' R' D B D' F'
B2 U' R' D B D2 F'
B2 U' R' D B F' D
B2 U' R' D B F' D'
B2 U' R' D B F' D2
B2 U' R' D' F' D B
B2 U' R' D' F' D' B
B2 U' R' D' F' D2 B
B2 U' R' D' F' B D
B2 U' R' D' F' B D'
B2 U' R' D' F' B D2
B2 U' R' D' B D F'
B2 U' R' D' B D' F'
B2 U' R' D' B D2 F'
B2 U' R' D' B F' D
B2 U' R' D' B F' D'
B2 U' R' D' B F' D2
B2 U' R' D2 F' D B
B2 U' R' D2 F' D' B
B2 U' R' D2 F' D2 B
B2 U' R' D2 F' B D
B2 U' R' D2 F' B D'
B2 U' R' D2 F' B D2
B2 U' R' D2 B D F'
B2 U' R' D2 B D' F'
B2 U' R' D2 B D2 F'
B2 U' R' D2 B F' D
B2 U' R' D2 B F' D'
B2 U' R' D2 B F' D2
B2 U' R' F' L B L'
B2 U' R' F' L2 B L2
B2 U' R' F' D B D
B2 U' R' F' D B D'
B2 U' R' F' D B D2
B2 U' R' F' D' B D
B2 U' R' F' D' B D'
B2 U' R' F' D' B D2
B2 U' R' F' D2 B D
B2 U' R' F' D2 B D'
B2 U' R' F' D2 B D2
B2 U' R' F' B2 D B'
B2 U' R' F' B2 D' B'
B2 U' R' F' B2 D2 B'
B2 U' R' F2 D F B
B2 U' R' F2 D B F
B2 U' R' F2 D' F B
B2 U' R' F2 D' B F
B2 U' R' F2 D2 F B
B2 U' R' F2 D2 B F
B2 U' R' F2 B D F
B2 U' R' F2 B D' F
B2 U' R' F2 B D2 F
B2 U' R' B L' F' L
B2 U' R' B L2 F' L2
B2 U' R' B D F' D
B2 U' R' B D F' D'
B2 U' R' B D F' D2
B2 U' R' B D' F' D
B2 U' R' B D' F' D'
B2 U' R' B D' F' D2
B2 U' R' B D2 F' D
B2 U' R' B D2 F' D'
B2 U' R' B D2 F' D2
B2 U' R' B F2 D F
B2 U' R' B F2 D' F
B2 U' R' B F2 D2 F
B2 U' R' B2 D F' B'
B2 U' R' B2 D B' F'
B2 U' R' B2 D' F' B'
B2 U' R' B2 D' B' F'
B2 U' R' B2 D2 F' B'
B2 U' R' B2 D2 B' F'
B2 U' R' B2 F' D B'
B2 U' R' B2 F' D' B'
B2 U' R' B2 F' D2 B'
B2 U' R2 B R F' B
