R2 L' U' R2 D B2
R2 L' F U' R2 B
U L' U2 L U L'
L' R2 U' R2 D B2
L' R2 F U' R2 B
R' U' L' U' L R
R' U' L' U' R L
R2 U' L' U' L R2
R2 U' L' U' R2 L
R U' L' U' L R'
R U' L' U' R' L
B2 U L' B2 R' U'
L' F R2 U' B R2
L' F2 D R2 U' R2
L2 R U' L U' L' R'
L2 R U' L U' R' L'
R' L U' L2 U' L2 R
R' L U' L2 U' R L2
L' R U' R' U R U'
L' R U' R2 D R B2
R2 L U' L2 U' L2 R2
R2 L U' L2 U' R2 L2
L' R U' R2 D B2 R
L R U' L2 U' L2 R'
L R U' L2 U' R' L2
R2 L U' R2 D F2 B2
R2 L U' R2 D B2 F2
R L U' L2 U' L2 R'
R L U' L2 U' R' L2
L' R U2 B' U B R'
L' R U2 B2 U B2 R'
B' L U' B L2 F U'
B2 L D L2 F2 D2 B2
R2 L F L2 U' R2 B
L' R F R2 U' B R
B2 L D F' L2 F' B'
B2 L D F' L2 B' F'
U2 L D F2 R D' L2
B2 L D F2 L2 D2 B2
U2 L D F2 D' L2 R
U2 L D F2 D' R L2
L' R F U F' U2 R'
L' R F U' R2 B R
B2 L D' R2 B2 U2 R2
R2 L F' L2 U' R2 B'
R2 L F' L2 U' B' R2
L R F' L2 U' R' B'
L' R F' U F U2 R'
R L F' L2 U' R' B'
B2 L D' B2 R2 U2 R2
L' R F2 U F2 U2 R'
L' R F2 U' R' D2 B2
L' R F2 U' D2 R' B2
L' R F2 D R2 U' R
L' R F2 D2 U' R' B2
B2 L F D F2 L2 B'
B2 L F' D L2 F2 B'
B2 L F' D L2 B' F2
U2 L F2 D R F2 L'
U' L B L2 F U' L
R' L' U' R U R' U'
L' R' U' R U R' U'
L2 R' U' L U' L' R
L2 R' U' L U' R L'
L R' U' L2 U' L2 R
L R' U' L2 U' R L2
R' L' U' R2 D R' B2
L' R' U' R2 D R' B2
R2 L' U' R2 U R2 U'
R2 L' U' R2 D B2 D
R2 L' U' R2 D B2 D'
R2 L' U' R2 D B2 D2
R L' U' R' U R U'
R2 L' U' R2 B D B2
R2 L' U' R2 B' D B2
R2 L' U' R2 B2 D B2
R L' U' R2 D R B2
R L' U' R2 D B2 R
R2 L' U' B R2 D B2
R2 L' U' B' R2 D B2
R2 L' U' B2 R2 D B2
R2 L' U2 D B2 U B2
R' L' U2 B U R B'
R' L' U2 B U B' R
L' R' U2 B U R B'
L' R' U2 B U B' R
R' L' U2 B' U B R
L' R' U2 B' U B R
R' L' U2 B2 U R B2
R' L' U2 B2 U B2 R
L' R' U2 B2 U R B2
L' R' U2 B2 U B2 R
R2 L' U2 B U R2 B'
R2 L' U2 B U B' R2
R2 L' U2 B' U B R2
R2 L' U2 B2 U R2 B2
R2 L' U2 B2 U B2 R2
R L' U2 B' U B R'
R L' U2 B2 U B2 R'
U L' R B2 R' U' L
R2 L' D U2 B2 U B2
D2 L' R2 U' R2 D B2
D' L' R2 U' R2 D B2
D L' R2 U' R2 D B2
D2 L' R2 F U' R2 B
D' L' R2 F U' R2 B
D L' R2 F U' R2 B
U L' R2 D B2 R' U'
R2 L' D' F2 U F2 U2
R2 L' D' F2 U' D2 B2
R2 L' D' F2 D R2 U'
R2 L' D' F2 D2 U' B2
U' L' U R U2 L R'
U' L' U R U2 R' L
U' L' U R' U2 L R
U' L' U R' U2 R L
U' L' U R2 U2 L R2
U' L' U R2 U2 R2 L
U' L' U' L U2 L' U2
U' L' U' L F2 R F2
U' L' U' L2 D2 L' R2
U' L' U' L2 D2 R2 L'
R' L' F U F' U2 R
L' R' F U F' U2 R
R2 L' F R' U' R' B
R2 L' F U F' U2 R2
R L' F R2 U' B R
R2 L' F U' R2 D B
R2 L' F U' R2 D' B
R2 L' F U' R2 D2 B
R2 L' F U' R2 B D
R2 L' F U' R2 B D'
R2 L' F U' R2 B D2
R2 L' F U' B R2 B
R2 L' F U' B' R2 B
R2 L' F U' B2 R2 B
R L' F U F' U2 R'
R L' F U' R2 B R
U' L' U' F2 L F2 R
U L' U2 L U L' D
U L' U2 L U L' D'
U L' U2 L U L' D2
U L' U2 L U D L'
U L' U2 L U D' L'
U L' U2 L U D2 L'
U L' U2 L D U L'
U L' U2 L D' U L'
U L' U2 L D2 U L'
R2 L' F' U F U2 R2
R L' F' U F U2 R'
U L' U2 D L U L'
U L' U2 D' L U L'
U L' U2 D2 L U L'
U L' U2 F L U L'
U L' U2 F' L U L'
U L' U2 F2 L U L'
R' L' F2 U L' F2 U2
R' L' F2 U F2 U2 R
L' R' F2 U L' F2 U2
L' R' F2 U F2 U2 R
R2 L' F2 U F2 U2 R2
R2 L' F2 U' R2 D2 B2
R L' F2 U F2 U2 R'
R L' F2 U' R' D2 B2
R L' F2 U' D2 R' B2
R L' F2 D R2 U' R
U L' D U2 L U L'
R L' F2 D2 U' R' B2
U L' D' U2 L U L'
U L' D2 U2 L U L'
D2 L' F R2 U' B R2
D' L' F R2 U' B R2
D L' F R2 U' B R2
R' L2 U' L U' L' R
R' L2 U' L U' R L'
L2 R2 U' L U' L' R2
L2 R2 U' L U' R2 L'
R2 L2 U' L U' L' R2
R2 L2 U' L U' R2 L'
L' R2 U' R2 U R2 U'
L' R2 U' R2 D B2 D
L' R2 U' R2 D B2 D'
L' R2 U' R2 D B2 D2
L' R2 U' R2 B D B2
L' R2 U' R2 B' D B2
L' R2 U' R2 B2 D B2
L R2 U' L2 U' L2 R2
L R2 U' L2 U' R2 L2
R L2 U' L U' L' R'
R L2 U' L U' R' L'
L R2 U' R2 D F2 B2
L R2 U' R2 D B2 F2
D' L' F2 D R2 U' R2
D2 L' F2 D R2 U' R2
L' R2 U' B R2 D B2
L' R2 U' B' R2 D B2
L' R2 U' B2 R2 D B2
D L' F2 D R2 U' R2
L' R2 U2 D B2 U B2
L' R2 U2 B U R2 B'
L' R2 U2 B U B' R2
U' L' B U2 B' U L
L' R2 U2 B' U B R2
L' R2 U2 B2 U R2 B2
L' R2 U2 B2 U B2 R2
L' R2 D U2 B2 U B2
L' R2 D' F2 U F2 U2
L' R2 D' F2 U' D2 B2
L' R2 D' F2 D R2 U'
L' R2 D' F2 D2 U' B2
U' L' B2 U2 B2 U L
U L' B2 R' U R U2
L' R2 F R' U' R' B
L2 R2 F L U' R2 B
R2 L2 F L U' R2 B
L' R2 F U F' U2 R2
L' R2 F U' R2 D B
L' R2 F U' R2 D' B
L' R2 F U' R2 D2 B
L' R2 F U' R2 B D
L' R2 F U' R2 B D'
L' R2 F U' R2 B D2
L' R2 F U' B R2 B
L' R2 F U' B' R2 B
L' R2 F U' B2 R2 B
L R2 F L2 U' R2 B
L' R2 F' U F U2 R2
L R2 F' L2 U' R2 B'
L R2 F' L2 U' B' R2
L' R2 F2 U F2 U2 R2
L' R2 F2 U' R2 D2 B2
L2 U L U2 L' U L
U2 L2 D' B2 R' U B2
L U L2 U2 L2 U L2
U R L' B2 R' U' L
U' R U L' R' U' R
U' R U R' L' U' R
D2 R U' L' U' L R'
D2 R U' L' U' R' L
F2 R U F2 U2 R' F2
F2 R U F2 U2 F2 R'
