F R' D B2 L2 R'
F R' D B2 R' L2
B2 R2 U' R F B
B2 R2 U' R B F
F U R B2 U' R'
F U B2 R U' R2
B2 U' R F B R2
B2 U' R B R2 F
B2 U' R B F R2
B2 U' R' F D2 B2
B2 U' F R B R2
F L U' R B2 L U'
F L2 R' D L2 B2 R'
F' L2 B2 R' U' F2 R
B2 R U' R B R F
B2 R U' F R B R
F R F B2 U' F' R'
F R F' B2 U' R' F
F R F' B2 U' F R'
F R F2 B2 U' R' F2
F R F2 B2 U' F2 R'
U' R B2 U' R' F B'
U' R B2 U' R' B' F
U' R B2 U' F R' B'
F R B2 F U' F' R'
F R B2 F' U' R' F
F R B2 F' U' F R'
F R B2 F2 U' R' F2
F R B2 F2 U' F2 R'
F R' L2 D L2 B2 R'
F R' U R2 B2 U' R'
F R' U B2 R2 U' R
F R' D R B2 L2 R'
F R' D R B2 R' L2
F R' D R' B2 L2 R'
F R' D R' B2 R' L2
F R' D R2 B2 L2 R'
F R' D R2 B2 R' L2
F R' D B L2 B R'
F R' D B2 L2 R' D
F R' D B2 L2 R' D'
F R' D B2 L2 R' D2
F R' D B2 L2 D R'
F R' D B2 L2 D' R'
F R' D B2 L2 D2 R'
F R' D B2 R' L2 D
F R' D B2 R' L2 D'
F R' D B2 R' L2 D2
F R2 U R' B2 U' R'
B2 R2 U' R D F B
B2 R2 U' R D B F
B2 R2 U' R D' F B
B2 R2 U' R D' B F
B2 R2 U' R D2 F B
B2 R2 U' R D2 B F
B2 R2 U' R F D B
B2 R2 U' R F D' B
B2 R2 U' R F D2 B
B2 R2 U' R F B D
B2 R2 U' R F B D'
B2 R2 U' R F B D2
B2 R2 U' R B D F
B2 R2 U' R B D' F
B2 R2 U' R B D2 F
B2 R2 U' R B F D
B2 R2 U' R B F D'
B2 R2 U' R B F D2
B2 R2 U' R2 F R' B
B2 R2 U' D R F B
B2 R2 U' D R B F
B2 R2 U' D' R F B
B2 R2 U' D' R B F
B2 R2 U' D2 R F B
B2 R2 U' D2 R B F
B2 R2 U' B R F B
B2 R2 U' B R B F
B2 R2 U' B' R F B
B2 R2 U' B' R B F
B2 R2 U' B2 R F B
B2 R2 U' B2 R B F
B2 R2 D U' R F B
B2 R2 D U' R B F
B2 R2 D' U' R F B
B2 R2 D' U' R B F
B2 R2 D2 U' R F B
B2 R2 D2 U' R B F
U' R2 B2 U' R' F B
U' R2 B2 U' R' B F
U' R2 B2 U' F R' B
B2 U L' U2 R' F' B'
B2 U L' U2 R' B' F'
F U R F B2 U' R'
F U R F' B2 U' R'
B2 U R' F2 L' F' B'
B2 U R' F2 L' B' F'
F U R F2 B2 U' R'
F U R B2 U' R' D
F U R B2 U' R' D'
F U R B2 U' R' D2
F U R B2 U' D R'
F U R B2 U' D' R'
F U R B2 U' D2 R'
F U R B2 D U' R'
F U R B2 D' U' R'
F U R B2 D2 U' R'
F U R B2 F U' R'
F U R B2 F' U' R'
F U R B2 F2 U' R'
F U R' B2 R2 U' R
U' D F' L2 F2 R B
B2 U F' R' F2 L' B'
B2 U B U2 F R B
F U B' R B' U' R'
F U B2 R U' R2 D
F U B2 R U' R2 D'
F U B2 R U' R2 D2
F U B2 R D' F2 U'
F U B2 R F U' R2
F U B2 R F' U' R2
F U B2 R F2 U' R2
F U B2 U' R' D B2
F U B2 D R U' R2
F U B2 D' R U' R2
F U B2 D2 R U' R2
B2 U' R F B R2 D
B2 U' R F B R2 D'
B2 U' R F B R2 D2
B2 U' R F B' R2 B2
B2 U' R F B2 R2 B'
B2 U' R F' B R2 F2
B2 U' R B R' F R'
B2 U' R B R2 D F
B2 U' R B R2 D' F
B2 U' R B R2 D2 F
B2 U' R B R2 F D
B2 U' R B R2 F D'
B2 U' R B R2 F D2
B2 U' R B F R2 D
B2 U' R B F R2 D'
B2 U' R B F R2 D2
B2 U' R B F' R2 F2
B2 U' R B' R2 F B2
B2 U' R B' R2 B2 F
B2 U' R B' F R2 B2
B2 U' R B2 R2 F B'
B2 U' R B2 R2 B' F
B2 U' R B2 F R2 B'
B2 U' R' U2 F' U2 F2
B2 U' R' D F D2 B2
B2 U' R' D' F D2 B2
B2 U' R' D2 F D2 B2
B2 U' R' F U2 F2 U2
B2 U' R' F D2 B2 D
B2 U' R' F D2 B2 D'
B2 U' R' F D2 B2 D2
B2 U' R' F B D2 B2
B2 U' R' F B' D2 B2
B2 U' R' F B2 D2 B2
B2 U' R' B F D2 B2
B2 U' R' B' F D2 B2
B2 U' R' B2 F D2 B2
F U' R B2 L U' R'
D U' F' L2 F2 R B
B2 U' D R F B R2
B2 U' D R B R2 F
B2 U' D R B F R2
B2 U' D R' F D2 B2
B2 U' D F R B R2
B2 U' D' R F B R2
B2 U' D' R B R2 F
B2 U' D' R B F R2
B2 U' D' R' F D2 B2
B2 U' D' F R B R2
B2 U' D2 R F B R2
B2 U' D2 R B R2 F
B2 U' D2 R B F R2
B2 U' D2 R' F D2 B2
B2 U' D2 F R B R2
B2 U' F R B R2 D
B2 U' F R B R2 D'
B2 U' F R B R2 D2
B2 U' F R B' R2 B2
B2 U' F R B2 R2 B'
B2 U' F R' U2 F' U2
B2 U' F D R B R2
B2 U' F D' R B R2
B2 U' F D2 R B R2
B2 U' F B' R B R'
B2 U' F' R F2 B R2
B2 U' F' R B R2 F2
B2 U' F' R B F2 R2
B2 U' B' R F B R'
B2 U' B' R B R' F
B2 U' B' R B F R'
B2 U' B' F R B R'
F U2 L U' R B2 U'
F U2 L U' B2 R U'
B2 U2 R2 U R F B
B2 U2 R2 U R B F
R' F R' D B2 L2 R'
R' F R' D B2 R' L2
D' F R' D B2 L R'
D' F R' D B2 R' L
R2 F R' D B2 L2 R'
R2 F R' D B2 R' L2
R' F U R B2 U' R'
R F R' D B2 L2 R'
R F R' D B2 R' L2
R' F U B2 R U' R2
R2 F U R B2 U' R'
R2 F U B2 R U' R2
R F U R B2 U' R'
R F U B2 R U' R2
B2 D R2 U' R F B
B2 D R2 U' R B F
D' F B2 R' D B2 L
B2 D U' R F B R2
B2 D U' R B R2 F
B2 D U' R B F R2
B2 D U' R' F D2 B2
B2 D U' F R B R2
D F B2 L2 R' D B2
D F B2 R' L2 D B2
D F' L' U L' F2 R
F2 D F' B2 L2 R' B
F2 D F' B2 R' L2 B
F2 D F' B2 R' B L2
F2 D B2 L2 F' R' B
F2 D B2 F' L2 R' B
F2 D B2 F' R' L2 B
F2 D B2 F' R' B L2
F2 D' L R2 B U2 B2
F D B2 L2 R' D B2
F D B2 R' L2 D B2
F2 D' R2 L B U2 B2
B2 D' R2 U' R F B
B2 D' R2 U' R B F
F D' R' D B2 L R'
F D' R' D B2 R' L
B2 D' U' R F B R2
B2 D' U' R B R2 F
B2 D' U' R B F R2
B2 D' U' R' F D2 B2
B2 D' U' F R B R2
F D' B2 R' D B2 L
B2 D2 R2 U' R F B
B2 D2 R2 U' R B F
B2 D2 U' R F B R2
B2 D2 U' R B R2 F
B2 D2 U' R B F R2
B2 D2 U' R' F D2 B2
B2 D2 U' F R B R2
B2 F R U' R2 D' F2
B2 F R D' F2 U' F2
B2 F R F U' F' R2
B2 F R F' U' R2 F
B2 F R F' U' F R2
B2 F R F2 U' R2 F2
B2 F R F2 U' F2 R2
B2 F R' D B2 D L2
B2 F R' B2 D L2 B2
B2 F R' B2 D B2 L2
B F U B R U' R2
F B U B R U' R2
U2 B' R' B' U' R' F
U2 B' R' B' U' F R'
B2 F' L' U R' F2 L'
B2 F' U' F2 R' D B2
B2 F' U2 L' U R' F2
B2 F' U2 L' U F2 R'
U' B2 R U' F B R2
U' B2 R U' B R2 F
U' B2 R U' B F R2
F' B2 L' U R' F2 L'
R' B2 R2 U' R F B
R' B2 R2 U' R B F
R2 B2 R2 U' R F B
R2 B2 R2 U' R B F
L2 B2 U L' B U2 B2
R' B2 U' R F B R2
R' B2 U' R B R2 F
R' B2 U' R B F R2
R' B2 U' R' F D2 B2
R' B2 U' F R B R2
L2 B2 U B L' U2 B'
F B2 R U' R2 D' F2
R B2 R2 U' R F B
R B2 R2 U' R B F
F B2 R D' F2 U' F2
F B2 R F U' F' R2
F B2 R F' U' R2 F
F B2 R F' U' F R2
U2 B2 U' D' R' F B
U2 B2 U' D' R' B F
U2 B2 U' D' F R' B
F B2 R F2 U' R2 F2
F B2 R F2 U' F2 R2
U2 B2 U' F D' R' B
R2 B2 U' R F B R2
R2 B2 U' R B R2 F
R2 B2 U' R B F R2
